epoch,step,train/L_coord_epoch,train/L_coord_step,train/L_kld_epoch,train/L_kld_step,train/L_mask_epoch,train/L_mask_step,train/L_motion_recon_epoch,train/L_motion_recon_step,train/L_motion_type_epoch,train/L_motion_type_step,train/L_origin_epoch,train/L_origin_map_epoch,train/L_origin_map_step,train/L_origin_step,train/L_point_3d_epoch,train/L_point_3d_step,train/L_point_map_epoch,train/L_point_map_step,train/L_traj_analytic_epoch,train/L_traj_analytic_step,train/L_traj_angle_epoch,train/L_traj_angle_step,train/L_traj_length_epoch,train/L_traj_length_step,train/L_traj_velocity_epoch,train/L_traj_velocity_step,train/L_vae_total_epoch,train/L_vae_total_step,train/loss_total_epoch,train/loss_total_step,train/p_rev_mean,val/L_coord,val/L_kld,val/L_mask,val/L_motion_recon,val/L_motion_type,val/L_origin,val/L_origin_map,val/L_point_3d,val/L_point_map,val/L_traj_analytic,val/L_traj_angle,val/L_traj_length,val/L_traj_velocity,val/L_vae_total,val/loss_total
0,9,,0.38372015953063965,,0.0,,1.0477254390716553,,0.7083560228347778,,0.6166458129882812,,,5.775487422943115,1.7934057712554932,,0.25924086570739746,,4.0896759033203125,,1.7652850151062012,,0.6807345747947693,,0.0053086248226463795,,0.040285442024469376,,0.7083560228347778,,8.60307788848877,,,,,,,,,,,,,,,,
0,19,,0.38057124614715576,,0.0,,0.6458287239074707,,0.5776914954185486,,0.6341609954833984,,,4.65996789932251,1.4367315769195557,,0.3024755120277405,,5.121782302856445,,1.4835511445999146,,0.5225947499275208,,0.006265850737690926,,0.03514627367258072,,0.5776914954185486,,7.920957088470459,,,,,,,,,,,,,,,,
0,29,,0.3499481678009033,,0.0,,0.6689678430557251,,0.7248410582542419,,0.6254787445068359,,,5.349752902984619,0.7872334718704224,,0.2618520259857178,,3.96928071975708,,1.4113121032714844,,0.6876294612884521,,0.003962086047977209,,0.03739113733172417,,0.7248410582542419,,7.457520484924316,,,,,,,,,,,,,,,,
0,39,,0.2604154050350189,,0.0,,0.6474337577819824,,0.5580069422721863,,0.6210322976112366,,,4.644221782684326,0.8152225613594055,,0.2464113086462021,,3.468186855316162,,1.0927094221115112,,0.5403655171394348,,0.006270434241741896,,0.031332407146692276,,0.5580069422721863,,6.481470584869385,,,,,,,,,,,,,,,,
0,49,,0.252236008644104,,0.0,,0.6330607533454895,,0.43310654163360596,,0.5820514559745789,,,3.6996538639068604,1.0521703958511353,,0.2519524097442627,,3.4004366397857666,,0.8507908582687378,,0.4401383101940155,,0.003861758392304182,,0.02852294035255909,,0.43310654163360596,,5.828251838684082,,,,,,,,,,,,,,,,
0,59,,0.2706596553325653,,0.0,,0.6471284627914429,,0.4200488328933716,,0.5800136923789978,,,2.9275429248809814,1.3874768018722534,,0.21324434876441956,,3.205709218978882,,0.9397482872009277,,0.40752753615379333,,0.004390097688883543,,0.02980540320277214,,0.4200488328933716,,5.53154993057251,,,,,,,,,,,,,,,,
0,69,,0.25788187980651855,,0.0,,0.6404764652252197,,0.3218879699707031,,0.5852111577987671,,,2.749873399734497,0.8070762753486633,,0.2078438699245453,,3.3141467571258545,,0.7390254735946655,,0.3464307487010956,,0.004641743376851082,,0.024756627157330513,,0.3218879699707031,,5.012004375457764,,,,,,,,,,,,,,,,
0,79,,0.2615985870361328,,0.0,,0.6451063752174377,,0.5095144510269165,,0.6006980538368225,,,2.4424006938934326,1.01358962059021,,0.20368866622447968,,3.472482442855835,,1.083205223083496,,0.5549464225769043,,0.00654215645045042,,0.032160986214876175,,0.5095144510269165,,5.429047584533691,,,,,,,,,,,,,,,,
0,89,,0.20851311087608337,,0.0,,0.6372976303100586,,0.538347601890564,,0.5769858956336975,,,2.554678201675415,0.7838957905769348,,0.21602106094360352,,3.114126205444336,,1.0675606727600098,,0.47725480794906616,,0.0047410945408046246,,0.032139308750629425,,0.538347601890564,,5.12185001373291,,,,,,,,,,,,,,,,
0,99,,0.24689045548439026,,0.0,,0.6317968368530273,,0.3552970290184021,,0.5584300756454468,,,2.6806907653808594,0.5799482464790344,,0.18031543493270874,,2.7124173641204834,,0.848865270614624,,0.39967140555381775,,0.0037648614961653948,,0.026873180642724037,,0.3552970290184021,,4.625917434692383,,,,,,,,,,,,,,,,
