model,object,axis_unsigned_deg,axis_signed_deg,p_rev,radius_m,hinge_offset_frac,z_p
cf_frame,phone/phone,18.088,161.912,0.9556,1.6364,0.0925,1.293
cf_frame,phone/phone,85.352,94.648,0.9339,1.0791,0.1214,2.756
cf_frame,phone/phone,18.280,161.720,0.9492,0.6634,0.0877,2.377
cf_frame,phone/phone,87.615,92.385,0.9359,1.7201,0.0352,3.358
cf_frame,phone/phone,22.228,157.772,0.9480,0.7053,0.0721,2.631
cf_frame,phone/phone,62.592,117.408,0.9322,0.7835,0.0732,2.566
cf_frame,phone/phone,20.301,159.699,0.9498,3.1370,0.0835,0.166
cf_frame,phone/phone,43.038,136.962,0.8948,1.0381,0.0397,2.649
cf_frame,phone/phone,21.434,158.566,0.9565,0.8295,0.0214,2.326
cf_frame,phone/phone,88.905,88.905,0.9475,1.3144,0.1001,3.187
cf_frame,espressomachine/espressomachine,74.695,105.305,0.9463,2.1836,0.5226,3.220
cf_frame,espressomachine/espressomachine,72.941,107.059,0.9400,2.9103,0.6488,1.518
cf_frame,espressomachine/espressomachine,77.949,102.051,0.9512,2.1466,0.2978,3.106
cf_frame,espressomachine/espressomachine,74.581,105.419,0.9459,2.5297,0.6572,1.771
cf_frame,espressomachine/espressomachine,72.921,107.079,0.9512,2.1281,0.6268,3.005
cf_frame,espressomachine/espressomachine,67.619,112.381,0.9443,3.3583,0.5337,0.426
cf_frame,espressomachine/espressomachine,75.740,104.260,0.9408,2.1904,0.5124,3.031
cf_frame,espressomachine/espressomachine,71.423,108.577,0.9451,2.4687,0.4586,0.727
cf_frame,espressomachine/espressomachine,74.098,105.902,0.9454,2.2900,0.4604,3.204
cf_frame,espressomachine/espressomachine,70.252,109.748,0.9470,3.4351,0.5712,0.259
cf_frame,espressomachine/espressomachine,70.862,109.138,0.9504,2.1956,0.4007,3.156
cf_frame,espressomachine/espressomachine,69.470,110.530,0.9400,3.3374,0.5386,0.813
cf_frame,espressomachine/espressomachine,72.926,107.074,0.9418,2.3401,0.5734,3.252
cf_frame,espressomachine/espressomachine,68.337,111.663,0.9457,3.1326,0.6078,0.891
cf_frame,espressomachine/espressomachine,62.641,117.359,0.9354,2.5843,0.6520,3.276
cf_frame,espressomachine/espressomachine,74.921,105.079,0.9500,1.8756,0.6501,1.863
cf_frame,espressomachine/espressomachine,71.149,108.851,0.9519,2.0728,0.4966,3.023
cf_frame,espressomachine/espressomachine,71.542,108.458,0.9400,3.3770,0.4758,0.542
cf_frame,espressomachine/espressomachine,75.620,104.380,0.9425,2.0325,0.5571,2.973
cf_frame,espressomachine/espressomachine,68.612,111.388,0.9414,3.4584,0.6027,0.984
cf_frame,espressomachine/espressomachine,74.530,105.470,0.9459,2.1736,0.5390,3.108
cf_frame,espressomachine/espressomachine,76.813,103.187,0.9427,2.8405,0.6211,1.192
cf_frame,espressomachine/espressomachine,72.501,107.499,0.9467,2.3056,0.6919,3.136
cf_frame,espressomachine/espressomachine,68.717,111.283,0.9394,2.3659,0.5229,1.373
cf_frame,espressomachine/espressomachine,75.071,104.929,0.9431,2.1183,0.7127,2.859
cf_frame,espressomachine/espressomachine,68.108,111.892,0.9482,2.9396,0.5117,1.031
cf_frame,espressomachine/espressomachine,69.745,110.255,0.9437,2.0862,0.6255,3.008
cf_frame,espressomachine/espressomachine,71.933,108.067,0.9373,4.0714,0.4586,0.187
cf_frame,espressomachine/espressomachine,72.082,107.918,0.9455,1.9781,0.7262,2.816
cf_frame,espressomachine/espressomachine,75.426,104.574,0.9378,1.7115,0.5510,1.647
cf_frame,espressomachine/espressomachine,71.584,108.416,0.9357,2.2830,0.6223,2.960
cf_frame,espressomachine/espressomachine,69.715,110.285,0.9400,2.5603,0.5682,1.601
cf_frame,espressomachine/espressomachine,72.165,107.835,0.9441,2.2864,0.5051,3.212
cf_frame,espressomachine/espressomachine,73.575,106.425,0.9447,2.6035,0.6288,1.291
cf_frame,espressomachine/espressomachine,69.805,110.195,0.9451,2.0887,0.5324,3.079
cf_frame,espressomachine/espressomachine,83.005,96.995,0.9391,2.3043,0.5970,1.295
cf_frame,espressomachine/espressomachine,75.674,104.326,0.9364,1.4964,0.6872,2.448
cf_frame,espressomachine/espressomachine,78.380,101.620,0.9437,2.0545,0.6990,2.760
cf_frame,espressomachine/espressomachine,71.321,108.679,0.9387,2.9131,0.6606,1.634
cf_frame,espressomachine/espressomachine,74.664,105.336,0.9516,2.3634,0.4466,3.344
cf_frame,phone/phone,13.083,166.917,0.9495,0.9360,0.0391,2.204
cf_frame,phone/phone,11.394,168.606,0.9491,1.9854,0.0679,3.613
cf_frame,phone/phone,16.534,163.466,0.9532,0.5670,0.0740,2.540
cf_frame,phone/phone,29.714,150.286,0.9433,1.7369,0.0214,3.170
cf_frame,phone/phone,27.666,152.334,0.9484,0.7836,0.0267,2.197
cf_frame,phone/phone,13.617,166.383,0.9465,2.1985,0.1733,3.600
cf_frame,phone/phone,31.070,148.930,0.9602,0.5198,0.0191,2.587
cf_frame,phone/phone,38.226,141.774,0.9590,1.3239,0.0731,3.055
cf_frame,phone/phone,17.878,162.122,0.9607,0.3955,0.0558,2.692
cf_frame,phone/phone,15.200,164.800,0.9395,1.7084,0.1153,3.302
cf_frame,phone/phone,27.851,152.149,0.9550,0.7143,0.0445,2.296
cf_frame,phone/phone,54.053,125.947,0.9505,1.3132,0.0896,3.108
cf_frame,phone/phone,9.190,170.810,0.9475,0.9688,0.0256,2.282
cf_frame,phone/phone,22.403,157.597,0.9352,1.7530,0.0633,3.212
cf_frame,phone/phone,33.649,146.351,0.9511,0.6760,0.0355,2.421
cf_frame,phone/phone,19.815,160.185,0.9396,2.2640,0.1059,3.784
cf_frame,phone/phone,18.394,161.606,0.9565,0.9362,0.0672,2.232
cf_frame,phone/phone,29.658,150.342,0.9434,1.5960,0.1479,3.330
cf_frame,phone/phone,15.482,164.518,0.9492,1.1512,0.0260,1.989
cf_frame,phone/phone,22.413,157.587,0.9512,1.1820,0.0849,2.953
cf_frame,phone/phone,15.247,164.753,0.9509,0.9031,0.0451,2.260
cf_frame,phone/phone,10.533,169.467,0.9445,1.8107,0.1318,3.457
cf_frame,phone/phone,44.800,135.200,0.9560,0.7412,0.0126,2.345
cf_frame,phone/phone,28.859,151.141,0.9220,1.4283,0.0676,3.141
cf_frame,phone/phone,16.589,163.411,0.9499,1.0763,0.0644,2.032
cf_frame,phone/phone,54.244,125.756,0.9537,1.1584,0.0698,2.896
cf_frame,phone/phone,12.079,167.921,0.9524,0.7820,0.0400,2.258
cf_frame,phone/phone,53.998,126.002,0.9446,1.3473,0.0028,3.156
cf_frame,phone/phone,12.318,167.682,0.9546,1.5138,0.0546,1.608
cf_frame,phone/phone,32.710,147.290,0.9438,1.7326,0.0436,3.560
cf_frame,phone/phone,31.521,148.479,0.9544,0.7971,0.0216,2.098
cf_frame,phone/phone,54.426,125.574,0.9308,2.0125,0.0654,3.720
cf_frame,phone/phone,16.424,163.576,0.9443,0.6812,0.0583,2.316
cf_frame,phone/phone,22.722,157.278,0.9496,1.0084,0.0662,3.053
cf_frame,scissors/scissors,86.632,93.368,0.9566,0.3453,0.1621,2.147
cf_frame,scissors/scissors,59.792,59.792,0.9612,0.0780,0.0388,1.815
cf_frame,scissors/scissors,71.780,71.780,0.9428,0.6032,0.0252,2.210
cf_frame,scissors/scissors,77.720,77.720,0.9573,0.1058,0.0472,1.843
cf_frame,scissors/scissors,85.142,94.858,0.9471,0.8790,0.0767,2.338
cf_frame,scissors/scissors,61.310,118.690,0.9224,0.3615,0.1299,1.967
cf_frame,scissors/scissors,70.190,109.810,0.9540,1.3524,0.1559,0.413
cf_frame,scissors/scissors,75.309,75.309,0.9513,0.2492,0.1039,1.699
cf_frame,scissors/scissors,42.396,42.396,0.9498,0.4898,0.1310,1.183
cf_frame,scissors/scissors,84.729,84.729,0.9535,0.3587,0.0501,2.046
cf_frame,scissors/scissors,74.896,105.104,0.9610,0.2914,0.0729,1.837
cf_frame,scissors/scissors,86.319,93.681,0.9530,0.3154,0.0397,1.955
cf_frame,scissors/scissors,64.359,115.641,0.9608,0.2463,0.0210,1.949
cf_frame,scissors/scissors,57.536,57.536,0.9537,0.3047,0.0584,1.749
cf_frame,scissors/scissors,40.046,40.046,0.9439,0.1394,0.1305,1.482
cf_frame,scissors/scissors,64.044,64.044,0.9502,0.1763,0.0160,1.653
cf_frame,scissors/scissors,42.807,42.807,0.9501,0.6581,0.0199,2.157
cf_frame,scissors/scissors,82.935,82.935,0.9534,0.5567,0.0055,2.275
cf_frame,scissors/scissors,85.492,94.508,0.9500,0.0973,0.0336,1.875
cf_frame,scissors/scissors,81.534,98.466,0.9469,0.1678,0.0245,1.904
cf_frame,scissors/scissors,78.241,78.241,0.9496,0.7306,0.1113,2.232
cf_frame,scissors/scissors,54.321,54.321,0.9530,0.5204,0.0117,2.127
cf_frame,scissors/scissors,62.383,62.383,0.9579,0.9033,0.0658,2.295
cf_frame,scissors/scissors,81.428,98.572,0.9636,0.3189,0.0468,1.886
cf_frame,scissors/scissors,69.208,69.208,0.9471,0.1245,0.1308,1.826
cf_frame,scissors/scissors,61.660,61.660,0.9588,0.5998,0.0003,2.258
cf_frame,scissors/scissors,87.395,87.395,0.9488,0.2591,0.0399,2.045
cf_frame,scissors/scissors,83.032,96.968,0.9575,0.1984,0.1006,1.461
cf_frame,scissors/scissors,56.672,56.672,0.9645,0.2648,0.1089,1.705
cf_frame,scissors/scissors,69.159,69.159,0.9563,0.2227,0.0323,1.989
cf_frame,scissors/scissors,80.582,80.582,0.9584,0.2887,0.0956,1.516
cf_frame,scissors/scissors,73.083,73.083,0.9516,0.3125,0.0005,1.973
cf_frame,scissors/scissors,77.919,77.919,0.9552,0.5319,0.0828,2.120
cf_frame,scissors/scissors,81.376,81.376,0.9648,0.4181,0.0670,1.988
cf_frame,scissors/scissors,47.860,47.860,0.9632,0.3307,0.0131,1.928
cf_frame,scissors/scissors,43.900,43.900,0.9598,0.2146,0.1580,1.986
cf_frame,scissors/scissors,78.880,78.880,0.9617,0.6134,0.0751,2.173
cf_frame,scissors/scissors,88.344,91.656,0.9649,0.3547,0.0490,2.054
cf_frame,scissors/scissors,88.364,91.636,0.9604,0.0320,0.0245,1.963
cf_frame,scissors/scissors,82.738,82.738,0.9586,0.3763,0.0265,2.078
cf_frame,scissors/scissors,85.970,85.970,0.9543,0.2690,0.1104,2.174
cf_frame,scissors/scissors,75.748,75.748,0.9553,0.6079,0.0406,2.187
cf_frame,scissors/scissors,65.610,65.610,0.9502,0.1546,0.0811,2.000
cf_frame,scissors/scissors,36.428,36.428,0.9558,0.3868,0.0776,2.057
cf_frame,scissors/scissors,56.547,56.547,0.9460,0.1534,0.1022,1.989
cf_frame,scissors/scissors,63.869,63.869,0.9634,0.1966,0.0256,1.848
cf_frame,scissors/scissors,72.204,72.204,0.9606,0.2271,0.0102,1.843
cf_frame,scissors/scissors,68.373,68.373,0.9640,0.4727,0.1250,1.990
cf_frame,scissors/scissors,62.778,62.778,0.9575,0.1862,0.1264,1.964
