epoch,step,train/L_coord_epoch,train/L_coord_step,train/L_kld_epoch,train/L_kld_step,train/L_mask_epoch,train/L_mask_step,train/L_motion_recon_epoch,train/L_motion_recon_step,train/L_motion_type_epoch,train/L_motion_type_step,train/L_point_map_epoch,train/L_point_map_step,train/L_screw_self_epoch,train/L_screw_self_step,train/L_screw_twist_gt_traj_epoch,train/L_screw_twist_gt_traj_step,train/L_trajectory_epoch,train/L_trajectory_step,train/L_twist_epoch,train/L_twist_step,train/L_vae_total_epoch,train/L_vae_total_step,train/loss_total_epoch,train/loss_total_step,val/L_coord,val/L_kld,val/L_mask,val/L_motion_recon,val/L_motion_type,val/L_point_map,val/L_screw_self,val/L_screw_twist_gt_traj,val/L_trajectory,val/L_twist,val/L_vae_total,val/loss_total
1,2929,,0.060651108622550964,,0.0,,0.4606204330921173,,0.0,,0.0,,0.19390854239463806,,0.057459019124507904,,0.21418170630931854,,0.02318428084254265,,0.30163466930389404,,0.0,,0.6558198928833008,,,,,,,,,,,,
1,2939,,0.06111157685518265,,0.0,,0.4416220188140869,,0.0,,0.0,,0.2034837305545807,,0.05997111648321152,,0.19595162570476532,,0.023420928046107292,,0.37207770347595215,,0.0,,0.6788192987442017,,,,,,,,,,,,
1,2949,,0.05889423191547394,,0.0,,0.46173423528671265,,0.0,,0.0,,0.20242640376091003,,0.06904373317956924,,0.18735435605049133,,0.029525484889745712,,0.3380308151245117,,0.0,,0.6735045909881592,,,,,,,,,,,,
1,2959,,0.06119624897837639,,0.0,,0.44135963916778564,,0.0,,0.0,,0.2055531144142151,,0.05125465989112854,,0.14754706621170044,,0.027177991345524788,,0.35922300815582275,,0.0,,0.6466559171676636,,,,,,,,,,,,
1,2969,,0.06917034089565277,,0.0,,0.47015702724456787,,0.0,,0.0,,0.2112240046262741,,0.06791023164987564,,0.2274901270866394,,0.024963943287730217,,0.2744799256324768,,0.0,,0.6726977825164795,,,,,,,,,,,,
1,2979,,0.057920243591070175,,0.0,,0.45341935753822327,,0.0,,0.0,,0.19798526167869568,,0.05673537030816078,,0.18371184170246124,,0.023265143856406212,,0.34187066555023193,,0.0,,0.6574538946151733,,,,,,,,,,,,
1,2989,,0.06914791464805603,,0.0,,0.4517584443092346,,0.0,,0.0,,0.20743253827095032,,0.06254711002111435,,0.20249298214912415,,0.028456855565309525,,0.3204526901245117,,0.0,,0.6711443662643433,,,,,,,,,,,,
1,2999,,0.05807971581816673,,0.0,,0.472627192735672,,0.0,,0.0,,0.18608394265174866,,0.05323407053947449,,0.1889234483242035,,0.027575740590691566,,0.2711966037750244,,0.0,,0.628860354423523,,,,,,,,,,,,
1,3009,,0.05561903119087219,,0.0,,0.45463278889656067,,0.0,,0.0,,0.18844667077064514,,0.060837674885988235,,0.20292823016643524,,0.026007959619164467,,0.44539350271224976,,0.0,,0.7169329524040222,,,,,,,,,,,,
1,3019,,0.05810875445604324,,0.0,,0.4555266499519348,,0.0,,0.0,,0.1931777149438858,,0.05042869225144386,,0.14110185205936432,,0.02201353944838047,,0.2125111222267151,,0.0,,0.5664341449737549,,,,,,,,,,,,
