epoch,step,train/L_coord_epoch,train/L_coord_step,train/L_kld_epoch,train/L_kld_step,train/L_mask_epoch,train/L_mask_step,train/L_motion_recon_epoch,train/L_motion_recon_step,train/L_motion_type_epoch,train/L_motion_type_step,train/L_point_map_epoch,train/L_point_map_step,train/L_vae_total_epoch,train/L_vae_total_step,train/loss_total_epoch,train/loss_total_step,val/L_coord,val/L_kld,val/L_mask,val/L_motion_recon,val/L_motion_type,val/L_point_map,val/L_vae_total,val/loss_total
0,9,,0.11910239607095718,,0.0002470938488841057,,0.41502559185028076,,0.1828460693359375,,0.23751835525035858,,0.26816776394844055,,0.18284854292869568,,0.5326562523841858,,,,,,,,
0,19,,0.12201941013336182,,0.00016937637701630592,,0.4372125267982483,,0.12491434812545776,,0.23510411381721497,,0.2486964464187622,,0.12491603940725327,,0.5220955610275269,,,,,,,,
0,29,,0.14124956727027893,,0.00017126090824604034,,0.4898483157157898,,0.13316869735717773,,0.2651485800743103,,0.2819086015224457,,0.13317041099071503,,0.5874617099761963,,,,,,,,
0,39,,0.1158808171749115,,7.314002141356468e-05,,0.36476582288742065,,0.1069922223687172,,0.24446196854114532,,0.2448614239692688,,0.10699295252561569,,0.48320743441581726,,,,,,,,
0,49,,0.1387045830488205,,0.00012636836618185043,,0.44203847646713257,,0.11331474035978317,,0.22643190622329712,,0.256908118724823,,0.11331600695848465,,0.5269638299942017,,,,,,,,
0,59,,0.14622236788272858,,0.00013256631791591644,,0.4235694706439972,,0.12736466526985168,,0.20073866844177246,,0.25528836250305176,,0.12736599147319794,,0.5091381669044495,,,,,,,,
0,69,,0.10976703464984894,,0.0001741764135658741,,0.3576940894126892,,0.07670607417821884,,0.20103594660758972,,0.2224085032939911,,0.07670781761407852,,0.43884092569351196,,,,,,,,
0,79,,0.1181337907910347,,0.00019884901121258736,,0.39314931631088257,,0.14312955737113953,,0.2004677951335907,,0.22384634613990784,,0.1431315392255783,,0.472798228263855,,,,,,,,
0,89,,0.12543481588363647,,0.0001109270378947258,,0.3954107165336609,,0.1080903559923172,,0.283819317817688,,0.2314451038837433,,0.10809146612882614,,0.514586329460144,,,,,,,,
0,99,,0.09559731185436249,,0.00017643067985773087,,0.35397857427597046,,0.11432678997516632,,0.20092599093914032,,0.23078933358192444,,0.11432855576276779,,0.4443918764591217,,,,,,,,
0,109,,0.12332327663898468,,0.00024838512763381004,,0.44182848930358887,,0.14456838369369507,,0.27738508582115173,,0.24844257533550262,,0.14457087218761444,,0.5497392416000366,,,,,,,,
0,119,,0.1248229444026947,,0.000265367329120636,,0.42491161823272705,,0.11875472217798233,,0.24420687556266785,,0.24122101068496704,,0.11875737458467484,,0.5163680911064148,,,,,,,,
0,129,,0.09926613420248032,,0.00024986639618873596,,0.3416670560836792,,0.13227185606956482,,0.3114904761314392,,0.22367992997169495,,0.13227435946464539,,0.4946534335613251,,,,,,,,
0,139,,0.12206634879112244,,0.00026394426822662354,,0.3891628384590149,,0.08885480463504791,,0.23424947261810303,,0.23595894873142242,,0.08885744214057922,,0.48407700657844543,,,,,,,,
0,148,,,,,,,,,,,,,,,,,0.11252716183662415,0.00025504615041427314,0.3647300601005554,0.18215341866016388,0.3257812559604645,0.22972509264945984,0.1821560114622116,0.5303075909614563
0,148,0.1226062923669815,,0.00018802772683557123,,0.4250544011592865,,0.1334630399942398,,0.25301897525787354,,0.24617353081703186,,0.13346491754055023,,0.5255984663963318,,,,,,,,,
1,149,,0.09737172722816467,,0.00028293440118432045,,0.31129562854766846,,0.08300004154443741,,0.20009195804595947,,0.22461280226707458,,0.08300287276506424,,0.4138123095035553,,,,,,,,
1,159,,0.11222776770591736,,0.000328803900629282,,0.35500767827033997,,0.06952593475580215,,0.20718982815742493,,0.223848357796669,,0.0695292204618454,,0.4405971169471741,,,,,,,,
1,169,,0.1097121313214302,,0.00021664053201675415,,0.3439132869243622,,0.07554315030574799,,0.20023535192012787,,0.2190793752670288,,0.07554531842470169,,0.42963671684265137,,,,,,,,
1,179,,0.09113088250160217,,0.00030747661367058754,,0.32390278577804565,,0.10158120840787888,,0.2004845142364502,,0.20978742837905884,,0.1015842854976654,,0.4147435128688812,,,,,,,,
1,189,,0.10782831907272339,,0.0002950071357190609,,0.31274646520614624,,0.10961209237575531,,0.20204554498195648,,0.2284201681613922,,0.10961504280567169,,0.4258776307106018,,,,,,,,
1,199,,0.11938242614269257,,0.0002790261059999466,,0.3706021010875702,,0.09977349638938904,,0.235061913728714,,0.22807073593139648,,0.09977629035711288,,0.4726373553276062,,,,,,,,
1,209,,0.10540162026882172,,0.0003047473728656769,,0.33182966709136963,,0.0800931304693222,,0.3022828698158264,,0.23084083199501038,,0.08009617775678635,,0.4801163971424103,,,,,,,,
1,219,,0.11368469893932343,,0.00034234533086419106,,0.3794960677623749,,0.07571587711572647,,0.20402280986309052,,0.2267799973487854,,0.07571929693222046,,0.4543987214565277,,,,,,,,
1,229,,0.1024923324584961,,0.0002865041606128216,,0.33671239018440247,,0.11039704084396362,,0.23316454887390137,,0.22128388285636902,,0.11039990931749344,,0.4484080970287323,,,,,,,,
1,239,,0.1148594319820404,,0.0003233347088098526,,0.3349437117576599,,0.10704421252012253,,0.2687123417854309,,0.2283380925655365,,0.10704744607210159,,0.47186437249183655,,,,,,,,
1,249,,0.11008085310459137,,0.0001799226738512516,,0.33250123262405396,,0.11750513315200806,,0.20191143453121185,,0.22686466574668884,,0.11750692874193192,,0.437164306640625,,,,,,,,
1,259,,0.10474453866481781,,0.00020166952162981033,,0.3224659264087677,,0.0847264751791954,,0.2089153230190277,,0.2127818465232849,,0.08472849428653717,,0.4204506278038025,,,,,,,,
1,269,,0.09593063592910767,,0.0003199102357029915,,0.3602132797241211,,0.08742256462574005,,0.27340802550315857,,0.22127586603164673,,0.08742576092481613,,0.4737129211425781,,,,,,,,
1,279,,0.12765023112297058,,0.00016437098383903503,,0.35260674357414246,,0.13039791584014893,,0.20119968056678772,,0.24404790997505188,,0.13039955496788025,,0.4633021354675293,,,,,,,,
1,289,,0.12007354199886322,,0.0002758856862783432,,0.38261452317237854,,0.10151500999927521,,0.24566632509231567,,0.22362282872200012,,0.10151776671409607,,0.48227745294570923,,,,,,,,
1,297,,,,,,,,,,,,,,,,,0.10771463066339493,0.00019840584718622267,0.3506219685077667,0.16487383842468262,0.30580607056617737,0.22542619705200195,0.1648758351802826,0.5062165856361389
1,297,0.11081507056951523,,0.0002906374866142869,,0.3490350842475891,,0.09919432550668716,,0.2301185429096222,,0.2247687429189682,,0.09919723123311996,,0.45504510402679443,,,,,,,,,
2,299,,0.10153611749410629,,0.00034086359664797783,,0.31459689140319824,,0.049448102712631226,,0.2024238407611847,,0.2120620161294937,,0.04945151135325432,,0.4048925042152405,,,,,,,,
2,309,,0.10851620137691498,,0.00016924366354942322,,0.36018460988998413,,0.09320656955242157,,0.22269436717033386,,0.23119810223579407,,0.09320826083421707,,0.45823508501052856,,,,,,,,
2,319,,0.11321785300970078,,0.00017141830176115036,,0.28369569778442383,,0.10027821362018585,,0.2084038257598877,,0.21162718534469604,,0.10027992725372314,,0.40588468313217163,,,,,,,,
2,329,,0.10498344898223877,,0.0002730763517320156,,0.3390194773674011,,0.04483233392238617,,0.19987033307552338,,0.21335120499134064,,0.04483506456017494,,0.41658255457878113,,,,,,,,
2,339,,0.09187224507331848,,0.00022948579862713814,,0.2821093797683716,,0.10454875230789185,,0.21444517374038696,,0.21486328542232513,,0.1045510470867157,,0.4041807949542999,,,,,,,,
2,349,,0.118049755692482,,0.00019824551418423653,,0.3417160212993622,,0.08379992842674255,,0.2072504162788391,,0.2277269959449768,,0.08380191028118134,,0.4405220150947571,,,,,,,,
2,359,,0.0947716012597084,,0.00015124864876270294,,0.3333452641963959,,0.0454198494553566,,0.20569583773612976,,0.2122146338224411,,0.04542136192321777,,0.4131436347961426,,,,,,,,
