epoch,step,train/L_coord_epoch,train/L_coord_step,train/L_geo_pred_pred_art_epoch,train/L_geo_pred_pred_art_step,train/L_kld_epoch,train/L_kld_step,train/L_mask_epoch,train/L_mask_step,train/L_motion_recon_epoch,train/L_motion_recon_step,train/L_motion_type_epoch,train/L_motion_type_step,train/L_origin_epoch,train/L_origin_map_epoch,train/L_origin_map_step,train/L_origin_step,train/L_point_3d_epoch,train/L_point_3d_step,train/L_point_map_epoch,train/L_point_map_step,train/L_traj_angle_epoch,train/L_traj_angle_step,train/L_traj_length_epoch,train/L_traj_length_step,train/L_traj_scale_epoch,train/L_traj_scale_step,train/L_traj_velocity_epoch,train/L_traj_velocity_step,train/L_trajectory_epoch,train/L_trajectory_m2,train/L_trajectory_step,train/L_vae_total_epoch,train/L_vae_total_step,train/loss_total_epoch,train/loss_total_step,train/p_rev_mean,val/L_coord,val/L_geo_pred_pred_art,val/L_kld,val/L_mask,val/L_motion_recon,val/L_motion_type,val/L_origin,val/L_origin_map,val/L_point_3d,val/L_point_map,val/L_traj_angle,val/L_traj_length,val/L_traj_scale,val/L_traj_velocity,val/L_trajectory,val/L_trajectory_m2,val/L_vae_total,val/loss_total
0,9,,0.1855020523071289,,0.05718642473220825,,0.0,,0.550751805305481,,0.7478326559066772,,0.5615700483322144,,,1.5293679237365723,1.9846259355545044,,20.000240325927734,,1.2337348461151123,,0.9879762530326843,,0.0189039446413517,,0.476274311542511,,0.04681558534502983,,,1.329782485961914,,0.7478326559066772,,14.5806884765625,,,,,,,,,,,,,,,,,,,
0,19,,0.18487557768821716,,0.15241029858589172,,0.0,,0.5181764364242554,,0.7510619163513184,,0.539844274520874,,,0.41591089963912964,1.307840347290039,,12.076518058776855,,0.683479905128479,,0.9229798913002014,,0.017693234607577324,,0.44775891304016113,,0.0451192669570446,,,1.0143060684204102,,0.7510619163513184,,9.242854118347168,,,,,,,,,,,,,,,,,,,
0,29,,0.18203122913837433,,0.20119807124137878,,0.0,,0.5157192945480347,,0.7547237277030945,,0.562397837638855,,,0.4835961163043976,0.8681688904762268,,8.102215766906738,,0.5378096103668213,,0.8922293782234192,,0.018677234649658203,,0.4568154513835907,,0.046528130769729614,,,0.935232937335968,,0.7547237277030945,,6.970465660095215,,,,,,,,,,,,,,,,,,,
0,39,,0.17215251922607422,,0.20330515503883362,,0.0,,0.5151721835136414,,0.5151497721672058,,0.489933580160141,,,0.29888850450515747,0.9577169418334961,,4.565964698791504,,0.4061875641345978,,0.8373097777366638,,0.018555564805865288,,0.3886851370334625,,0.04679432883858681,,,0.8021147847175598,,0.5151497721672058,,4.813676357269287,,,,,,,,,,,,,,,,,,,
0,49,,0.16458101570606232,,0.16828584671020508,,0.0,,0.5095548629760742,,0.5078195929527283,,0.46962594985961914,,,0.3075534403324127,0.44110071659088135,,2.483053684234619,,0.34809720516204834,,0.8083755373954773,,0.016702353954315186,,0.33044880628585815,,0.04622291773557663,,,0.7553220987319946,,0.5078195929527283,,3.40478777885437,,,,,,,,,,,,,,,,,,,
0,59,,0.17931729555130005,,0.1304519921541214,,0.0,,0.5091161131858826,,0.43635112047195435,,0.4373566508293152,,,0.2806053161621094,0.32881486415863037,,1.3128852844238281,,0.3657553791999817,,0.7531797289848328,,0.01764375902712345,,0.3241554796695709,,0.04404590278863907,,,0.644363522529602,,0.43635112047195435,,2.637134552001953,,,,,,,,,,,,,,,,,,,
0,69,,0.17689016461372375,,0.13668733835220337,,0.0,,0.509965181350708,,0.4806350767612457,,0.4455573856830597,,,0.3181663453578949,0.30940568447113037,,0.8577808141708374,,0.42365843057632446,,0.7494770288467407,,0.01681198552250862,,0.32088127732276917,,0.04345743730664253,,,0.6752958297729492,,0.4806350767612457,,2.4860880374908447,,,,,,,,,,,,,,,,,,,
0,79,,0.16428224742412567,,0.3208584189414978,,0.0,,0.5067652463912964,,0.3965068757534027,,0.48738962411880493,,,0.3064853250980377,0.3270435929298401,,0.540550708770752,,0.3673744201660156,,0.6674996614456177,,0.020929662510752678,,0.4058495759963989,,0.045400187373161316,,,0.6465789079666138,,0.3965068757534027,,2.3013064861297607,,,,,,,,,,,,,,,,,,,
0,89,,0.15848155319690704,,0.3752126395702362,,0.0,,0.5082259774208069,,0.3191768527030945,,0.4094010591506958,,,0.29059839248657227,0.2747751772403717,,0.20120637118816376,,0.33176517486572266,,0.6453332901000977,,0.015628034248948097,,0.3038020730018616,,0.03982895240187645,,,0.5361695289611816,,0.3191768527030945,,1.8894771337509155,,,,,,,,,,,,,,,,,,,
0,99,,0.14418482780456543,,0.374538391828537,,0.0,,0.5045207738876343,,0.36452919244766235,,0.41893303394317627,,,0.28376126289367676,0.4108201563358307,,0.23315107822418213,,0.3041134476661682,,0.6384626030921936,,0.018379472196102142,,0.33880114555358887,,0.043691981583833694,,,0.5839636325836182,,0.36452919244766235,,2.016899585723877,,,,,,,,,,,,,,,,,,,
0,109,,0.14747008681297302,,0.49256473779678345,,0.0,,0.5004134774208069,,0.384806752204895,,0.3868559002876282,,,0.26714667677879333,0.25455865263938904,,0.1793493926525116,,0.28908398747444153,,0.5937209725379944,,0.016283106058835983,,0.33129552006721497,,0.03948552906513214,,,0.5323851108551025,,0.384806752204895,,1.8581829071044922,,,,,,,,,,,,,,,,,,,
0,119,,0.12555834650993347,,0.3533601760864258,,0.0,,0.4990670680999756,,0.3655785322189331,,0.3727192282676697,,,0.26285281777381897,0.29131174087524414,,0.1290532946586609,,0.27840450406074524,,0.5908252000808716,,0.01624980755150318,,0.3218831419944763,,0.0398201048374176,,,0.5784664750099182,,0.3655785322189331,,1.8194624185562134,,,,,,,,,,,,,,,,,,,
0,129,,0.13104523718357086,,0.34185153245925903,,0.0,,0.49265405535697937,,0.3971678614616394,,0.4550963342189789,,,0.2948191165924072,0.5473361611366272,,0.15014487504959106,,0.2966271936893463,,0.6294889450073242,,0.01915317215025425,,0.4129798710346222,,0.042785003781318665,,,0.5542954206466675,,0.3971678614616394,,2.0838212966918945,,,,,,,,,,,,,,,,,,,
