epoch,step,train/L_coord_epoch,train/L_coord_step,train/L_kld_epoch,train/L_kld_step,train/L_mask_epoch,train/L_mask_step,train/L_motion_recon_epoch,train/L_motion_recon_step,train/L_motion_type_epoch,train/L_motion_type_step,train/L_origin_epoch,train/L_origin_map_epoch,train/L_origin_map_step,train/L_origin_step,train/L_point_3d_epoch,train/L_point_3d_step,train/L_point_map_epoch,train/L_point_map_step,train/L_trajectory_epoch,train/L_trajectory_step,train/L_vae_total_epoch,train/L_vae_total_step,train/loss_total_epoch,train/loss_total_step,val/L_coord,val/L_kld,val/L_mask,val/L_motion_recon,val/L_motion_type,val/L_origin,val/L_origin_map,val/L_point_3d,val/L_point_map,val/L_trajectory,val/L_vae_total,val/loss_total
0,9,,0.2274506837129593,,0.0,,0.5568443536758423,,0.0,,0.0,,,0.0,0.0,,0.15696895122528076,,0.7837153673171997,,0.015549850650131702,,0.0,,0.8702646493911743,,,,,,,,,,,,
0,19,,0.21167416870594025,,0.0,,0.5234512090682983,,0.0,,0.0,,,0.0,0.0,,0.17063122987747192,,0.6334910988807678,,0.013867734000086784,,0.0,,0.7765577435493469,,,,,,,,,,,,
0,29,,0.19651836156845093,,0.0,,0.5185084939002991,,0.0,,0.0,,,0.0,0.0,,0.1849881112575531,,0.6438250541687012,,0.02045690268278122,,0.0,,0.7821484804153442,,,,,,,,,,,,
0,39,,0.1818944364786148,,0.0,,0.5212039351463318,,0.0,,0.0,,,0.0,0.0,,0.16577790677547455,,0.5846645832061768,,0.01652270182967186,,0.0,,0.73503178358078,,,,,,,,,,,,
0,49,,0.1736677885055542,,0.0,,0.5201946496963501,,0.0,,0.0,,,0.0,0.0,,0.08772581070661545,,0.5243033170700073,,0.018394196406006813,,0.0,,0.6621428728103638,,,,,,,,,,,,
0,59,,0.16320176422595978,,0.0,,0.521285891532898,,0.0,,0.0,,,0.0,0.0,,0.11895136535167694,,0.4928668737411499,,0.012566004879772663,,0.0,,0.654435932636261,,,,,,,,,,,,
0,69,,0.16917283833026886,,0.0,,0.5163552761077881,,0.0,,0.0,,,0.0,0.0,,0.0941464751958847,,0.5245559215545654,,0.012335461564362049,,0.0,,0.658282995223999,,,,,,,,,,,,
0,79,,0.1573687642812729,,0.0,,0.5174896121025085,,0.0,,0.0,,,0.0,0.0,,0.08633723855018616,,0.4779090881347656,,0.012911497615277767,,0.0,,0.6260080337524414,,,,,,,,,,,,
0,89,,0.15141358971595764,,0.0,,0.5151337385177612,,0.0,,0.0,,,0.0,0.0,,0.09544884413480759,,0.4695241451263428,,0.014304794371128082,,0.0,,0.6229125261306763,,,,,,,,,,,,
0,99,,0.14300909638404846,,0.0,,0.5174110531806946,,0.0,,0.0,,,0.0,0.0,,0.07350923866033554,,0.4395180940628052,,0.017134539783000946,,0.0,,0.595291018486023,,,,,,,,,,,,
