epoch,step,train/L_coord_epoch,train/L_coord_step,train/L_kld_epoch,train/L_kld_step,train/L_mask_epoch,train/L_mask_step,train/L_motion_recon_epoch,train/L_motion_recon_step,train/L_motion_type_epoch,train/L_motion_type_step,train/L_point_map_epoch,train/L_point_map_step,train/L_screw_omega_epoch,train/L_screw_omega_step,train/L_screw_self_epoch,train/L_screw_self_step,train/L_screw_twist_gt_traj_epoch,train/L_screw_twist_gt_traj_step,train/L_traj_proj_epoch,train/L_traj_proj_step,train/L_trajectory_epoch,train/L_trajectory_step,train/L_twist_epoch,train/L_twist_step,train/L_vae_total_epoch,train/L_vae_total_step,train/loss_total_epoch,train/loss_total_step,val/L_coord,val/L_kld,val/L_mask,val/L_motion_recon,val/L_motion_type,val/L_point_map,val/L_screw_omega,val/L_screw_self,val/L_screw_twist_gt_traj,val/L_traj_proj,val/L_trajectory,val/L_twist,val/L_vae_total,val/loss_total
0,9,,0.28290629386901855,,0.0,,0.573999285697937,,0.6465664505958557,,0.0,,0.7921916246414185,,0.049495574086904526,,0.9097622036933899,,1.1469993591308594,,0.2416115701198578,,0.021063363179564476,,0.5915338397026062,,0.6465664505958557,,1.4007303714752197,,,,,,,,,,,,,,
0,19,,0.23990711569786072,,0.0,,0.5057200789451599,,0.6428580284118652,,0.0,,0.6461637020111084,,0.06063475459814072,,0.8184562921524048,,1.1306041479110718,,0.16041739284992218,,0.03712327033281326,,0.5303261280059814,,0.6428580284118652,,1.1859387159347534,,,,,,,,,,,,,,
0,29,,0.25189530849456787,,0.0,,0.5046573877334595,,0.6396406888961792,,0.0,,0.6013498306274414,,0.07139603048563004,,0.6172020435333252,,1.1844161748886108,,0.19391892850399017,,0.057205475866794586,,0.796230673789978,,0.6396406888961792,,1.0852257013320923,,,,,,,,,,,,,,
0,39,,0.22885531187057495,,0.0,,0.5061013102531433,,0.6528545618057251,,0.0,,0.5487383604049683,,0.06505922973155975,,0.4452108144760132,,1.1199400424957275,,0.1513078808784485,,0.09009505063295364,,0.4883043169975281,,0.6528545618057251,,0.9407573938369751,,,,,,,,,,,,,,
0,49,,0.21470549702644348,,0.0,,0.5061420798301697,,0.6970469951629639,,0.0,,0.5330306887626648,,0.08109799772500992,,0.3470437526702881,,1.10236394405365,,0.14155201613903046,,0.17734567821025848,,0.5380992889404297,,0.6970469951629639,,0.8720479607582092,,,,,,,,,,,,,,
0,59,,0.2509310245513916,,0.0,,0.5062099695205688,,0.6453500986099243,,0.0,,0.6017919778823853,,0.061872802674770355,,0.3199726343154907,,1.146265983581543,,0.1666174679994583,,0.1566883623600006,,0.4878155589103699,,0.6453500986099243,,0.9233803153038025,,,,,,,,,,,,,,
0,69,,0.22144386172294617,,0.0,,0.5051397681236267,,0.6364536285400391,,0.0,,0.6026335954666138,,0.04705766588449478,,0.28520601987838745,,1.1635648012161255,,0.15013715624809265,,0.15088264644145966,,0.7015500068664551,,0.6364536285400391,,0.8827507495880127,,,,,,,,,,,,,,
0,79,,0.2468283772468567,,0.0,,0.5041041374206543,,0.6546110510826111,,0.0,,0.6385117173194885,,0.03810416907072067,,0.2324732095003128,,1.0475373268127441,,0.15977510809898376,,0.20409142971038818,,0.6072481870651245,,0.6546110510826111,,0.8912273049354553,,,,,,,,,,,,,,
0,89,,0.24714890122413635,,0.0,,0.5041571855545044,,0.6119128465652466,,0.0,,0.5785682201385498,,0.028963105753064156,,0.20658351480960846,,1.1501824855804443,,0.16050130128860474,,0.20618398487567902,,0.5712815523147583,,0.6119128465652466,,0.8487691879272461,,,,,,,,,,,,,,
0,99,,0.21197591722011566,,0.0,,0.5056771636009216,,0.6513273119926453,,0.0,,0.5296205282211304,,0.0204593725502491,,0.17025312781333923,,1.2259249687194824,,0.1350604146718979,,0.24944379925727844,,0.697711706161499,,0.6513273119926453,,0.7764981389045715,,,,,,,,,,,,,,
0,109,,0.21319860219955444,,0.0,,0.5044758915901184,,0.6129369735717773,,0.0,,0.5704158544540405,,0.01613594964146614,,0.14602066576480865,,1.154070258140564,,0.11342106759548187,,0.31855037808418274,,0.684818685054779,,0.6129369735717773,,0.7739274501800537,,,,,,,,,,,,,,
0,119,,0.22646956145763397,,0.0,,0.5035473704338074,,0.6624830961227417,,0.0,,0.518135666847229,,0.019582316279411316,,0.11782810091972351,,1.057106614112854,,0.1404595673084259,,0.3448709547519684,,0.5916516780853271,,0.6624830961227417,,0.7534158825874329,,,,,,,,,,,,,,
0,129,,0.19957274198532104,,0.0,,0.5050299167633057,,0.641864538192749,,0.0,,0.4784935712814331,,0.01539155188947916,,0.10806145519018173,,1.1469264030456543,,0.13334742188453674,,0.31544962525367737,,0.5270321369171143,,0.641864538192749,,0.7124063968658447,,,,,,,,,,,,,,
0,139,,0.2019122838973999,,0.0,,0.5042827725410461,,0.6515763998031616,,0.0,,0.5312435030937195,,0.01717037707567215,,0.0836142897605896,,1.100387454032898,,0.12167278677225113,,0.35439932346343994,,0.6057820916175842,,0.6515763998031616,,0.7215344905853271,,,,,,,,,,,,,,
0,149,,0.19823557138442993,,0.0,,0.5038819909095764,,0.6839362382888794,,0.0,,0.501139760017395,,0.014499034732580185,,0.05309459567070007,,1.1339446306228638,,0.12742622196674347,,0.3652883470058441,,0.6278539299964905,,0.6839362382888794,,0.6920340657234192,,,,,,,,,,,,,,
0,159,,0.19246546924114227,,0.0,,0.5043438076972961,,0.6352630853652954,,0.0,,0.4589163661003113,,0.012383565306663513,,0.04107468202710152,,1.110656499862671,,0.12020036578178406,,0.37947168946266174,,0.5015281438827515,,0.6352630853652954,,0.6586241722106934,,,,,,,,,,,,,,
0,169,,0.18973347544670105,,0.0,,0.5048098564147949,,0.641662061214447,,0.0,,0.44095948338508606,,0.017138484865427017,,0.044340576976537704,,1.140284538269043,,0.11633745580911636,,0.3818318247795105,,0.7641630172729492,,0.641662061214447,,0.6482617855072021,,,,,,,,,,,,,,
0,179,,0.18184788525104523,,0.0,,0.5041670203208923,,0.6553624868392944,,0.0,,0.4578869640827179,,0.013091998174786568,,0.03409789502620697,,1.061685562133789,,0.10088837891817093,,0.381570041179657,,0.6447438597679138,,0.6553624868392944,,0.6395750045776367,,,,,,,,,,,,,,
0,189,,0.19505928456783295,,0.0,,0.5030720829963684,,0.6347881555557251,,0.0,,0.4428897798061371,,0.013257392682135105,,0.02507450245320797,,1.0627998113632202,,0.11575619131326675,,0.43297168612480164,,0.5335516929626465,,0.6347881555557251,,0.6410584449768066,,,,,,,,,,,,,,
0,199,,0.21815305948257446,,0.0,,0.5039621591567993,,0.6485616564750671,,0.0,,0.43911778926849365,,0.014347510412335396,,0.017704544588923454,,1.1410123109817505,,0.132438063621521,,0.47368162870407104,,0.7076491117477417,,0.6485616564750671,,0.6558312773704529,,,,,,,,,,,,,,
0,209,,0.18356606364250183,,0.0,,0.5065343379974365,,0.6475752592086792,,0.0,,0.4220854341983795,,0.014318744651973248,,0.021384449675679207,,1.1358098983764648,,0.09977199137210846,,0.5416969656944275,,0.5115697383880615,,0.6475752592086792,,0.6168143153190613,,,,,,,,,,,,,,
0,219,,0.18234987556934357,,0.0,,0.5043761134147644,,0.6263715028762817,,0.0,,0.4389422833919525,,0.013997433707118034,,0.019011976197361946,,0.9994684457778931,,0.10062243044376373,,0.507984459400177,,0.8181447386741638,,0.6263715028762817,,0.6227912902832031,,,,,,,,,,,,,,
