epoch,step,train/L_coord_epoch,train/L_coord_step,train/L_kld_epoch,train/L_kld_step,train/L_mask_epoch,train/L_mask_step,train/L_motion_recon_epoch,train/L_motion_recon_step,train/L_motion_type_epoch,train/L_motion_type_step,train/L_origin_epoch,train/L_origin_map_epoch,train/L_origin_map_step,train/L_origin_step,train/L_point_3d_epoch,train/L_point_3d_step,train/L_point_map_epoch,train/L_point_map_step,train/L_traj_analytic_epoch,train/L_traj_analytic_step,train/L_traj_proj_epoch,train/L_traj_proj_step,train/L_trajectory_epoch,train/L_trajectory_m2,train/L_trajectory_step,train/L_vae_total_epoch,train/L_vae_total_step,train/arctic/loss_total,train/epic/loss_total,train/hoi4d/loss_total,train/loss_total_epoch,train/loss_total_step,train/p_rev_mean,train/sf3d/loss_total,val/L_coord,val/L_kld,val/L_mask,val/L_motion_recon,val/L_motion_type,val/L_origin,val/L_origin_map,val/L_point_3d,val/L_point_map,val/L_traj_analytic,val/L_traj_proj,val/L_trajectory,val/L_trajectory_m2,val/L_vae_total,val/arctic/loss_total,val/epic/loss_total,val/hoi4d/loss_total,val/loss_total,val/sf3d/loss_total
0,9,,0.35519319772720337,,0.0,,0.7641761302947998,,0.7078258991241455,,0.7275562882423401,,,6.055172920227051,1.2845312356948853,,0.3059383034706116,,4.378537178039551,,1.9108272790908813,,10.593343734741211,,,1.467634916305542,,0.7078258991241455,,,,,9.200292587280273,,,,,,,,,,,,,,,,,,,,,
0,19,,0.2959245443344116,,0.0,,7.680477142333984,,1.0,,0.7127599716186523,,,0.0,0.0,,0.11080911755561829,,5.053713798522949,,52.44841766357422,,4.014056205749512,,,20.851181030273438,,1.0,,,,,61.326881408691406,,,,,,,,,,,,,,,,,,,,,
0,29,,0.22575543820858002,,0.0,,2.0751004219055176,,1.0,,0.7432555556297302,,,0.0,0.0,,203.82858276367188,,5.031121730804443,,1.666988730430603,,4.23361349105835,,,1.189777135848999,,1.0,,,,,7.821412086486816,,,,,,,,,,,,,,,,,,,,,
0,39,,0.15224897861480713,,0.0,,1.3676211833953857,,1.0,,0.7741973996162415,,,0.0,0.0,,197.7255859375,,4.44970178604126,,1.2110234498977661,,2.6338796615600586,,,1.1129505634307861,,1.0,,,,,5.899847984313965,,,,,,,,,,,,,,,,,,,,,
0,49,,0.30522847175598145,,0.0,,0.5959820747375488,,0.7405354976654053,,0.6152116656303406,,,3.633572816848755,0.6897355318069458,,0.3421255350112915,,4.059636116027832,,1.471543788909912,,4.225632190704346,,,1.1907968521118164,,0.7405354976654053,,,,,6.962557792663574,,,,,,,,,,,,,,,,,,,,,
0,59,,0.3952763080596924,,0.0,,0.6522472500801086,,0.7163790464401245,,0.5897007584571838,,,4.80349063873291,0.5969856381416321,,0.35269686579704285,,4.795419692993164,,1.691902995109558,,3.7033634185791016,,,1.1895428895950317,,0.7163790464401245,,,,,8.143000602722168,,,,,,,,,,,,,,,,,,,,,
0,69,,0.3613382577896118,,0.0,,0.6031367778778076,,0.7374119758605957,,0.6168230175971985,,,4.140587329864502,0.9793189764022827,,0.2813841998577118,,5.071739196777344,,1.4799442291259766,,6.848930358886719,,,1.1807752847671509,,0.7374119758605957,,,,,7.875814437866211,,,,,,,,,,,,,,,,,,,,,
0,79,,0.26731163263320923,,0.0,,1.1254723072052002,,1.0,,0.7676979303359985,,,0.0,0.0,,209.5254364013672,,5.914967060089111,,1.4505884647369385,,3.062526226043701,,,1.1565076112747192,,1.0,,,,,7.019576072692871,,,,,,,,,,,,,,,,,,,,,
0,89,,0.3742477595806122,,0.0,,0.6371192336082458,,0.6454553604125977,,0.579912006855011,,,3.001026153564453,1.9870420694351196,,0.4892471730709076,,4.739081859588623,,1.3556084632873535,,3.0854105949401855,,,1.1416394710540771,,0.6454553604125977,,,,,7.582174301147461,,,,,,,,,,,,,,,,,,,,,
0,99,,0.3017188310623169,,0.0,,1.5319634675979614,,1.0272313356399536,,1.1092932224273682,,,3.7915287017822266,0.03982672467827797,,0.02523801475763321,,9.424871444702148,,17.888124465942383,,4.614066123962402,,,26.809551239013672,,1.0272313356399536,,,,,26.37908172607422,,,,,,,,,,,,,,,,,,,,,
0,109,,0.3305424451828003,,0.0,,1.7031880617141724,,1.0378323793411255,,1.051018476486206,,,3.4603354930877686,0.06636202335357666,,0.031730279326438904,,7.58878231048584,,12.886096000671387,,3.247319221496582,,,18.05602264404297,,1.0378323793411255,,,,,19.846521377563477,,,,,,,,,,,,,,,,,,,,,
0,119,,0.3441314697265625,,0.0,,0.5812084674835205,,0.4632452130317688,,0.5044857263565063,,,4.09783411026001,2.0510878562927246,,0.385875940322876,,4.098723411560059,,0.9208996295928955,,2.909778118133545,,,0.800277829170227,,0.4632452130317688,,,,,7.184195518493652,,,,,,,,,,,,,,,,,,,,,
0,129,,0.3160918951034546,,0.0,,0.5976976156234741,,0.44546976685523987,,0.592666506767273,,,3.7170181274414062,2.0415685176849365,,0.40579885244369507,,4.048915863037109,,0.7637685537338257,,1.3938320875167847,,,0.7074664235115051,,0.44546976685523987,,,,,6.8463826179504395,,,,,,,,,,,,,,,,,,,,,
0,139,,0.3055073320865631,,0.0,,1.4385969638824463,,1.1172559261322021,,0.8337936997413635,,,4.060126781463623,0.09962422400712967,,0.033205680549144745,,5.566586017608643,,7.2678751945495605,,2.016854763031006,,,7.133914947509766,,1.1172559261322021,,,,,12.34854507446289,,,,,,,,,,,,,,,,,,,,,
0,149,,0.31322070956230164,,0.0,,1.3207918405532837,,1.1097373962402344,,0.7898432612419128,,,4.316746711730957,0.1020626574754715,,0.03423572704195976,,5.379006385803223,,8.063835144042969,,1.3806790113449097,,,5.0975847244262695,,1.1097373962402344,,,,,12.65560531616211,,,,,,,,,,,,,,,,,,,,,
0,159,,0.29408422112464905,,0.0,,0.6273413300514221,,0.462563693523407,,0.5862200856208801,,,3.973311185836792,1.6356840133666992,,0.4497121274471283,,4.0721435546875,,0.7057410478591919,,0.9334777593612671,,,0.7667195796966553,,0.462563693523407,,,,,6.756270885467529,,,,,,,,,,,,,,,,,,,,,
0,169,,0.27577874064445496,,0.0,,0.639498770236969,,0.4728020429611206,,0.5905977487564087,,,3.526456356048584,1.7377831935882568,,0.41918835043907166,,4.357955455780029,,0.7683398723602295,,1.0057040452957153,,,0.8118742108345032,,0.4728020429611206,,,,,6.7783708572387695,,,,,,,,,,,,,,,,,,,,,
