epoch,step,train/L_coord_epoch,train/L_coord_step,train/L_geo_pred_pred_art_epoch,train/L_geo_pred_pred_art_step,train/L_kld_epoch,train/L_kld_step,train/L_mask_epoch,train/L_mask_step,train/L_motion_recon_epoch,train/L_motion_recon_step,train/L_motion_type_epoch,train/L_motion_type_step,train/L_origin_epoch,train/L_origin_map_epoch,train/L_origin_map_step,train/L_origin_step,train/L_point_3d_epoch,train/L_point_3d_step,train/L_point_map_epoch,train/L_point_map_step,train/L_trajectory_epoch,train/L_trajectory_step,train/L_vae_total_epoch,train/L_vae_total_step,train/loss_total_epoch,train/loss_total_step,val/L_coord,val/L_geo_pred_pred_art,val/L_kld,val/L_mask,val/L_motion_recon,val/L_motion_type,val/L_origin,val/L_origin_map,val/L_point_3d,val/L_point_map,val/L_trajectory,val/L_vae_total,val/loss_total
0,9,,0.2382364720106125,,0.4145529866218567,,0.0,,0.5923020243644714,,0.967812180519104,,0.6959167718887329,,,0.6855376958847046,0.8459014892578125,,0.2047145813703537,,0.7187604308128357,,0.015121808275580406,,0.967812180519104,,2.5236072540283203,,,,,,,,,,,,,
0,19,,0.2069723904132843,,0.40391820669174194,,0.0,,0.5314597487449646,,0.708195686340332,,0.6908473372459412,,,0.5659583806991577,0.5912339687347412,,0.15418028831481934,,0.6587141156196594,,0.02041478455066681,,0.708195686340332,,2.1043803691864014,,,,,,,,,,,,,
0,29,,0.18940530717372894,,0.3607354760169983,,0.0,,0.5196434259414673,,0.5670874118804932,,0.6873754858970642,,,0.4878508150577545,0.6174286007881165,,0.1754974126815796,,0.646345853805542,,0.01135300099849701,,0.5670874118804932,,1.9870673418045044,,,,,,,,,,,,,
0,39,,0.19072949886322021,,0.35915815830230713,,0.0,,0.526043176651001,,0.5046462416648865,,0.6879301071166992,,,0.5286639928817749,0.6789778470993042,,0.13591575622558594,,0.5611847639083862,,0.012301595881581306,,0.5046462416648865,,1.9491125345230103,,,,,,,,,,,,,
0,49,,0.18183454871177673,,0.35387253761291504,,0.0,,0.516792356967926,,0.5063999891281128,,0.6815154552459717,,,0.4590502679347992,0.6978247761726379,,0.11413842439651489,,0.5341634750366211,,0.01235305704176426,,0.5063999891281128,,1.8874232769012451,,,,,,,,,,,,,
0,59,,0.16931502521038055,,0.33466315269470215,,0.0,,0.5205594897270203,,0.4456852674484253,,0.6717111468315125,,,0.4292118549346924,0.47765812277793884,,0.14257654547691345,,0.5298226475715637,,0.015181262046098709,,0.4456852674484253,,1.734326958656311,,,,,,,,,,,,,
0,69,,0.18208792805671692,,0.3295368552207947,,0.0,,0.5197702050209045,,0.48946255445480347,,0.6707286834716797,,,0.47266578674316406,0.3578358292579651,,0.1441284865140915,,0.5538808107376099,,0.015463015995919704,,0.48946255445480347,,1.7359654903411865,,,,,,,,,,,,,
0,79,,0.18838708102703094,,0.307650625705719,,0.0,,0.5213838815689087,,0.4423699975013733,,0.6649362444877625,,,0.4310181140899658,0.40367382764816284,,0.13287493586540222,,0.5466454029083252,,0.01758309081196785,,0.4423699975013733,,1.7052013874053955,,,,,,,,,,,,,
0,89,,0.16729101538658142,,0.29130125045776367,,0.0,,0.5149876475334167,,0.44082677364349365,,0.6623214483261108,,,0.4014204442501068,0.3524169921875,,0.11306503415107727,,0.4831176698207855,,0.0170016810297966,,0.44082677364349365,,1.6053544282913208,,,,,,,,,,,,,
0,99,,0.17660833895206451,,0.2695872187614441,,0.0,,0.5172338485717773,,0.43263664841651917,,0.6491756439208984,,,0.38723689317703247,0.4369411766529083,,0.09566730260848999,,0.4715145230293274,,0.015662625432014465,,0.43263664841651917,,1.6182972192764282,,,,,,,,,,,,,
0,109,,0.1688152551651001,,0.2672334909439087,,0.0,,0.5159710645675659,,0.4115050435066223,,0.6491037011146545,,,0.35298097133636475,0.3099503219127655,,0.11753883957862854,,0.46881794929504395,,0.014212150126695633,,0.4115050435066223,,1.5311710834503174,,,,,,,,,,,,,
0,119,,0.16080132126808167,,0.2568013072013855,,0.0,,0.5160550475120544,,0.39773476123809814,,0.6455777883529663,,,0.34470224380493164,0.2273661196231842,,0.08385652303695679,,0.47729751467704773,,0.014044777490198612,,0.39773476123809814,,1.4593982696533203,,,,,,,,,,,,,
0,129,,0.16084957122802734,,0.2538033723831177,,0.0,,0.514897882938385,,0.36364758014678955,,0.6424007415771484,,,0.35756799578666687,0.2548200786113739,,0.07617300748825073,,0.4526042342185974,,0.016780024394392967,,0.36364758014678955,,1.4452509880065918,,,,,,,,,,,,,
0,139,,0.1617582142353058,,0.23263543844223022,,0.0,,0.5167953968048096,,0.3523719310760498,,0.6344816088676453,,,0.3566748797893524,0.31903284788131714,,0.09051541984081268,,0.4716941714286804,,0.01520555466413498,,0.3523719310760498,,1.4825286865234375,,,,,,,,,,,,,
0,149,,0.152329683303833,,0.2171790897846222,,0.0,,0.5165086984634399,,0.32253891229629517,,0.6311344504356384,,,0.33080101013183594,0.19677840173244476,,0.0843619704246521,,0.43459224700927734,,0.01966078393161297,,0.32253891229629517,,1.3660709857940674,,,,,,,,,,,,,
0,159,,0.16419222950935364,,0.21131470799446106,,0.0,,0.5155256986618042,,0.42789751291275024,,0.6269115805625916,,,0.3681802749633789,0.26980340480804443,,0.07198801636695862,,0.4223855137825012,,0.01118383463472128,,0.42789751291275024,,1.4601655006408691,,,,,,,,,,,,,
0,169,,0.14839014410972595,,0.22236108779907227,,0.0,,0.5161741375923157,,0.39258047938346863,,0.6267045736312866,,,0.3178545832633972,0.2886411249637604,,0.08883699774742126,,0.42362943291664124,,0.01638314686715603,,0.39258047938346863,,1.4318335056304932,,,,,,,,,,,,,
0,179,,0.15791907906532288,,0.21761593222618103,,0.0,,0.515222430229187,,0.3232322037220001,,0.6185022592544556,,,0.330326110124588,0.19352987408638,,0.07399245351552963,,0.4237903952598572,,0.014924969524145126,,0.3232322037220001,,1.347481369972229,,,,,,,,,,,,,
0,189,,0.13915403187274933,,0.20976747572422028,,0.0,,0.5142821073532104,,0.337067574262619,,0.6420050859451294,,,0.3352096974849701,0.17530953884124756,,0.0690121203660965,,0.417874813079834,,0.020162178203463554,,0.337067574262619,,1.3460153341293335,,,,,,,,,,,,,
0,199,,0.16259954869747162,,0.21191081404685974,,0.0,,0.5139004588127136,,0.3662218451499939,,0.6133869886398315,,,0.3128425180912018,0.2502877414226532,,0.07187849283218384,,0.4354040026664734,,0.014682319946587086,,0.3662218451499939,,1.3917930126190186,,,,,,,,,,,,,
0,209,,0.13707572221755981,,0.2141948640346527,,0.0,,0.5120298862457275,,0.2622947692871094,,0.6055927276611328,,,0.28300848603248596,0.3170238435268402,,0.08063195645809174,,0.4116460978984833,,0.018311358988285065,,0.2622947692871094,,1.3352268934249878,,,,,,,,,,,,,
0,219,,0.13992038369178772,,0.2122986912727356,,0.0,,0.5134508013725281,,0.29979845881462097,,0.5999206304550171,,,0.31620657444000244,0.2132788747549057,,0.05935252830386162,,0.36853110790252686,,0.01090638805180788,,0.29979845881462097,,1.2819128036499023,,,,,,,,,,,,,
0,229,,0.12213816493749619,,0.1873587965965271,,0.0,,0.5126810073852539,,0.26091423630714417,,0.5971453189849854,,,0.30319997668266296,0.2679932415485382,,0.06761167198419571,,0.39727452397346497,,0.016113361343741417,,0.26091423630714417,,1.2912715673446655,,,,,,,,,,,,,
0,239,,0.13877128064632416,,0.21132946014404297,,0.0,,0.5115064382553101,,0.298295259475708,,0.5970047116279602,,,0.3087118864059448,0.1938992440700531,,0.07425227016210556,,0.40173643827438354,,0.015171954408288002,,0.298295259475708,,1.2908077239990234,,,,,,,,,,,,,
0,249,,0.13400670886039734,,0.19817321002483368,,0.0,,0.5134168267250061,,0.2856450080871582,,0.590946614742279,,,0.31607934832572937,0.1679738163948059,,0.06211885064840317,,0.4322800636291504,,0.014506712555885315,,0.2856450080871582,,1.2783043384552002,,,,,,,,,,,,,
