epoch,step,train/L_coord_epoch,train/L_coord_step,train/L_geo_pred_pred_art_epoch,train/L_geo_pred_pred_art_step,train/L_kld_epoch,train/L_kld_step,train/L_mask_epoch,train/L_mask_step,train/L_motion_recon_epoch,train/L_motion_recon_step,train/L_motion_type_epoch,train/L_motion_type_step,train/L_origin_epoch,train/L_origin_map_epoch,train/L_origin_map_step,train/L_origin_step,train/L_point_3d_epoch,train/L_point_3d_step,train/L_point_map_epoch,train/L_point_map_step,train/L_trajectory_epoch,train/L_trajectory_step,train/L_vae_total_epoch,train/L_vae_total_step,train/loss_total_epoch,train/loss_total_step,val/L_coord,val/L_geo_pred_pred_art,val/L_kld,val/L_mask,val/L_motion_recon,val/L_motion_type,val/L_origin,val/L_origin_map,val/L_point_3d,val/L_point_map,val/L_trajectory,val/L_vae_total,val/loss_total
22,9289,,0.014121903106570244,,0.023365642875432968,,0.0,,0.14563465118408203,,0.01481507159769535,,0.23512963950634003,,,0.14767611026763916,0.003383033210411668,,0.002974127884954214,,0.1522035151720047,,0.014041722752153873,,0.01481507159769535,,0.36732643842697144,,,,,,,,,,,,,
22,9299,,0.012164046987891197,,0.017652828246355057,,0.0,,0.136639803647995,,0.019995655864477158,,0.25755971670150757,,,0.14309462904930115,0.003227809676900506,,0.0025263424031436443,,0.14998330175876617,,0.012328725308179855,,0.019995655864477158,,0.3705253303050995,,,,,,,,,,,,,
22,9309,,0.010880298912525177,,0.022647161036729813,,0.0,,0.1416184902191162,,0.010733149014413357,,0.25201210379600525,,,0.1448240876197815,0.004296442959457636,,0.0018617784371599555,,0.14973503351211548,,0.009466725401580334,,0.010733149014413357,,0.36497873067855835,,,,,,,,,,,,,
22,9319,,0.009278867393732071,,0.02260386198759079,,0.0,,0.13437502086162567,,0.011617648415267467,,0.24080565571784973,,,0.1433703899383545,0.0027807806618511677,,0.0025428887456655502,,0.14615054428577423,,0.008703408762812614,,0.011617648415267467,,0.3520730137825012,,,,,,,,,,,,,
22,9329,,0.011283560656011105,,0.018742524087429047,,0.0,,0.14414861798286438,,0.02470509707927704,,0.2383379340171814,,,0.14735858142375946,0.002679454395547509,,0.002057335339486599,,0.14912763237953186,,0.006838582456111908,,0.02470509707927704,,0.3651426136493683,,,,,,,,,,,,,
22,9339,,0.012917283922433853,,0.0237443670630455,,0.0,,0.13478533923625946,,0.013334082439541817,,0.2209380567073822,,,0.14938150346279144,0.0021706472616642714,,0.0024216179735958576,,0.1509278118610382,,0.009456790052354336,,0.013334082439541817,,0.35054102540016174,,,,,,,,,,,,,
22,9349,,0.009278741665184498,,0.028677314519882202,,0.0,,0.13639429211616516,,0.017520606517791748,,0.2926875948905945,,,0.14320231974124908,0.0034266954753547907,,0.0015707924030721188,,0.15151430666446686,,0.01131192035973072,,0.017520606517791748,,0.38632136583328247,,,,,,,,,,,,,
22,9359,,0.007634760811924934,,0.019232627004384995,,0.0,,0.13823482394218445,,0.012535253539681435,,0.25974082946777344,,,0.1373966634273529,0.002173116197809577,,0.002051715273410082,,0.14874041080474854,,0.0109596848487854,,0.012535253539681435,,0.36165687441825867,,,,,,,,,,,,,
22,9369,,0.010357556864619255,,0.02253088541328907,,0.0,,0.14640066027641296,,0.01566913351416588,,0.25630858540534973,,,0.14258472621440887,0.006497182883322239,,0.003130801022052765,,0.14948968589305878,,0.010034164413809776,,0.01566913351416588,,0.372489333152771,,,,,,,,,,,,,
22,9379,,0.013904412277042866,,0.017678234726190567,,0.0,,0.1446409970521927,,0.011652092449367046,,0.23756203055381775,,,0.1451021432876587,0.004559746943414211,,0.001972747500985861,,0.1525178849697113,,0.006200247909873724,,0.011652092449367046,,0.36082398891448975,,,,,,,,,,,,,
