epoch,step,train/L_cf_derivative_epoch,train/L_cf_derivative_step,train/L_cf_position_epoch,train/L_cf_position_step,train/L_coord_epoch,train/L_coord_step,train/L_kld_epoch,train/L_kld_step,train/L_mask_epoch,train/L_mask_step,train/L_motion_recon_epoch,train/L_motion_recon_step,train/L_motion_type_epoch,train/L_motion_type_step,train/L_origin_epoch,train/L_origin_map_epoch,train/L_origin_map_step,train/L_origin_step,train/L_point_3d_epoch,train/L_point_3d_step,train/L_point_map_epoch,train/L_point_map_step,train/L_trajectory_epoch,train/L_trajectory_m2,train/L_trajectory_step,train/L_vae_total_epoch,train/L_vae_total_step,train/arctic/loss_total,train/epic/loss_total,train/hoi4d/loss_total,train/loss_total_epoch,train/loss_total_step,train/p_rev_mean,train/sf3d/loss_total,val/L_cf_derivative,val/L_cf_position,val/L_coord,val/L_kld,val/L_mask,val/L_motion_recon,val/L_motion_type,val/L_origin,val/L_origin_map,val/L_point_3d,val/L_point_map,val/L_trajectory,val/L_trajectory_m2,val/L_vae_total,val/arctic/loss_total,val/epic/loss_total,val/hoi4d/loss_total,val/loss_total,val/sf3d/loss_total
0,9,,1.7709304094314575,,1.7617111206054688,,0.32584965229034424,,0.0,,0.7666639685630798,,0.7157663106918335,,0.9523887038230896,,,6.564877510070801,1.242875337600708,,0.3009868562221527,,5.074362754821777,,,1.5428346395492554,,0.7157663106918335,,,,,9.733596801757812,,,,,,,,,,,,,,,,,,,,,
0,19,,0.8853110671043396,,0.8768779039382935,,0.21163427829742432,,0.0,,7.3472208976745605,,1.0,,0.6831361651420593,,,0.0,0.0,,0.06885149329900742,,4.7249860763549805,,,22.791845321655273,,1.0,,,,,6.4834885597229,,,,,,,,,,,,,,,,,,,,,
0,29,,1.2610915899276733,,1.2981469631195068,,0.1279551088809967,,0.0,,1.0656843185424805,,1.0,,0.6113011240959167,,,0.0,0.0,,206.0347900390625,,3.312243938446045,,,1.2269313335418701,,1.0,,,,,2.5585920810699463,,,,,,,,,,,,,,,,,,,,,
0,39,,1.0259114503860474,,1.0817105770111084,,0.1183815598487854,,0.0,,0.9983170032501221,,1.0,,0.6150133609771729,,,0.0,0.0,,198.670654296875,,3.001962900161743,,,1.1743561029434204,,1.0,,,,,2.366837501525879,,,,,,,,,,,,,,,,,,,,,
0,49,,0.6571227312088013,,0.64899742603302,,0.2348785698413849,,0.0,,0.5727531909942627,,0.38309213519096375,,0.6716507077217102,,,2.6338372230529785,0.5515034794807434,,0.2638399004936218,,2.9740757942199707,,,0.7222151756286621,,0.38309213519096375,,,,,4.791812896728516,,,,,,,,,,,,,,,,,,,,,
0,59,,0.8462250232696533,,0.8430906534194946,,0.24869197607040405,,0.0,,0.6591391563415527,,0.5528966188430786,,0.520370602607727,,,3.420254707336426,0.5983130931854248,,0.20575927197933197,,3.6285400390625,,,0.9193037152290344,,0.5528966188430786,,,,,5.760073184967041,,,,,,,,,,,,,,,,,,,,,
0,69,,1.0062671899795532,,1.0017445087432861,,0.22896705567836761,,0.0,,0.5846144556999207,,0.503032922744751,,0.4719099700450897,,,3.154857635498047,0.4895172119140625,,0.15598157048225403,,3.0394716262817383,,,0.8864521980285645,,0.503032922744751,,,,,5.315920829772949,,,,,,,,,,,,,,,,,,,,,
0,79,,1.1866921186447144,,1.2191393375396729,,0.10430675745010376,,0.0,,0.8798744082450867,,1.0,,0.46693599224090576,,,0.0,0.0,,201.04742431640625,,2.6388354301452637,,,1.1856417655944824,,1.0,,,,,2.044976234436035,,,,,,,,,,,,,,,,,,,,,
0,89,,1.174238920211792,,1.1690890789031982,,0.20950543880462646,,0.0,,0.5983433127403259,,0.5557158589363098,,0.4639008939266205,,,2.460421323776245,0.948725700378418,,0.24853460490703583,,2.846876621246338,,,1.3235459327697754,,0.5557158589363098,,,,,5.335101127624512,,,,,,,,,,,,,,,,,,,,,
0,99,,0.8625876307487488,,0.8520302772521973,,0.15582747757434845,,0.0,,1.1112911701202393,,1.216651439666748,,0.3308829069137573,,,3.8423240184783936,0.30889052152633667,,0.08292484283447266,,3.3554818630218506,,,45.991065979003906,,1.216651439666748,,,,,2.4767417907714844,,,,,,,,,,,,,,,,,,,,,
