epoch,step,train/L_coord_epoch,train/L_coord_step,train/L_hyp_ce_epoch,train/L_hyp_ce_step,train/L_kld_epoch,train/L_kld_step,train/L_mask_epoch,train/L_mask_step,train/L_motion_recon_epoch,train/L_motion_recon_step,train/L_motion_type_epoch,train/L_motion_type_step,train/L_point_map_epoch,train/L_point_map_step,train/L_screw_self_epoch,train/L_screw_self_step,train/L_screw_twist_gt_traj_epoch,train/L_screw_twist_gt_traj_step,train/L_twist_epoch,train/L_twist_step,train/L_vae_total_epoch,train/L_vae_total_step,train/L_wta_traj_epoch,train/L_wta_traj_step,train/loss_total_epoch,train/loss_total_step,train/twist_T,train/wta_win_0,train/wta_win_1,train/wta_win_2,train/wta_win_3,val/L_coord,val/L_hyp_ce,val/L_kld,val/L_mask,val/L_motion_recon,val/L_motion_type,val/L_point_map,val/L_screw_self,val/L_screw_twist_gt_traj,val/L_twist,val/L_vae_total,val/L_wta_traj,val/loss_total
0,9,,0.2385094165802002,,1.357252836227417,,0.0,,0.575969934463501,,0.0,,0.0,,0.7388532161712646,,0.9160489439964294,,0.7844018340110779,,0.7872801423072815,,0.0,,0.02246493101119995,,2.3603103160858154,0.5,,,,,,,,,,,,,,,,,
0,19,,0.20941074192523956,,1.3814060688018799,,0.0,,0.5170373916625977,,0.0,,0.0,,0.6413884162902832,,0.8753635883331299,,0.8351356983184814,,0.7872799634933472,,0.0,,0.01958053559064865,,2.2509305477142334,0.5,,,,,,,,,,,,,,,,,
0,29,,0.19702821969985962,,1.384453535079956,,0.0,,0.5059852004051208,,0.0,,0.0,,0.6091431975364685,,0.8295689225196838,,0.7939140796661377,,0.7894970178604126,,0.0,,0.017886565998196602,,2.1671152114868164,0.5,,,,,,,,,,,,,,,,,
0,39,,0.19962835311889648,,1.3877415657043457,,0.0,,0.5059587359428406,,0.0,,0.0,,0.6436121463775635,,0.7863819003105164,,0.8215030431747437,,0.7955177426338196,,0.0,,0.020647570490837097,,2.203038215637207,0.5,,,,,,,,,,,,,,,,,
0,49,,0.17113620042800903,,1.3811330795288086,,0.0,,0.5062780380249023,,0.0,,0.0,,0.5518180131912231,,0.7592507004737854,,0.75862056016922,,0.7941136956214905,,0.0,,0.017827652394771576,,2.068533182144165,0.5,,,,,,,,,,,,,,,,,
0,59,,0.18871453404426575,,1.3993198871612549,,0.0,,0.5049627423286438,,0.0,,0.0,,0.574638307094574,,0.7258524298667908,,0.7904900312423706,,0.7826604247093201,,0.0,,0.018840491771697998,,2.090254306793213,0.5,,,,,,,,,,,,,,,,,
0,69,,0.18301159143447876,,1.3924492597579956,,0.0,,0.5063570737838745,,0.0,,0.0,,0.5901511311531067,,0.7065227627754211,,0.7190548181533813,,0.7896238565444946,,0.0,,0.018844734877347946,,2.057736396789551,0.5,,,,,,,,,,,,,,,,,
0,79,,0.17857736349105835,,1.3880763053894043,,0.0,,0.5085345506668091,,0.0,,0.0,,0.5792585611343384,,0.685250997543335,,0.7740708589553833,,0.7981717586517334,,0.0,,0.017127428203821182,,2.0533714294433594,0.5,,,,,,,,,,,,,,,,,
0,89,,0.20331741869449615,,1.390688419342041,,0.0,,0.5052138566970825,,0.0,,0.0,,0.5213587880134583,,0.6688358187675476,,0.7001084089279175,,0.7882629036903381,,0.0,,0.020329995080828667,,2.011312961578369,0.5,,,,,,,,,,,,,,,,,
0,99,,0.18502989411354065,,1.394514560699463,,0.0,,0.5044048428535461,,0.0,,0.0,,0.5522098541259766,,0.6462990045547485,,0.7564656734466553,,0.7800188660621643,,0.0,,0.01858474314212799,,2.020585775375366,0.5,,,,,,,,,,,,,,,,,
