epoch,step,train/L_coord_epoch,train/L_coord_step,train/L_kld_epoch,train/L_kld_step,train/L_mask_epoch,train/L_mask_step,train/L_motion_recon_epoch,train/L_motion_recon_step,train/L_motion_type_epoch,train/L_motion_type_step,train/L_point_map_epoch,train/L_point_map_step,train/L_vae_total_epoch,train/L_vae_total_step,train/loss_total_epoch,train/loss_total_step,val/L_coord,val/L_kld,val/L_mask,val/L_motion_recon,val/L_motion_type,val/L_point_map,val/L_vae_total,val/loss_total
0,9,,0.11827556043863297,,0.00027868710458278656,,0.3985360264778137,,0.17199893295764923,,0.22200843691825867,,0.2638833522796631,,0.17200171947479248,,0.5120969414710999,,,,,,,,
0,19,,0.11889007687568665,,0.00018431199714541435,,0.3861156702041626,,0.11841832101345062,,0.20488324761390686,,0.23320254683494568,,0.11842016130685806,,0.4714518189430237,,,,,,,,
0,29,,0.13316696882247925,,0.00014898600056767464,,0.431820809841156,,0.11895358562469482,,0.26623427867889404,,0.25537949800491333,,0.11895507574081421,,0.5404584407806396,,,,,,,,
0,39,,0.11113829910755157,,0.00014604954048991203,,0.3357047736644745,,0.12303242087364197,,0.24513086676597595,,0.2311972975730896,,0.12303388118743896,,0.46396470069885254,,,,,,,,
0,49,,0.1346268206834793,,0.0002240259200334549,,0.3979034721851349,,0.10669301450252533,,0.22168251872062683,,0.24335789680480957,,0.106695257127285,,0.49319905042648315,,,,,,,,
0,59,,0.14633408188819885,,0.0006192498840391636,,0.40094998478889465,,0.11031624674797058,,0.20036077499389648,,0.24572265148162842,,0.11032243818044662,,0.4894813895225525,,,,,,,,
0,69,,0.10490253567695618,,0.0007559014484286308,,0.3305172920227051,,0.07904564589262009,,0.20015498995780945,,0.21632471680641174,,0.07905320823192596,,0.42077988386154175,,,,,,,,
0,79,,0.1151154488325119,,0.001032472588121891,,0.3649595081806183,,0.12795883417129517,,0.19994498789310455,,0.21689918637275696,,0.1279691606760025,,0.45103031396865845,,,,,,,,
0,89,,0.12219507992267609,,0.001042839139699936,,0.36969080567359924,,0.10557495802640915,,0.27639150619506836,,0.22356650233268738,,0.10558538883924484,,0.4926000237464905,,,,,,,,
0,99,,0.08850739151239395,,0.001183223444968462,,0.3229527473449707,,0.10343661904335022,,0.20089197158813477,,0.2222408950328827,,0.10344845056533813,,0.4202847480773926,,,,,,,,
0,109,,0.12084250897169113,,0.0010217716917395592,,0.4060172736644745,,0.1345047950744629,,0.2634272575378418,,0.2421664446592331,,0.13451501727104187,,0.5189612507820129,,,,,,,,
0,119,,0.1195402592420578,,0.0009865988977253437,,0.39539942145347595,,0.10452387481927872,,0.24008387327194214,,0.23492136597633362,,0.10453373938798904,,0.4919711649417877,,,,,,,,
0,129,,0.09426882863044739,,0.0009274650365114212,,0.30853742361068726,,0.10544410347938538,,0.2798957824707031,,0.21766822040081024,,0.10545337945222855,,0.45242205262184143,,,,,,,,
0,139,,0.10997669398784637,,0.0009079501032829285,,0.34171003103256226,,0.07342927157878876,,0.20769885182380676,,0.22247613966464996,,0.07343835383653641,,0.43362319469451904,,,,,,,,
0,148,,,,,,,,,,,,,,,,,0.10858891904354095,0.0010161842219531536,0.34996557235717773,0.1653071790933609,0.30088886618614197,0.22636093199253082,0.1653173267841339,0.5042478442192078
0,148,0.11770038306713104,,0.0006849913042970002,,0.3900984823703766,,0.11829126626253128,,0.24273096024990082,,0.2362757921218872,,0.11829809099435806,,0.4935225546360016,,,,,,,,,
1,149,,0.09236167371273041,,0.0010813935659825802,,0.2909737825393677,,0.07112180441617966,,0.20083323121070862,,0.21877521276474,,0.0711326152086258,,0.39722615480422974,,,,,,,,
1,159,,0.10198508203029633,,0.0013113454915583134,,0.31801366806030273,,0.06780655682086945,,0.200031116604805,,0.21349990367889404,,0.06781966984272003,,0.40993180871009827,,,,,,,,
1,169,,0.09559240937232971,,0.0013680732809007168,,0.3086887300014496,,0.0584748350083828,,0.2002423256635666,,0.20691853761672974,,0.05848851427435875,,0.3983002305030823,,,,,,,,
1,179,,0.07994788885116577,,0.0012609092518687248,,0.2761365473270416,,0.08579515665769577,,0.20023083686828613,,0.20169764757156372,,0.08580776304006577,,0.38017842173576355,,,,,,,,
1,189,,0.09818479418754578,,0.0012666815891861916,,0.28057861328125,,0.1052827537059784,,0.209539532661438,,0.2214449942111969,,0.10529541969299316,,0.40629610419273376,,,,,,,,
1,199,,0.11037691682577133,,0.001188191119581461,,0.3403891921043396,,0.09639747440814972,,0.21969684958457947,,0.22160902619361877,,0.09640935808420181,,0.44324249029159546,,,,,,,,
1,209,,0.09695232659578323,,0.0012793163768947124,,0.29470348358154297,,0.07004663348197937,,0.25549641251564026,,0.22018226981163025,,0.07005942612886429,,0.42828869819641113,,,,,,,,
1,219,,0.10313689708709717,,0.001196333672851324,,0.34521910548210144,,0.06031091883778572,,0.19959978759288788,,0.21830333769321442,,0.06032288074493408,,0.42456677556037903,,,,,,,,
1,229,,0.09103336930274963,,0.0012756050564348698,,0.2976466417312622,,0.10275015980005264,,0.2084948718547821,,0.20951081812381744,,0.10276291519403458,,0.4056887626647949,,,,,,,,
1,239,,0.10637351870536804,,0.001331700012087822,,0.3070158362388611,,0.10016801208257675,,0.21210011839866638,,0.2214677333831787,,0.10018132627010345,,0.4222401976585388,,,,,,,,
1,249,,0.10500039160251617,,0.0012777624651789665,,0.2991656959056854,,0.09754863381385803,,0.20119822025299072,,0.2193169891834259,,0.09756141155958176,,0.4108528792858124,,,,,,,,
1,259,,0.09504406154155731,,0.001180219929665327,,0.2954753637313843,,0.07428991049528122,,0.203590989112854,,0.20402637124061584,,0.07430171221494675,,0.39491990208625793,,,,,,,,
1,269,,0.08840291947126389,,0.001226093154400587,,0.32315781712532043,,0.08081482350826263,,0.2608790993690491,,0.2119775414466858,,0.08082708716392517,,0.44069352746009827,,,,,,,,
1,279,,0.11821425706148148,,0.0012058932334184647,,0.3258392810821533,,0.12570339441299438,,0.20026203989982605,,0.23649419844150543,,0.1257154494524002,,0.44190514087677,,,,,,,,
1,289,,0.10948754847049713,,0.0011874279007315636,,0.35213473439216614,,0.09431512653827667,,0.23863136768341064,,0.21509712934494019,,0.09432700276374817,,0.4546433091163635,,,,,,,,
1,297,,,,,,,,,,,,,,,,,0.10299105942249298,0.001276052207686007,0.3341349959373474,0.15827134251594543,0.29207685589790344,0.22171372175216675,0.15828412771224976,0.48651692271232605
1,297,0.10206064581871033,,0.001248097512871027,,0.31676608324050903,,0.08749956637620926,,0.22126150131225586,,0.21670964360237122,,0.08751208335161209,,0.4254893660545349,,,,,,,,,
2,299,,0.09432381391525269,,0.001213603187352419,,0.2811383605003357,,0.04406747967004776,,0.1997799277305603,,0.20525982975959778,,0.04407961666584015,,0.38020211458206177,,,,,,,,
2,309,,0.0931917130947113,,0.0014613610692322254,,0.31125667691230774,,0.08440261334180832,,0.21499495208263397,,0.21809405088424683,,0.08441722393035889,,0.41701382398605347,,,,,,,,
2,319,,0.10109887272119522,,0.0013913060538470745,,0.2541392147541046,,0.07962040603160858,,0.19972877204418182,,0.20413094758987427,,0.07963431626558304,,0.3752560019493103,,,,,,,,
2,329,,0.0856224000453949,,0.0013058586046099663,,0.2882639765739441,,0.045555464923381805,,0.19936703145503998,,0.19853059947490692,,0.045568522065877914,,0.3778812289237976,,,,,,,,
2,339,,0.08518734574317932,,0.0012746122665703297,,0.25724291801452637,,0.08923377096652985,,0.2010636329650879,,0.2088802456855774,,0.08924651890993118,,0.3769989013671875,,,,,,,,
2,349,,0.1124102920293808,,0.001395110972225666,,0.32355380058288574,,0.08066999167203903,,0.20340561866760254,,0.22423657774925232,,0.08068393915891647,,0.4254578948020935,,,,,,,,
