epoch,step,train/L_cf_derivative_epoch,train/L_cf_derivative_step,train/L_cf_position_epoch,train/L_cf_position_step,train/L_coord_epoch,train/L_coord_step,train/L_kld_epoch,train/L_kld_step,train/L_mask_epoch,train/L_mask_step,train/L_motion_recon_epoch,train/L_motion_recon_step,train/L_motion_type_epoch,train/L_motion_type_step,train/L_origin_epoch,train/L_origin_map_epoch,train/L_origin_map_step,train/L_origin_step,train/L_point_3d_epoch,train/L_point_3d_step,train/L_point_map_epoch,train/L_point_map_step,train/L_trajectory_epoch,train/L_trajectory_m2,train/L_trajectory_step,train/L_vae_total_epoch,train/L_vae_total_step,train/loss_total_epoch,train/loss_total_step,train/p_rev_mean,train/sf3d/loss_total,val/L_cf_derivative,val/L_cf_position,val/L_coord,val/L_kld,val/L_mask,val/L_motion_recon,val/L_motion_type,val/L_origin,val/L_origin_map,val/L_point_3d,val/L_point_map,val/L_trajectory,val/L_trajectory_m2,val/L_vae_total,val/loss_total,val/sf3d/loss_total
0,9,,1.2575604915618896,,1.2992866039276123,,0.32268428802490234,,0.0,,0.6028740406036377,,0.637030839920044,,0.6644449234008789,,,6.880585670471191,1.6451231241226196,,0.33295273780822754,,5.463111877441406,,,1.3599374294281006,,0.637030839920044,,9.573690414428711,,,,,,,,,,,,,,,,,,
0,19,,1.0118567943572998,,1.1221688985824585,,0.29349493980407715,,0.0,,0.6766412854194641,,0.41951319575309753,,0.49450087547302246,,,3.2439334392547607,1.161362886428833,,0.3258829116821289,,3.996054172515869,,,0.6790161728858948,,0.41951319575309753,,6.427860736846924,,,,,,,,,,,,,,,,,,
0,29,,0.7905484437942505,,0.7998031377792358,,0.2826898992061615,,0.0,,0.6645395159721375,,0.4006108343601227,,0.4675465524196625,,,2.850252628326416,1.431727647781372,,0.322020947933197,,3.8213415145874023,,,0.7778757810592651,,0.4006108343601227,,5.920168399810791,,,,,,,,,,,,,,,,,,
0,39,,0.6351672410964966,,0.6343519687652588,,0.23478123545646667,,0.0,,0.6866384744644165,,0.38319480419158936,,0.48504629731178284,,,3.1200315952301025,0.5547858476638794,,0.19225335121154785,,4.339502334594727,,,0.6806858777999878,,0.38319480419158936,,5.632469177246094,,,,,,,,,,,,,,,,,,
0,49,,1.140627145767212,,1.2586784362792969,,0.21094532310962677,,0.0,,0.674197793006897,,0.5092635154724121,,0.4240266978740692,,,2.165705442428589,0.7958904504776001,,0.14256253838539124,,3.0782899856567383,,,0.8811829090118408,,0.5092635154724121,,5.259119033813477,,,,,,,,,,,,,,,,,,
0,59,,0.9421488046646118,,0.9644676446914673,,0.2124287337064743,,0.0,,0.6053340435028076,,0.47486013174057007,,0.38272571563720703,,,1.925158977508545,0.4663635194301605,,0.18552754819393158,,3.261023998260498,,,0.8525874614715576,,0.47486013174057007,,4.721179008483887,,,,,,,,,,,,,,,,,,
0,69,,0.8266547918319702,,0.8071483969688416,,0.20678454637527466,,0.0,,0.6186901926994324,,0.4584120810031891,,0.3685258626937866,,,2.366309881210327,0.18386152386665344,,0.14736555516719818,,3.047581672668457,,,0.744576632976532,,0.4584120810031891,,4.505914211273193,,,,,,,,,,,,,,,,,,
0,79,,0.733384907245636,,0.7303216457366943,,0.19205988943576813,,0.0,,0.6129594445228577,,0.4209931492805481,,0.3262997269630432,,,1.3892829418182373,0.27779313921928406,,0.14978234469890594,,2.6986398696899414,,,0.8250969052314758,,0.4209931492805481,,3.7642266750335693,,,,,,,,,,,,,,,,,,
0,89,,0.5980076789855957,,0.5925923585891724,,0.21201574802398682,,0.0,,0.5771517157554626,,0.408145934343338,,0.33547815680503845,,,1.6353895664215088,0.6467298865318298,,0.21647772192955017,,2.4597694873809814,,,0.6474912166595459,,0.408145934343338,,3.8381714820861816,,,,,,,,,,,,,,,,,,
0,99,,1.0002269744873047,,0.947237491607666,,0.1646001785993576,,0.0,,0.5820476412773132,,0.438991904258728,,0.3334709405899048,,,1.2570149898529053,0.2933708727359772,,0.11424686759710312,,2.3367156982421875,,,0.7586673498153687,,0.438991904258728,,3.7074670791625977,,,,,,,,,,,,,,,,,,
