epoch,step,train/L_cf_derivative_epoch,train/L_cf_derivative_step,train/L_cf_position_epoch,train/L_cf_position_step,train/L_coord_epoch,train/L_coord_step,train/L_kld_epoch,train/L_kld_step,train/L_mask_epoch,train/L_mask_step,train/L_motion_recon_epoch,train/L_motion_recon_step,train/L_motion_type_epoch,train/L_motion_type_step,train/L_origin_epoch,train/L_origin_map_epoch,train/L_origin_map_step,train/L_origin_step,train/L_point_3d_epoch,train/L_point_3d_step,train/L_point_map_epoch,train/L_point_map_step,train/L_traj_proj_epoch,train/L_traj_proj_step,train/L_trajectory_epoch,train/L_trajectory_m2,train/L_trajectory_step,train/L_vae_total_epoch,train/L_vae_total_step,train/arctic/loss_total,train/epic/loss_total,train/hoi4d/loss_total,train/loss_total_epoch,train/loss_total_step,train/p_rev_mean,train/sf3d/loss_total,val/L_cf_derivative,val/L_cf_position,val/L_coord,val/L_kld,val/L_mask,val/L_motion_recon,val/L_motion_type,val/L_origin,val/L_origin_map,val/L_point_3d,val/L_point_map,val/L_traj_proj,val/L_trajectory,val/L_trajectory_m2,val/L_vae_total,val/arctic/loss_total,val/epic/loss_total,val/hoi4d/loss_total,val/loss_total,val/sf3d/loss_total
0,9,,1.997297763824463,,1.9466538429260254,,0.32233214378356934,,0.0,,0.8684404492378235,,0.6634591817855835,,0.686642050743103,,,6.5082106590271,1.3149855136871338,,0.29538261890411377,,4.424160003662109,,13.67445182800293,,,1.4235577583312988,,0.6634591817855835,,,,,9.488460540771484,,,,,,,,,,,,,,,,,,,,,,
0,19,,1.1810382604599,,1.18394136428833,,0.2523815333843231,,0.0,,7.9391069412231445,,1.0,,0.7295917272567749,,,0.0,0.0,,0.1032470092177391,,4.955612659454346,,4.627695560455322,,,24.56069564819336,,1.0,,,,,9.25219440460205,,,,,,,,,,,,,,,,,,,,,,
0,29,,1.5293965339660645,,1.5180749893188477,,0.33527708053588867,,0.0,,1.6175198554992676,,1.0,,0.6909148693084717,,,0.0,0.0,,205.77447509765625,,4.586430549621582,,4.479824542999268,,,1.228174090385437,,1.0,,,,,5.854983329772949,,,,,,,,,,,,,,,,,,,,,,
0,39,,1.6635080575942993,,1.5879817008972168,,0.34597307443618774,,0.0,,1.2476141452789307,,1.0,,0.6935928463935852,,,0.0,0.0,,197.19906616210938,,4.6761369705200195,,1.3386127948760986,,,1.162420392036438,,1.0,,,,,4.150964736938477,,,,,,,,,,,,,,,,,,,,,,
0,49,,1.3540217876434326,,1.3428120613098145,,0.2960120141506195,,0.0,,0.6058644652366638,,0.743279218673706,,0.6396163702011108,,,7.039663791656494,1.3133385181427002,,0.2935052216053009,,3.6523232460021973,,1.4712053537368774,,,1.1381354331970215,,0.743279218673706,,,,,8.634613037109375,,,,,,,,,,,,,,,,,,,,,,
0,59,,1.5512073040008545,,1.4772357940673828,,0.2624315023422241,,0.0,,0.6567944884300232,,0.6754000782966614,,0.650804877281189,,,5.0564141273498535,0.9409365057945251,,0.2397681176662445,,4.3933234214782715,,1.4055347442626953,,,1.182685375213623,,0.6754000782966614,,,,,7.915172576904297,,,,,,,,,,,,,,,,,,,,,,
0,69,,1.4569439888000488,,1.3581629991531372,,0.2579590976238251,,0.0,,0.5931627750396729,,0.6124063730239868,,0.6435592770576477,,,4.555271148681641,0.8141846060752869,,0.25369420647621155,,3.619100570678711,,2.5601301193237305,,,1.0261977910995483,,0.6124063730239868,,,,,7.03283166885376,,,,,,,,,,,,,,,,,,,,,,
0,79,,1.0712528228759766,,1.0749101638793945,,0.164160817861557,,0.0,,1.1804691553115845,,1.0,,0.6528636813163757,,,0.0,0.0,,205.72042846679688,,3.5363998413085938,,1.8724116086959839,,,1.1029638051986694,,1.0,,,,,3.7031524181365967,,,,,,,,,,,,,,,,,,,,,,
0,89,,1.2323966026306152,,1.269317626953125,,0.24568645656108856,,0.0,,0.6270524263381958,,0.6761618852615356,,0.6468948721885681,,,3.6810362339019775,1.880034327507019,,0.3357324004173279,,3.6940035820007324,,1.5742275714874268,,,1.1851557493209839,,0.6761618852615356,,,,,7.162618637084961,,,,,,,,,,,,,,,,,,,,,,
0,99,,0.8771339654922485,,0.8242844343185425,,0.23713546991348267,,0.0,,1.4856863021850586,,1.0604171752929688,,0.6609492897987366,,,4.976400375366211,0.18685659766197205,,0.045673906803131104,,4.504258155822754,,2.8531293869018555,,,24.600234985351562,,1.0604171752929688,,,,,4.870579242706299,,,,,,,,,,,,,,,,,,,,,,
