epoch,step,train/L_cf_derivative_epoch,train/L_cf_derivative_step,train/L_cf_position_epoch,train/L_cf_position_step,train/L_coord_epoch,train/L_coord_step,train/L_kld_epoch,train/L_kld_step,train/L_mask_epoch,train/L_mask_step,train/L_motion_recon_epoch,train/L_motion_recon_step,train/L_motion_type_epoch,train/L_motion_type_step,train/L_origin_epoch,train/L_origin_map_epoch,train/L_origin_map_step,train/L_origin_step,train/L_point_3d_epoch,train/L_point_3d_step,train/L_point_map_epoch,train/L_point_map_step,train/L_trajectory_epoch,train/L_trajectory_m2,train/L_trajectory_step,train/L_vae_total_epoch,train/L_vae_total_step,train/loss_total_epoch,train/loss_total_step,train/p_rev_mean,val/L_cf_derivative,val/L_cf_position,val/L_coord,val/L_kld,val/L_mask,val/L_motion_recon,val/L_motion_type,val/L_origin,val/L_origin_map,val/L_point_3d,val/L_point_map,val/L_trajectory,val/L_trajectory_m2,val/L_vae_total,val/loss_total
0,9,,4.848628044128418,,4.725141525268555,,0.18612247705459595,,0.0,,0.5232934951782227,,0.9594434499740601,,0.5820139050483704,,,1.547844409942627,9.928183555603027,,1.5942659378051758,,0.8475332856178284,,,1.2552423477172852,,0.9594434499740601,,12.809492111206055,,,,,,,,,,,,,,,,
0,19,,3.7525315284729004,,3.7066855430603027,,0.2580474019050598,,0.0,,0.5161562561988831,,0.7752209305763245,,0.576214611530304,,,1.266796350479126,4.272077560424805,,0.7417084574699402,,0.8272866606712341,,,1.1169586181640625,,0.7752209305763245,,8.323439598083496,,,,,,,,,,,,,,,,
0,29,,1.749466061592102,,1.789463758468628,,0.227437824010849,,0.0,,0.513824999332428,,0.5526025295257568,,0.533130943775177,,,0.8695399165153503,1.6272826194763184,,0.3209246098995209,,0.6665710210800171,,,0.9342759251594543,,0.5526025295257568,,4.445120811462402,,,,,,,,,,,,,,,,
0,39,,1.1715431213378906,,1.1855981349945068,,0.25514230132102966,,0.0,,0.5131636261940002,,0.7105575799942017,,0.4711553156375885,,,1.960205078125,1.415618658065796,,0.28171390295028687,,0.753563404083252,,,1.1610584259033203,,0.7105575799942017,,4.366158485412598,,,,,,,,,,,,,,,,
0,49,,1.773472785949707,,1.7166380882263184,,0.21751710772514343,,0.0,,0.5063098073005676,,0.6957148313522339,,0.6070288419723511,,,0.4809013307094574,0.5683313608169556,,0.14352412521839142,,0.7508760690689087,,,1.530186414718628,,0.6957148313522339,,3.70173978805542,,,,,,,,,,,,,,,,
0,59,,1.0232856273651123,,1.0094420909881592,,0.23158341646194458,,0.0,,0.5072100758552551,,0.6273691654205322,,0.3707796633243561,,,0.5580814480781555,0.7923175692558289,,0.1804651916027069,,0.5750164985656738,,,1.0093320608139038,,0.6273691654205322,,2.9308536052703857,,,,,,,,,,,,,,,,
0,69,,0.9062853455543518,,0.9116944074630737,,0.2178000509738922,,0.0,,0.5073993802070618,,0.5726743936538696,,0.3863691985607147,,,0.7313945293426514,1.0622293949127197,,0.19251716136932373,,0.6393027305603027,,,0.913467288017273,,0.5726743936538696,,3.066537857055664,,,,,,,,,,,,,,,,
0,79,,0.9586101770401001,,0.9234894514083862,,0.23795276880264282,,0.0,,0.509009599685669,,0.5487872362136841,,0.4284878969192505,,,0.43131133913993835,0.779586672782898,,0.19547191262245178,,0.5076096653938293,,,0.9270821213722229,,0.5487872362136841,,2.742598056793213,,,,,,,,,,,,,,,,
0,89,,0.9285053610801697,,0.9074520468711853,,0.19896471500396729,,0.0,,0.5026633739471436,,0.48526322841644287,,0.3812117576599121,,,0.5476213097572327,0.3202105462551117,,0.18946164846420288,,0.4455346465110779,,,1.0471429824829102,,0.48526322841644287,,2.442917585372925,,,,,,,,,,,,,,,,
0,99,,0.9740962982177734,,0.997593343257904,,0.1950528621673584,,0.0,,0.5150215029716492,,0.6464195251464844,,0.43952468037605286,,,0.5177585482597351,0.5371177196502686,,0.23306980729103088,,0.5024325251579285,,,1.0167226791381836,,0.6464195251464844,,2.7907919883728027,,,,,,,,,,,,,,,,
0,109,,0.5481728315353394,,0.5065097212791443,,0.2119138091802597,,0.0,,0.5059130787849426,,0.343356728553772,,0.310985267162323,,,0.3268739879131317,0.39927977323532104,,0.24240581691265106,,0.4038085341453552,,,0.5983731746673584,,0.343356728553772,,1.8787782192230225,,,,,,,,,,,,,,,,
0,119,,0.7428544759750366,,0.7389652729034424,,0.20083588361740112,,0.0,,0.5035725831985474,,0.5048860311508179,,0.33180099725723267,,,0.8815434575080872,0.4371841847896576,,0.1810157597064972,,0.4724578559398651,,,0.7267910242080688,,0.5048860311508179,,2.4956135749816895,,,,,,,,,,,,,,,,
