epoch,step,train/L_coord_epoch,train/L_coord_step,train/L_geo_pred_pred_art_epoch,train/L_geo_pred_pred_art_step,train/L_kld_epoch,train/L_kld_step,train/L_mask_epoch,train/L_mask_step,train/L_motion_recon_epoch,train/L_motion_recon_step,train/L_motion_type_epoch,train/L_motion_type_step,train/L_origin_epoch,train/L_origin_map_epoch,train/L_origin_map_step,train/L_origin_step,train/L_p_rev_balance_epoch,train/L_p_rev_balance_step,train/L_point_3d_epoch,train/L_point_3d_step,train/L_point_map_epoch,train/L_point_map_step,train/L_traj_proj_epoch,train/L_traj_proj_step,train/L_trajectory_epoch,train/L_trajectory_m2,train/L_trajectory_step,train/L_vae_total_epoch,train/L_vae_total_step,train/arctic/loss_total,train/epic/loss_total,train/hoi4d/loss_total,train/loss_total_epoch,train/loss_total_step,train/p_rev_mean,train/sf3d/loss_total,val/L_coord,val/L_geo_pred_pred_art,val/L_kld,val/L_mask,val/L_motion_recon,val/L_motion_type,val/L_origin,val/L_origin_map,val/L_p_rev_balance,val/L_point_3d,val/L_point_map,val/L_traj_proj,val/L_trajectory,val/L_trajectory_m2,val/L_vae_total,val/arctic/loss_total,val/epic/loss_total,val/hoi4d/loss_total,val/loss_total,val/sf3d/loss_total
0,9,,0.2935555577278137,,0.32442334294319153,,0.0,,1.7660009860992432,,1.0,,0.5942001342773438,,,0.0,0.0,,0.04649043455719948,,196.79400634765625,,6.250483512878418,,4.6246232986450195,,,1.0988707542419434,,1.0,,,,,6.523019313812256,,,,,,,,,,,,,,,,,,,,,,
0,19,,0.28991711139678955,,0.4520406723022461,,0.0,,0.6431467533111572,,0.4885669946670532,,0.6088351607322693,,,5.9495930671691895,1.1221317052841187,,0.017817843705415726,,0.23268060386180878,,4.770946502685547,,1.5810704231262207,,,1.1048738956451416,,0.4885669946670532,,,,,7.65054988861084,,,,,,,,,,,,,,,,,,,,,,
0,29,,0.15133196115493774,,0.44409483671188354,,0.0,,1.574602723121643,,1.0,,0.41083621978759766,,,0.0,0.0,,0.006966407876461744,,194.3960418701172,,3.786407470703125,,1.5121947526931763,,,1.0119655132293701,,1.0,,,,,3.5601611137390137,,,,,,,,,,,,,,,,,,,,,,
0,39,,0.16851507127285004,,0.42639851570129395,,0.0,,1.357707142829895,,1.0,,0.41043680906295776,,,0.0,0.0,,0.006931875366717577,,195.54910278320312,,3.40071439743042,,1.1829211711883545,,,1.0378166437149048,,1.0,,,,,3.1010348796844482,,,,,,,,,,,,,,,,,,,,,,
0,49,,0.2508493661880493,,0.3344857096672058,,0.0,,0.627402126789093,,0.44073474407196045,,0.4650266468524933,,,2.5136966705322266,0.7919840812683105,,0.006226161494851112,,0.21497075259685516,,3.715533494949341,,0.9788724184036255,,,0.9215275645256042,,0.44073474407196045,,,,,5.004311561584473,,,,,,,,,,,,,,,,,,,,,,
0,59,,0.22321727871894836,,0.3681975305080414,,0.0,,0.5970072150230408,,0.42720913887023926,,0.47659236192703247,,,3.5347626209259033,0.8544071912765503,,0.005561462603509426,,0.13492077589035034,,2.69366455078125,,0.8870648145675659,,,0.9325908422470093,,0.42720913887023926,,,,,4.974005699157715,,,,,,,,,,,,,,,,,,,,,,
0,69,,0.2189537137746811,,0.3444864749908447,,0.0,,0.6354520320892334,,0.459486722946167,,0.43875637650489807,,,2.2643678188323975,0.5596097111701965,,0.009131437167525291,,0.1483045071363449,,2.757396697998047,,0.9534265398979187,,,0.9065464735031128,,0.459486722946167,,,,,4.228885650634766,,,,,,,,,,,,,,,,,,,,,,
0,79,,0.17923060059547424,,0.44363826513290405,,0.0,,3.3876867294311523,,1.0,,0.37666454911231995,,,0.0,0.0,,0.002539206761866808,,0.22550958395004272,,3.9046521186828613,,1.0589631795883179,,,3.2207655906677246,,1.0,,,,,4.31089973449707,,,,,,,,,,,,,,,,,,,,,,
0,89,,0.1951756477355957,,0.24431166052818298,,0.0,,1.3482853174209595,,0.8175396919250488,,1.1320805549621582,,,3.7402405738830566,0.6498339176177979,,0.008094900287687778,,0.13255569338798523,,3.456383466720581,,0.9664756655693054,,,4.036630630493164,,0.8175396919250488,,,,,3.011638641357422,,,,,,,,,,,,,,,,,,,,,,
0,99,,0.21992890536785126,,0.30180105566978455,,0.0,,0.5796620845794678,,0.3486292064189911,,0.43825092911720276,,,2.2381303310394287,0.8623912334442139,,0.0044073364697396755,,0.13470123708248138,,2.1340017318725586,,0.962257981300354,,,0.8505963087081909,,0.3486292064189911,,,,,3.933326482772827,,,,,,,,,,,,,,,,,,,,,,
0,109,,0.0880461186170578,,0.23370367288589478,,0.0,,0.6715887784957886,,1.0,,0.3917121887207031,,,0.0,0.0,,0.0038690599612891674,,194.00572204589844,,1.7686963081359863,,0.7195897698402405,,,1.0128402709960938,,1.0,,,,,1.6492654085159302,,,,,,,,,,,,,,,,,,,,,,
0,119,,0.20946556329727173,,0.2564740777015686,,0.0,,0.5616359114646912,,0.27861037850379944,,0.4494244158267975,,,1.289520263671875,0.5878331661224365,,0.008325725793838501,,0.11871074140071869,,2.1603379249572754,,0.8819562196731567,,,0.8533778190612793,,0.27861037850379944,,,,,3.2801055908203125,,,,,,,,,,,,,,,,,,,,,,
0,129,,0.10435140132904053,,0.2180619239807129,,0.0,,0.6583343744277954,,1.0,,0.38651105761528015,,,0.0,0.0,,0.002643943065777421,,192.8884735107422,,1.887972354888916,,0.6555529236793518,,,1.0158730745315552,,1.0,,,,,1.6762337684631348,,,,,,,,,,,,,,,,,,,,,,
0,139,,0.1782057136297226,,0.28238680958747864,,0.0,,0.5559387803077698,,0.4219151735305786,,0.39890536665916443,,,1.3963268995285034,0.7471941709518433,,0.0027843730058521032,,0.11787288635969162,,2.0561323165893555,,0.8726436495780945,,,0.8046517372131348,,0.4219151735305786,,,,,3.3668103218078613,,,,,,,,,,,,,,,,,,,,,,
0,149,,0.08308647572994232,,0.18461790680885315,,0.0,,0.5974724888801575,,1.0,,0.3608521819114685,,,0.0,0.0,,0.0008953801007010043,,194.61172485351562,,1.3248276710510254,,0.6476830840110779,,,1.0157172679901123,,1.0,,,,,1.3454443216323853,,,,,,,,,,,,,,,,,,,,,,
0,159,,0.17306877672672272,,0.07579588890075684,,0.0,,0.6458193063735962,,0.7853046655654907,,1.2816394567489624,,,2.4591116905212402,0.7397961020469666,,0.002812450984492898,,0.12982656061649323,,1.4830213785171509,,0.8801984786987305,,,5.292042255401611,,0.7853046655654907,,,,,1.6000397205352783,,,,,,,,,,,,,,,,,,,,,,
0,169,,0.14989930391311646,,0.22940975427627563,,0.0,,0.5397374629974365,,0.2458341121673584,,0.3498985767364502,,,1.1249687671661377,0.5480098128318787,,0.001808968256227672,,0.1160733550786972,,1.474410057067871,,0.6217318773269653,,,0.6968305706977844,,0.2458341121673584,,,,,2.6457719802856445,,,,,,,,,,,,,,,,,,,,,,
0,179,,0.17178010940551758,,0.253484308719635,,0.0,,0.5344155430793762,,0.2584080696105957,,0.3639032542705536,,,0.7837396860122681,0.3835349678993225,,0.00240128580480814,,0.12217766046524048,,1.5218154191970825,,0.60321044921875,,,0.6721532344818115,,0.2584080696105957,,,,,2.431312322616577,,,,,,,,,,,,,,,,,,,,,,
0,189,,0.12180487811565399,,0.27068933844566345,,0.0,,2.2434585094451904,,1.0,,0.3725949227809906,,,0.0,0.0,,0.0008666934445500374,,0.155563086271286,,1.9191148281097412,,0.8262150287628174,,,3.7982571125030518,,1.0,,,,,2.582798957824707,,,,,,,,,,,,,,,,,,,,,,
0,199,,0.16379863023757935,,0.09217623621225357,,0.0,,0.5667015314102173,,0.7674115896224976,,1.32188081741333,,,1.895296573638916,0.6133140921592712,,0.0033379357773810625,,0.09823980182409286,,1.1359361410140991,,0.8131160140037537,,,5.929259300231934,,0.7674115896224976,,,,,1.3506627082824707,,,,,,,,,,,,,,,,,,,,,,
0,209,,0.16443806886672974,,0.09703786671161652,,0.0,,0.5561555027961731,,0.7540971636772156,,1.4081121683120728,,,1.7725708484649658,0.9562839865684509,,0.0013796903658658266,,0.1321250945329666,,1.004370927810669,,0.8177915811538696,,,6.160397529602051,,0.7540971636772156,,,,,1.2817716598510742,,,,,,,,,,,,,,,,,,,,,,
0,219,,0.14052742719650269,,0.1950281858444214,,0.0,,0.5243437886238098,,0.3314548432826996,,0.3644357919692993,,,0.6582795977592468,0.2547586262226105,,0.00046606481191702187,,0.09554567188024521,,1.222117304801941,,0.8642705678939819,,,0.6942335367202759,,0.3314548432826996,,,,,2.162351131439209,,,,,,,,,,,,,,,,,,,,,,
0,229,,0.16102395951747894,,0.19633153080940247,,0.0,,0.5273299217224121,,0.2528225779533386,,0.32796573638916016,,,0.5194146633148193,0.35771480202674866,,2.1603073037113063e-05,,0.09208210557699203,,1.8201937675476074,,0.6121306419372559,,,0.6365702152252197,,0.2528225779533386,,,,,2.367192029953003,,,,,,,,,,,,,,,,,,,,,,
0,239,,0.12741123139858246,,0.3080419600009918,,0.0,,0.5047139525413513,,0.32731765508651733,,0.32367628812789917,,,0.5090997815132141,0.39010754227638245,,1.2697364581981674e-06,,0.09256702661514282,,1.710935354232788,,0.8723275661468506,,,0.667458176612854,,0.32731765508651733,,,,,2.357447624206543,,,,,,,,,,,,,,,,,,,,,,
0,249,,0.17762672901153564,,0.08171330392360687,,0.0,,0.5315573215484619,,0.6996732354164124,,1.455533742904663,,,1.3825948238372803,0.8656691312789917,,0.0005289994296617806,,0.07304027676582336,,0.8580465316772461,,0.8712792992591858,,,5.976294994354248,,0.6996732354164124,,,,,1.2276908159255981,,,,,,,,,,,,,,,,,,,,,,
0,259,,0.17946605384349823,,0.07974837720394135,,0.0,,0.5248092412948608,,0.8215972185134888,,1.4368650913238525,,,1.368285894393921,0.7128078937530518,,0.0009149713441729546,,0.1525312066078186,,0.7785277366638184,,0.7956103682518005,,,5.80734920501709,,0.8215972185134888,,,,,1.1476390361785889,,,,,,,,,,,,,,,,,,,,,,
0,269,,0.13673202693462372,,0.19234560430049896,,0.0,,0.5059105753898621,,0.31884172558784485,,0.33254337310791016,,,0.5422042608261108,0.3820604681968689,,0.0010676671518012881,,0.08832254260778427,,0.7687417268753052,,0.8263355493545532,,,0.6460301876068115,,0.31884172558784485,,,,,1.8799281120300293,,,,,,,,,,,,,,,,,,,,,,
0,279,,0.14130574464797974,,0.07003673911094666,,0.0,,0.4770773649215698,,0.6070670485496521,,1.2705844640731812,,,1.4527313709259033,0.681002140045166,,0.0081888847053051,,0.13665398955345154,,0.6839792728424072,,0.8362600207328796,,,4.163484573364258,,0.6070670485496521,,,,,1.0804094076156616,,,,,,,,,,,,,,,,,,,,,,
0,289,,0.16069908440113068,,0.26655060052871704,,0.0,,0.5049117207527161,,0.23742833733558655,,0.2949102520942688,,,0.3986995220184326,0.30961543321609497,,0.0017567947506904602,,0.08796031773090363,,0.7239789962768555,,0.8708702325820923,,,0.7192000150680542,,0.23742833733558655,,,,,1.7453569173812866,,,,,,,,,,,,,,,,,,,,,,
0,299,,0.06432631611824036,,0.15599021315574646,,0.0,,0.4101826250553131,,1.0,,0.36970654129981995,,,0.0,0.0,,0.00016822323959786445,,195.9244842529297,,0.5027549862861633,,0.6465684771537781,,,1.006636381149292,,1.0,,,,,0.8275993466377258,,,,,,,,,,,,,,,,,,,,,,
0,309,,0.133023202419281,,0.24464833736419678,,0.0,,0.4903334081172943,,0.4683210253715515,,0.4143404960632324,,,0.4413273334503174,0.3519878089427948,,9.74085196503438e-05,,0.0883798822760582,,0.7113581895828247,,0.6537113189697266,,,0.7596759796142578,,0.4683210253715515,,,,,1.953838586807251,,,,,,,,,,,,,,,,,,,,,,
0,319,,0.044367142021656036,,0.13432496786117554,,0.0,,0.4052773714065552,,1.0,,0.38214051723480225,,,0.0,0.0,,0.00019482013885863125,,205.31710815429688,,0.40036332607269287,,0.6287106275558472,,,1.0729190111160278,,1.0,,,,,0.7528891563415527,,,,,,,,,,,,,,,,,,,,,,
0,329,,0.041437435895204544,,0.1093892902135849,,0.0,,0.41158729791641235,,1.0,,0.37874963879585266,,,0.0,0.0,,0.00037973420694470406,,196.463134765625,,0.4478015899658203,,0.5777876377105713,,,1.0249954462051392,,1.0,,,,,0.7504357695579529,,,,,,,,,,,,,,,,,,,,,,
0,339,,0.1403728872537613,,0.23955188691616058,,0.0,,0.499666303396225,,0.19396093487739563,,0.3077821135520935,,,0.42812788486480713,0.49711722135543823,,0.002102687954902649,,0.07524632662534714,,0.7323745489120483,,0.8240360021591187,,,0.6452974081039429,,0.19396093487739563,,,,,1.7839280366897583,,,,,,,,,,,,,,,,,,,,,,
0,349,,0.14271290600299835,,0.06912153959274292,,0.0,,0.5190953016281128,,0.6187782883644104,,1.5499415397644043,,,0.835103452205658,0.7446438074111938,,0.00016823405167087913,,0.09438635408878326,,0.5265854597091675,,0.8048720359802246,,,6.05714225769043,,0.6187782883644104,,,,,1.003629207611084,,,,,,,,,,,,,,,,,,,,,,
