epoch,step,train/L_coord_epoch,train/L_coord_step,train/L_geo_pred_pred_art_epoch,train/L_geo_pred_pred_art_step,train/L_kld_epoch,train/L_kld_step,train/L_mask_epoch,train/L_mask_step,train/L_motion_recon_epoch,train/L_motion_recon_step,train/L_motion_type_epoch,train/L_motion_type_step,train/L_origin_epoch,train/L_origin_map_epoch,train/L_origin_map_step,train/L_origin_step,train/L_p_rev_balance_epoch,train/L_p_rev_balance_step,train/L_point_3d_epoch,train/L_point_3d_step,train/L_point_map_epoch,train/L_point_map_step,train/L_traj_proj_epoch,train/L_traj_proj_step,train/L_trajectory_epoch,train/L_trajectory_m2,train/L_trajectory_step,train/L_vae_total_epoch,train/L_vae_total_step,train/arctic/loss_total,train/epic/loss_total,train/hoi4d/loss_total,train/loss_total_epoch,train/loss_total_step,train/p_rev_mean,val/L_coord,val/L_geo_pred_pred_art,val/L_kld,val/L_mask,val/L_motion_recon,val/L_motion_type,val/L_origin,val/L_origin_map,val/L_p_rev_balance,val/L_point_3d,val/L_point_map,val/L_traj_proj,val/L_trajectory,val/L_trajectory_m2,val/L_vae_total,val/arctic/loss_total,val/epic/loss_total,val/hoi4d/loss_total,val/loss_total
0,9,,0.4151541590690613,,0.4520469307899475,,0.0,,2.4629483222961426,,0.755671501159668,,1.0193811655044556,,,8.42600154876709,0.08692990988492966,,0.01594732515513897,,1.0431177616119385,,11.621665954589844,,2.1070969104766846,,,6.443837642669678,,0.755671501159668,,,,,8.356611251831055,,,,,,,,,,,,,,,,,,,,
0,19,,0.08162239193916321,,0.4466484785079956,,0.0,,0.9664345383644104,,1.0,,0.33438605070114136,,,0.0,0.0,,0.0002517634129617363,,176.8175506591797,,3.718270778656006,,1.2591149806976318,,,1.0162498950958252,,1.0,,,,,3.0575122833251953,,,,,,,,,,,,,,,,,,,,
0,29,,0.0969393327832222,,0.3021811246871948,,0.0,,1.0830599069595337,,1.0,,0.3688966631889343,,,0.0,0.0,,0.002275576116517186,,161.14268493652344,,2.589324712753296,,0.9148334264755249,,,1.0601279735565186,,1.0,,,,,2.373434543609619,,,,,,,,,,,,,,,,,,,,
0,39,,0.16414260864257812,,0.13342715799808502,,0.0,,1.5295672416687012,,0.6028718948364258,,1.2672145366668701,,,7.330974578857422,0.16724982857704163,,0.0019263006979599595,,2.8803062438964844,,3.1464052200317383,,0.917946457862854,,,5.3197784423828125,,0.6028718948364258,,,,,2.893336534500122,,,,,,,,,,,,,,,,,,,,
0,49,,0.15882056951522827,,0.13708817958831787,,0.0,,1.1142842769622803,,0.8092114925384521,,1.39564049243927,,,6.6457929611206055,0.1748078465461731,,9.169735858449712e-05,,3.0626111030578613,,3.4213900566101074,,1.1534082889556885,,,5.508351802825928,,0.8092114925384521,,,,,2.9377059936523438,,,,,,,,,,,,,,,,,,,,
0,59,,0.1595192849636078,,0.0791725143790245,,0.0,,1.2323334217071533,,0.7100962996482849,,1.4065439701080322,,,3.9130899906158447,0.19615772366523743,,5.813424286316149e-05,,3.3274753093719482,,4.922327518463135,,0.962517499923706,,,4.4836883544921875,,0.7100962996482849,,,,,3.6462950706481934,,,,,,,,,,,,,,,,,,,,
0,69,,0.1013745442032814,,0.051985450088977814,,0.0,,0.8777531981468201,,0.5861917734146118,,1.4041922092437744,,,5.371678352355957,0.1508861929178238,,6.772776396246627e-05,,3.1555535793304443,,2.4656729698181152,,0.8530118465423584,,,7.398280143737793,,0.5861917734146118,,,,,2.1541388034820557,,,,,,,,,,,,,,,,,,,,
0,79,,0.06985834240913391,,0.08715474605560303,,0.0,,0.5333726406097412,,1.0,,0.3342244029045105,,,0.0,0.0,,0.00024449650663882494,,157.8246307373047,,1.0765725374221802,,0.6241904497146606,,,1.076059103012085,,1.0,,,,,1.1608346700668335,,,,,,,,,,,,,,,,,,,,
0,89,,0.05491933971643448,,0.08061926066875458,,0.0,,0.5245252251625061,,1.0,,0.3315516412258148,,,0.0,0.0,,0.00015025328320916742,,165.3944549560547,,1.0212839841842651,,0.6313196420669556,,,1.0493495464324951,,1.0,,,,,1.1241612434387207,,,,,,,,,,,,,,,,,,,,
0,99,,0.04020129516720772,,0.07326216995716095,,0.0,,0.4236515760421753,,1.0,,0.32497939467430115,,,0.0,0.0,,3.5458957427181304e-05,,151.56802368164062,,0.7854039072990417,,0.6080888509750366,,,1.0310871601104736,,1.0,,,,,0.9360167384147644,,,,,,,,,,,,,,,,,,,,
0,109,,0.14183497428894043,,0.037035927176475525,,0.0,,0.5019365549087524,,0.7575601935386658,,1.4143236875534058,,,3.165670871734619,0.17194750905036926,,3.751639451365918e-05,,3.848097562789917,,1.005594253540039,,0.8008209466934204,,,6.642268180847168,,0.7575601935386658,,,,,1.2288156747817993,,,,,,,,,,,,,,,,,,,,
0,119,,0.14017242193222046,,0.042509205639362335,,0.0,,0.48735275864601135,,0.7629714608192444,,1.433214545249939,,,4.775026321411133,0.1786133348941803,,2.2467693270300515e-06,,4.239640235900879,,0.8595689535140991,,0.8117265701293945,,,7.653253555297852,,0.7629714608192444,,,,,1.1536623239517212,,,,,,,,,,,,,,,,,,,,
