epoch,step,train/L_cf_derivative_epoch,train/L_cf_derivative_step,train/L_cf_position_epoch,train/L_cf_position_step,train/L_coord_epoch,train/L_coord_step,train/L_dense_offset_epoch,train/L_dense_offset_step,train/L_depth_field_epoch,train/L_depth_field_step,train/L_kld_epoch,train/L_kld_step,train/L_mask_epoch,train/L_mask_step,train/L_motion_recon_epoch,train/L_motion_recon_step,train/L_motion_type_epoch,train/L_motion_type_step,train/L_origin_epoch,train/L_origin_map_epoch,train/L_origin_map_step,train/L_origin_step,train/L_point_3d_epoch,train/L_point_3d_step,train/L_point_map_epoch,train/L_point_map_step,train/L_traj_proj_epoch,train/L_traj_proj_step,train/L_trajectory_epoch,train/L_trajectory_m2,train/L_trajectory_step,train/L_vae_total_epoch,train/L_vae_total_step,train/arctic/loss_total,train/epic/loss_total,train/hoi4d/loss_total,train/loss_total_epoch,train/loss_total_step,train/p_rev_mean,train/sf3d/loss_total,val/L_cf_derivative,val/L_cf_position,val/L_coord,val/L_dense_offset,val/L_depth_field,val/L_kld,val/L_mask,val/L_motion_recon,val/L_motion_type,val/L_origin,val/L_origin_map,val/L_point_3d,val/L_point_map,val/L_traj_proj,val/L_trajectory,val/L_trajectory_m2,val/L_vae_total,val/arctic/loss_total,val/epic/loss_total,val/hoi4d/loss_total,val/loss_total,val/sf3d/loss_total
0,9,,2.433401107788086,,2.4779086112976074,,0.2782817780971527,,0.42408663034439087,,0.4007115662097931,,0.0,,0.7714773416519165,,1.1711132526397705,,0.6394540667533875,,,6.900613307952881,0.7586426734924316,,0.29810577630996704,,5.397040367126465,,4.281370639801025,,,1.9765512943267822,,1.1711132526397705,,,,,10.797317504882812,,,,,,,,,,,,,,,,,,,,,,,,
0,19,,1.4564037322998047,,1.489006757736206,,0.2252986878156662,,0.0,,0.39750468730926514,,0.0,,9.392004013061523,,1.0,,0.7772926092147827,,,0.0,0.0,,0.3443632125854492,,4.811395645141602,,3.575072765350342,,,19.96356964111328,,1.0,,,,,9.390531539916992,,,,,,,,,,,,,,,,,,,,,,,,
0,29,,1.4356211423873901,,1.4566826820373535,,0.1430378556251526,,0.0,,0.35367918014526367,,0.0,,1.5501799583435059,,1.0,,0.6884670257568359,,,0.0,0.0,,194.32086181640625,,4.026315689086914,,3.5533175468444824,,,1.1796972751617432,,1.0,,,,,4.980659008026123,,,,,,,,,,,,,,,,,,,,,,,,
0,39,,1.4974308013916016,,1.4707748889923096,,0.14794200658798218,,0.0,,0.38251152634620667,,0.0,,1.3778806924819946,,1.0,,0.6669507622718811,,,0.0,0.0,,186.7195281982422,,3.8617749214172363,,2.3850467205047607,,,1.105848789215088,,1.0,,,,,4.219797611236572,,,,,,,,,,,,,,,,,,,,,,,,
0,49,,1.6270933151245117,,1.6177189350128174,,0.24662122130393982,,0.4462431073188782,,0.35875046253204346,,0.0,,0.6136037111282349,,0.8609177470207214,,0.731354296207428,,,3.645472764968872,0.4283280372619629,,0.23200225830078125,,3.9792349338531494,,2.0001935958862305,,,1.2478054761886597,,0.8609177470207214,,,,,7.20960807800293,,,,,,,,,,,,,,,,,,,,,,,,
0,59,,1.4937982559204102,,1.4490184783935547,,0.2501262426376343,,0.40805330872535706,,0.3579990267753601,,0.0,,0.6391940712928772,,0.802550733089447,,0.6475370526313782,,,4.111471652984619,0.37464046478271484,,0.24832729995250702,,3.764301300048828,,1.4402413368225098,,,1.2554469108581543,,0.802550733089447,,,,,7.07211971282959,,,,,,,,,,,,,,,,,,,,,,,,
0,69,,1.5500367879867554,,1.5725160837173462,,0.23634077608585358,,0.4709866940975189,,0.3532220125198364,,0.0,,0.6050602793693542,,0.864975094795227,,0.591522216796875,,,4.114147663116455,0.373050719499588,,0.20694410800933838,,3.405813694000244,,2.233792304992676,,,1.2280659675598145,,0.864975094795227,,,,,7.006936073303223,,,,,,,,,,,,,,,,,,,,,,,,
0,79,,1.2984511852264404,,1.299297571182251,,0.1009795218706131,,0.0,,0.38762518763542175,,0.0,,0.9922866225242615,,1.0,,0.6685850024223328,,,0.0,0.0,,194.90428161621094,,2.944882392883301,,1.8690226078033447,,,1.1317143440246582,,1.0,,,,,3.2878780364990234,,,,,,,,,,,,,,,,,,,,,,,,
0,89,,1.227695345878601,,1.1789240837097168,,0.23241625726222992,,0.4656316041946411,,0.38049009442329407,,0.0,,0.6228615641593933,,0.704552412033081,,0.5202451348304749,,,3.2308900356292725,0.8700450658798218,,0.2696807384490967,,3.156263828277588,,2.668910026550293,,,1.3736789226531982,,0.704552412033081,,,,,6.215217113494873,,,,,,,,,,,,,,,,,,,,,,,,
0,99,,0.9470269680023193,,0.9388698935508728,,0.16570605337619781,,0.34924936294555664,,0.393306165933609,,0.0,,1.2434132099151611,,0.9021520614624023,,0.6293128728866577,,,3.79301118850708,0.8100153803825378,,0.30989253520965576,,4.4441680908203125,,1.6108235120773315,,,7.871148586273193,,0.9021520614624023,,,,,4.221336364746094,,,,,,,,,,,,,,,,,,,,,,,,
0,109,,0.7466188669204712,,0.7204658389091492,,0.1637771725654602,,0.34447136521339417,,0.35652434825897217,,0.0,,1.2828786373138428,,0.9200685024261475,,0.583848774433136,,,3.8816637992858887,0.7702478766441345,,0.28749391436576843,,3.868290901184082,,1.9215383529663086,,,13.434045791625977,,0.9200685024261475,,,,,4.082403182983398,,,,,,,,,,,,,,,,,,,,,,,,
0,119,,0.6368941068649292,,0.6452029943466187,,0.21619418263435364,,0.4392726421356201,,0.3663173019886017,,0.0,,0.5747551918029785,,0.37797439098358154,,0.4588702917098999,,,3.5632858276367188,0.7222616672515869,,0.1682019680738449,,3.1463286876678467,,2.2524759769439697,,,0.6334806680679321,,0.37797439098358154,,,,,5.478775501251221,,,,,,,,,,,,,,,,,,,,,,,,
0,129,,0.9641684293746948,,0.9563842415809631,,0.19733625650405884,,0.46670785546302795,,0.36168819665908813,,0.0,,0.5870829224586487,,0.6156476736068726,,0.43199557065963745,,,2.3119075298309326,0.6646354794502258,,0.17563164234161377,,2.962989330291748,,2.662994861602783,,,0.8668092489242554,,0.6156476736068726,,,,,5.163351535797119,,,,,,,,,,,,,,,,,,,,,,,,
0,139,,0.6390197277069092,,0.686909556388855,,0.1728162169456482,,0.3573938310146332,,0.373588889837265,,0.0,,1.223265528678894,,1.110872745513916,,0.5887603759765625,,,3.88960337638855,0.7255803942680359,,0.2839319705963135,,3.8170664310455322,,2.106534004211426,,,14.625248908996582,,1.110872745513916,,,,,4.132918357849121,,,,,,,,,,,,,,,,,,,,,,,,
0,149,,0.8732696771621704,,0.8993793725967407,,0.19583970308303833,,0.32768821716308594,,0.39447179436683655,,0.0,,1.0866546630859375,,0.9395650029182434,,0.4386831223964691,,,3.952538013458252,0.7006253004074097,,0.28322526812553406,,3.6122069358825684,,1.8012683391571045,,,14.184783935546875,,0.9395650029182434,,,,,3.731170654296875,,,,,,,,,,,,,,,,,,,,,,,,
0,159,,0.5196332931518555,,0.5198038220405579,,0.1974180042743683,,0.4944283962249756,,0.38056480884552,,0.0,,0.6080582141876221,,0.3113892078399658,,0.4261139929294586,,,1.7023800611495972,0.4785918891429901,,0.21646589040756226,,2.844531536102295,,2.5686912536621094,,,0.5836364030838013,,0.3113892078399658,,,,,4.159492492675781,,,,,,,,,,,,,,,,,,,,,,,,
0,169,,0.5393462181091309,,0.535317599773407,,0.2066137045621872,,0.45417118072509766,,0.3579626679420471,,0.0,,0.609292209148407,,0.447426438331604,,0.39353427290916443,,,1.8391658067703247,0.6101412773132324,,0.17726072669029236,,2.699988603591919,,1.2647784948349,,,0.5625228881835938,,0.447426438331604,,,,,4.254114627838135,,,,,,,,,,,,,,,,,,,,,,,,
0,179,,0.6868150234222412,,0.6689850687980652,,0.19363971054553986,,0.3901376724243164,,0.3869851231575012,,0.0,,0.6286497116088867,,0.5320071578025818,,0.39653417468070984,,,1.6115045547485352,0.3035244643688202,,0.13384856283664703,,2.7800498008728027,,1.3390992879867554,,,0.6329767107963562,,0.5320071578025818,,,,,4.153933048248291,,,,,,,,,,,,,,,,,,,,,,,,
0,189,,0.6547670364379883,,0.6592066287994385,,0.20543600618839264,,0.42496979236602783,,0.40879154205322266,,0.0,,0.5969854593276978,,0.4640881419181824,,0.3194795548915863,,,1.7647851705551147,0.5266950726509094,,0.29048827290534973,,2.903118133544922,,1.8720879554748535,,,0.7179943323135376,,0.4640881419181824,,,,,4.407229423522949,,,,,,,,,,,,,,,,,,,,,,,,
0,199,,0.5293517112731934,,0.5209640860557556,,0.17147919535636902,,0.4338878393173218,,0.334945410490036,,0.0,,0.5738562345504761,,0.40821361541748047,,0.3292312026023865,,,1.512022614479065,1.2546498775482178,,0.16742591559886932,,2.5613059997558594,,1.1988749504089355,,,0.7243976593017578,,0.40821361541748047,,,,,4.227000713348389,,,,,,,,,,,,,,,,,,,,,,,,
