epoch,step,train/L_coord_epoch,train/L_coord_step,train/L_depth_anchor_epoch,train/L_depth_anchor_step,train/L_geo_pred_pred_art_epoch,train/L_geo_pred_pred_art_step,train/L_kld_epoch,train/L_kld_step,train/L_mask_epoch,train/L_mask_step,train/L_motion_recon_epoch,train/L_motion_recon_step,train/L_motion_type_epoch,train/L_motion_type_step,train/L_origin_epoch,train/L_origin_map_epoch,train/L_origin_map_step,train/L_origin_step,train/L_p_rev_balance_epoch,train/L_p_rev_balance_step,train/L_point_3d_epoch,train/L_point_3d_step,train/L_point_map_epoch,train/L_point_map_step,train/L_proj_fdiff_ang_epoch,train/L_proj_fdiff_ang_step,train/L_proj_fdiff_len_epoch,train/L_proj_fdiff_len_step,train/L_proj_fdiff_vel_epoch,train/L_proj_fdiff_vel_step,train/L_traj_proj_epoch,train/L_traj_proj_step,train/L_trajectory_epoch,train/L_trajectory_m2,train/L_trajectory_step,train/L_vae_total_epoch,train/L_vae_total_step,train/loss_total_epoch,train/loss_total_step,train/p_rev_mean,val/L_coord,val/L_depth_anchor,val/L_geo_pred_pred_art,val/L_kld,val/L_mask,val/L_motion_recon,val/L_motion_type,val/L_origin,val/L_origin_map,val/L_p_rev_balance,val/L_point_3d,val/L_point_map,val/L_proj_fdiff_ang,val/L_proj_fdiff_len,val/L_proj_fdiff_vel,val/L_traj_proj,val/L_trajectory,val/L_trajectory_m2,val/L_vae_total,val/loss_total
0,9,,0.33375799655914307,,0.4793889820575714,,0.5190187096595764,,0.0,,1.1118837594985962,,0.9549713134765625,,0.6425449252128601,,,15.177021026611328,1.245271921157837,,0.04276913031935692,,0.2766697108745575,,4.695760250091553,,1.014967679977417,,0.26791414618492126,,0.29241743683815,,32.37588882446289,,,1.45564603805542,,0.9549713134765625,,20.50548553466797,,,,,,,,,,,,,,,,,,,,,
0,19,,0.338051438331604,,0.5600439310073853,,0.4377140998840332,,0.0,,0.6139056086540222,,1.0078545808792114,,0.6429674029350281,,,12.57747745513916,0.8748556971549988,,0.033857639878988266,,0.3396385908126831,,4.684998512268066,,0.9967038035392761,,0.16995355486869812,,0.1943747103214264,,32.524574279785156,,,1.4081580638885498,,1.0078545808792114,,20.199190139770508,,,,,,,,,,,,,,,,,,,,,
0,29,,0.28729498386383057,,1.2712016105651855,,0.42893582582473755,,0.0,,0.6415292024612427,,1.052930235862732,,0.5988079309463501,,,16.912792205810547,1.5097334384918213,,0.022853851318359375,,0.2624281942844391,,3.9685189723968506,,1.0267847776412964,,0.11297809332609177,,0.14215555787086487,,21.569040298461914,,,1.4521197080612183,,1.052930235862732,,14.635150909423828,,,,,,,,,,,,,,,,,,,,,
0,39,,0.2593182921409607,,0.6833335757255554,,0.4316087067127228,,0.0,,0.663375735282898,,1.1293485164642334,,0.5966870784759521,,,6.085526466369629,1.8608144521713257,,0.018219759687781334,,0.34896373748779297,,3.3334004878997803,,1.0140990018844604,,0.1272207796573639,,0.15023306012153625,,22.52720832824707,,,1.5848736763000488,,1.1293485164642334,,14.506482124328613,,,,,,,,,,,,,,,,,,,,,
0,49,,0.27120235562324524,,0.9072914719581604,,0.404274046421051,,0.0,,0.64206862449646,,1.0057610273361206,,0.5892732739448547,,,12.928130149841309,1.7859302759170532,,0.010069175623357296,,0.2630741596221924,,3.2778148651123047,,1.0251924991607666,,0.12578146159648895,,0.15259972214698792,,18.051061630249023,,,1.5063917636871338,,1.0057610273361206,,12.348267555236816,,,,,,,,,,,,,,,,,,,,,
0,59,,0.2585657835006714,,0.3193361461162567,,0.3532029688358307,,0.0,,0.648862361907959,,1.0171595811843872,,0.5712108612060547,,,10.397575378417969,1.2161667346954346,,0.006194042973220348,,0.295990526676178,,2.814194679260254,,0.9856268167495728,,0.11238321661949158,,0.13735800981521606,,12.83329963684082,,,1.6823155879974365,,1.0171595811843872,,9.161909103393555,,,,,,,,,,,,,,,,,,,,,
0,69,,0.289440393447876,,0.6565703749656677,,0.29861822724342346,,0.0,,0.6369558572769165,,1.0458400249481201,,0.5483854413032532,,,14.665942192077637,1.8404970169067383,,0.00420246971771121,,0.29984936118125916,,3.2083513736724854,,1.0125035047531128,,0.11834216117858887,,0.14359554648399353,,15.67253589630127,,,1.5792663097381592,,1.0458400249481201,,10.972908020019531,,,,,,,,,,,,,,,,,,,,,
0,79,,0.2829582691192627,,0.3553982079029083,,0.2724078595638275,,0.0,,0.6463356018066406,,1.1354280710220337,,0.46517688035964966,,,9.893505096435547,1.1673970222473145,,0.003234395058825612,,0.2442919909954071,,3.1209473609924316,,1.008331060409546,,0.11522340029478073,,0.1394941359758377,,15.797677040100098,,,1.5859929323196411,,1.1354280710220337,,10.831788063049316,,,,,,,,,,,,,,,,,,,,,
0,89,,0.2525375485420227,,0.3478996157646179,,0.27429911494255066,,0.0,,0.614364504814148,,1.149609923362732,,0.5412147045135498,,,9.325872421264648,1.1740790605545044,,0.0020794386509805918,,0.20995303988456726,,2.4547858238220215,,1.0151804685592651,,0.11107642203569412,,0.1354874223470688,,10.442922592163086,,,1.6090079545974731,,1.149609923362732,,7.7833404541015625,,,,,,,,,,,,,,,,,,,,,
0,99,,0.21547523140907288,,0.9352736473083496,,0.22385114431381226,,0.0,,0.6198137998580933,,1.0915846824645996,,0.5144888758659363,,,13.469426155090332,1.6429239511489868,,0.001231372938491404,,0.2557488977909088,,2.838897943496704,,1.0041625499725342,,0.08907801657915115,,0.11289310455322266,,12.096522331237793,,,1.6800272464752197,,1.0915846824645996,,9.035506248474121,,,,,,,,,,,,,,,,,,,,,
