epoch,step,train/L_cf_frame_axis,train/L_cf_frame_epoch,train/L_cf_frame_phase,train/L_cf_frame_radius,train/L_cf_frame_step,train/L_coord_epoch,train/L_coord_step,train/L_kld_epoch,train/L_kld_step,train/L_mask_epoch,train/L_mask_step,train/L_motion_recon_epoch,train/L_motion_recon_step,train/L_motion_type_epoch,train/L_motion_type_step,train/L_origin_epoch,train/L_origin_map_epoch,train/L_origin_map_step,train/L_origin_step,train/L_point_3d_epoch,train/L_point_3d_step,train/L_point_map_epoch,train/L_point_map_step,train/L_traj_proj_epoch,train/L_traj_proj_step,train/L_trajectory_epoch,train/L_trajectory_m2,train/L_trajectory_step,train/L_vae_total_epoch,train/L_vae_total_step,train/arctic/loss_total,train/epic/loss_total,train/hoi4d/loss_total,train/loss_total_epoch,train/loss_total_step,train/p_rev_mean,train/sf3d/loss_total,val/L_cf_frame,val/L_cf_frame_axis,val/L_cf_frame_phase,val/L_cf_frame_radius,val/L_coord,val/L_kld,val/L_mask,val/L_motion_recon,val/L_motion_type,val/L_origin,val/L_origin_map,val/L_point_3d,val/L_point_map,val/L_traj_proj,val/L_trajectory,val/L_trajectory_m2,val/L_vae_total,val/arctic/loss_total,val/epic/loss_total,val/hoi4d/loss_total,val/loss_total,val/sf3d/loss_total
0,9,,,,,1.6994502544403076,,0.377784788608551,,0.0,,0.7842046022415161,,0.6480917930603027,,0.6851455569267273,,,5.97560453414917,1.3582264184951782,,0.30918627977371216,,4.530252456665039,,13.453587532043457,,,1.4389829635620117,,0.6480917930603027,,,,,8.7096529006958,,,,,,,,,,,,,,,,,,,,,,,,
0,19,,,,,1.4642314910888672,,0.22505079209804535,,0.0,,7.835355758666992,,1.0,,0.7250713109970093,,,0.0,0.0,,0.1380545198917389,,4.792288780212402,,4.0868072509765625,,,22.771753311157227,,1.0,,,,,8.832286834716797,,,,,,,,,,,,,,,,,,,,,,,,
0,29,,,,,1.6272249221801758,,0.18841680884361267,,0.0,,1.8351922035217285,,1.0,,0.7126933932304382,,,0.0,0.0,,201.00933837890625,,4.5465569496154785,,4.2268147468566895,,,1.1984549760818481,,1.0,,,,,5.7548370361328125,,,,,,,,,,,,,,,,,,,,,,,,
0,39,,,,,2.05043888092041,,0.1834881603717804,,0.0,,1.2444967031478882,,1.0,,0.7264686226844788,,,0.0,0.0,,189.4540252685547,,3.783768653869629,,2.6967966556549072,,,1.1351056098937988,,1.0,,,,,4.317509651184082,,,,,,,,,,,,,,,,,,,,,,,,
0,49,,,,,1.643775463104248,,0.3155958652496338,,0.0,,0.5903876423835754,,0.7097975611686707,,0.6229451894760132,,,5.0436272621154785,0.9351794123649597,,0.2505229711532593,,3.87477445602417,,2.5456347465515137,,,1.1196141242980957,,0.7097975611686707,,,,,7.460291862487793,,,,,,,,,,,,,,,,,,,,,,,,
0,59,,,,,1.74190354347229,,0.2848151922225952,,0.0,,0.6664140224456787,,0.6515724062919617,,0.6483815908432007,,,3.8743417263031006,0.9420120716094971,,0.2281283587217331,,3.7878544330596924,,1.453385353088379,,,1.2142815589904785,,0.6515724062919617,,,,,6.957877159118652,,,,,,,,,,,,,,,,,,,,,,,,
0,69,,,,,1.4594566822052002,,0.26630422472953796,,0.0,,0.6031817197799683,,0.6023088693618774,,0.6393434405326843,,,3.8876514434814453,0.7896658778190613,,0.1776447296142578,,3.8595824241638184,,4.377739906311035,,,0.9456405639648438,,0.6023088693618774,,,,,6.57114315032959,,,,,,,,,,,,,,,,,,,,,,,,
0,79,,,,,1.2586073875427246,,0.17145191133022308,,0.0,,1.0742063522338867,,1.0,,0.6532577276229858,,,0.0,0.0,,200.3154296875,,3.7443859577178955,,1.9372460842132568,,,1.1774495840072632,,1.0,,,,,3.790274143218994,,,,,,,,,,,,,,,,,,,,,,,,
0,89,,,,,1.635056495666504,,0.2700992524623871,,0.0,,0.6473668813705444,,0.675062894821167,,0.6447786092758179,,,3.504485845565796,1.4913372993469238,,0.3084866404533386,,3.440218687057495,,1.2153713703155518,,,1.3492984771728516,,0.675062894821167,,,,,6.788443088531494,,,,,,,,,,,,,,,,,,,,,,,,
0,99,,,,,1.2993135452270508,,0.23779211938381195,,0.0,,1.452537178993225,,1.0233609676361084,,0.693554699420929,,,6.439975738525391,0.8069231510162354,,0.13894177973270416,,3.990269660949707,,1.8402636051177979,,,25.35316276550293,,1.0233609676361084,,,,,4.107208728790283,,,,,,,,,,,,,,,,,,,,,,,,
