epoch,step,train/L_cf_derivative_epoch,train/L_cf_derivative_step,train/L_cf_position_epoch,train/L_cf_position_step,train/L_coord_epoch,train/L_coord_step,train/L_kld_epoch,train/L_kld_step,train/L_mask_epoch,train/L_mask_step,train/L_motion_recon_epoch,train/L_motion_recon_step,train/L_motion_type_epoch,train/L_motion_type_step,train/L_origin_epoch,train/L_origin_map_epoch,train/L_origin_map_step,train/L_origin_step,train/L_point_3d_epoch,train/L_point_3d_step,train/L_point_map_epoch,train/L_point_map_step,train/L_vae_total_epoch,train/L_vae_total_step,train/loss_total_epoch,train/loss_total_step,train/p_rev_mean,val/L_cf_derivative,val/L_cf_position,val/L_coord,val/L_kld,val/L_mask,val/L_motion_recon,val/L_motion_type,val/L_origin,val/L_origin_map,val/L_point_3d,val/L_point_map,val/L_vae_total,val/loss_total
0,9,,2.005890130996704,,2.031486749649048,,0.3511914610862732,,0.0,,1.2169686555862427,,0.7739843130111694,,0.6154448986053467,,,5.575567245483398,1.7956379652023315,,0.25137677788734436,,3.930631637573242,,0.7739843130111694,,8.887097358703613,,,,,,,,,,,,,,
0,19,,1.3587726354599,,1.32559072971344,,0.36831778287887573,,0.0,,0.636671781539917,,0.5842620730400085,,0.6352897882461548,,,4.729173183441162,1.5483834743499756,,0.3070303499698639,,5.315959930419922,,0.5842620730400085,,8.112595558166504,,,,,,,,,,,,,,
0,29,,1.390071153640747,,1.3859584331512451,,0.3438267409801483,,0.0,,0.6704338192939758,,0.7193986177444458,,0.6274337768554688,,,4.42995548248291,0.9014280438423157,,0.2889450788497925,,4.173377990722656,,0.7193986177444458,,7.105715751647949,,,,,,,,,,,,,,
0,39,,1.0627477169036865,,1.0339035987854004,,0.28922611474990845,,0.0,,0.6449395418167114,,0.5426766872406006,,0.6254125237464905,,,3.7666549682617188,0.9081405401229858,,0.316022664308548,,3.856243133544922,,0.5426766872406006,,6.251645088195801,,,,,,,,,,,,,,
0,49,,0.7997186183929443,,0.7650450468063354,,0.28822439908981323,,0.0,,0.6314619779586792,,0.4425550699234009,,0.5970315337181091,,,2.646182060241699,1.159135103225708,,0.34381407499313354,,3.2660648822784424,,0.4425550699234009,,5.24833869934082,,,,,,,,,,,,,,
0,59,,0.8231562376022339,,0.824129045009613,,0.25429537892341614,,0.0,,0.6509162187576294,,0.4377533793449402,,0.5866489410400391,,,3.136117458343506,1.4530985355377197,,0.23609904944896698,,3.335688352584839,,0.4377533793449402,,5.6500749588012695,,,,,,,,,,,,,,
0,69,,0.5771901607513428,,0.5784121751785278,,0.2560955584049225,,0.0,,0.643436849117279,,0.37275582551956177,,0.5850217342376709,,,3.306854486465454,1.2487459182739258,,0.22568807005882263,,3.0847513675689697,,0.37275582551956177,,5.253098011016846,,,,,,,,,,,,,,
0,79,,0.9201529622077942,,0.9148800373077393,,0.26807165145874023,,0.0,,0.646446943283081,,0.5195030570030212,,0.6025558710098267,,,3.137322425842285,1.315432071685791,,0.24053847789764404,,3.582216739654541,,0.5195030570030212,,5.813807964324951,,,,,,,,,,,,,,
0,89,,1.1610511541366577,,1.0837814807891846,,0.27053409814834595,,0.0,,0.6416109204292297,,0.5376358032226562,,0.5814857482910156,,,2.912552833557129,1.0897020101547241,,0.26596713066101074,,3.022958755493164,,0.5376358032226562,,5.514821529388428,,,,,,,,,,,,,,
0,99,,0.6909897327423096,,0.6790813207626343,,0.2590487003326416,,0.0,,0.63340163230896,,0.3735972046852112,,0.5630466341972351,,,2.1548848152160645,0.866778552532196,,0.20023131370544434,,2.8708014488220215,,0.3735972046852112,,4.459131717681885,,,,,,,,,,,,,,
0,109,,0.8357300758361816,,0.7673431634902954,,0.2282005250453949,,0.0,,0.6016898155212402,,0.4279964864253998,,0.5451549291610718,,,2.8504481315612793,0.25784504413604736,,0.17444515228271484,,3.1607871055603027,,0.4279964864253998,,4.710822105407715,,,,,,,,,,,,,,
0,119,,0.7909873723983765,,0.8090319633483887,,0.2889750003814697,,0.0,,0.6067057251930237,,0.4130188524723053,,0.5389165878295898,,,2.5480051040649414,0.6052152514457703,,0.1784745156764984,,2.926278591156006,,0.4130188524723053,,4.646294593811035,,,,,,,,,,,,,,
0,129,,0.9859216809272766,,1.0105814933776855,,0.2724909484386444,,0.0,,0.6321631669998169,,0.42497891187667847,,0.5979604125022888,,,2.4930620193481445,1.2527726888656616,,0.28256165981292725,,3.3261654376983643,,0.42497891187667847,,5.426839828491211,,,,,,,,,,,,,,
0,139,,0.6787737607955933,,0.6238505840301514,,0.2547774910926819,,0.0,,0.6045790314674377,,0.4100818634033203,,0.5705631375312805,,,2.304295063018799,0.7125542163848877,,0.1746527999639511,,3.102139472961426,,0.4100818634033203,,4.513092517852783,,,,,,,,,,,,,,
0,149,,0.7839037179946899,,0.8079424500465393,,0.24280576407909393,,0.0,,0.6310641765594482,,0.4065650403499603,,0.5492242574691772,,,1.8949062824249268,0.6681411862373352,,0.16462774574756622,,2.7531838417053223,,0.4065650403499603,,4.247900009155273,,,,,,,,,,,,,,
0,159,,0.6895444393157959,,0.6795523166656494,,0.2199362963438034,,0.0,,0.5921582579612732,,0.4224967956542969,,0.5527539849281311,,,1.483153223991394,0.5800228118896484,,0.16396154463291168,,2.644341468811035,,0.4224967956542969,,3.8027124404907227,,,,,,,,,,,,,,
0,169,,0.8525880575180054,,0.8669155836105347,,0.21593765914440155,,0.0,,0.6158315539360046,,0.4769505262374878,,0.544956386089325,,,1.7454719543457031,0.5494418740272522,,0.16345171630382538,,2.4525694847106934,,0.4769505262374878,,4.003582000732422,,,,,,,,,,,,,,
0,179,,0.8153644800186157,,0.8277559876441956,,0.2004057765007019,,0.0,,0.5796871185302734,,0.45628756284713745,,0.5449492335319519,,,1.782193660736084,0.508811891078949,,0.1558617353439331,,2.3835127353668213,,0.45628756284713745,,3.899271249771118,,,,,,,,,,,,,,
0,189,,0.6314133405685425,,0.6385235786437988,,0.22336190938949585,,0.0,,0.5749080181121826,,0.37358972430229187,,0.5483980178833008,,,1.684152364730835,0.6498389840126038,,0.18429768085479736,,2.420830011367798,,0.37358972430229187,,3.7778618335723877,,,,,,,,,,,,,,
