epoch,lr-AdamW,lr-AdamW-1,step,train/loss_fg,train/loss_mse,train/loss_screw,train/loss_total,train/screw/anchor,train/screw/der,train/screw/n_rows,train/screw/pos
,5e-05,1e-05,0,,,,,,,,
0,,,49,0.009986577555537224,0.0005493370699696243,0.057408321648836136,0.013406330719590187,0.0017066062428057194,0.05655501037836075,912.0,0.0566827617585659
0,,,99,0.009985653683543205,0.0014159673592075706,0.1259308159351349,0.01769816130399704,0.02546420693397522,0.11319871991872787,656.0,0.11370652914047241
0,,,149,0.009999585337936878,0.0011729695834219456,0.20086389780044556,0.02121575176715851,0.032440584152936935,0.18464362621307373,592.0,0.18385198712348938
0,,,199,0.009986498393118382,0.00161459157243371,0.03537627309560776,0.013369903899729252,0.002343955682590604,0.03420430049300194,912.0,0.03435380756855011
0,,,249,0.009986473247408867,0.0005058264941908419,0.0654497742652893,0.013764788396656513,0.0017236710991710424,0.06458794325590134,992.0,0.06468640267848969
0,,,299,0.009986745193600655,0.001421833992935717,0.045873645693063736,0.013702262192964554,0.010433020070195198,0.04065713658928871,816.0,0.04111916571855545
0,,,349,0.00998595915734768,0.0004730859654955566,0.07296109199523926,0.01410709973424673,0.012203166261315346,0.06685949862003326,944.0,0.0695681944489479
0,,,399,0.009987236931920052,0.0004888141993433237,0.06044437736272812,0.013498269952833652,0.0011020362144336104,0.05989335849881172,768.0,0.05984148755669594
0,,,449,0.009986385703086853,0.0019924386870115995,0.08253519237041473,0.016105584800243378,0.008036713115870953,0.07851683348417282,1040.0,0.07902934402227402
0,,,499,0.009986059740185738,0.0004733608802780509,0.04190859943628311,0.012554850429296494,0.0013141721719875932,0.04125151410698891,992.0,0.041336316615343094
0,,,549,0.00998695008456707,0.0006210201536305249,0.04338669404387474,0.012777304276823997,0.0008218383882194757,0.0429757684469223,1008.0,0.04303748533129692
0,,,599,0.009986882098019123,0.0017364172963425517,0.0383756048977375,0.013642080128192902,0.010503984987735748,0.033123619854450226,928.0,0.03393498808145523
0,,,649,0.009985972195863724,0.002093670656904578,0.08569086343050003,0.016364187002182007,0.014354841783642769,0.07851344347000122,960.0,0.0798364132642746
0,,,699,0.009986902587115765,0.0009362776181660593,0.0999026820063591,0.015918314456939697,0.02299579232931137,0.08840478956699371,864.0,0.08925686776638031
0,,,749,0.00999961607158184,0.0018726583803072572,0.188224658370018,0.021283507347106934,0.03562713786959648,0.17041108012199402,1008.0,0.17271216213703156
0,,,799,0.009987006895244122,0.000385378923965618,0.019213536754250526,0.011333062313497066,0.00023454973415937275,0.019096260890364647,848.0,0.01909710094332695
0,,,849,0.00998614076524973,0.0022603608667850494,0.08661568909883499,0.016577286645770073,0.00488657783716917,0.08417239040136337,1040.0,0.08451198041439056
0,,,899,0.009987086988985538,0.002183890901505947,0.016756504774093628,0.013008803129196167,0.004573936574161053,0.014469536952674389,880.0,0.0147996312007308
0,,,949,0.009986872784793377,0.001635779277421534,0.06914624571800232,0.015079964883625507,0.004320699721574783,0.06698589026927948,752.0,0.06742309778928757
0,,,999,0.009985885582864285,0.0017613829113543034,0.07837935537099838,0.015666237100958824,0.011590316891670227,0.07258420437574387,976.0,0.07313396036624908
0,,,1049,0.009987211786210537,0.001367987715639174,0.07662615925073624,0.015186508186161518,0.009988142177462578,0.07163208723068237,832.0,0.07227132469415665
0,,,1099,0.009986464865505695,0.0006326863076537848,0.0526423305273056,0.013251268304884434,0.003110771533101797,0.051086947321891785,960.0,0.05125424638390541
0,,,1149,0.009986144490540028,0.0024499131832271814,0.05814596638083458,0.01534335594624281,0.007287977728992701,0.0545019805431366,1104.0,0.05458834394812584
0,,,1199,0.009999615140259266,0.0014968349132686853,0.15674658119678497,0.01933377981185913,0.029287327080965042,0.142102912068367,784.0,0.14075680077075958
0,,,1249,0.00998594705015421,0.0005020098760724068,0.023870913311839104,0.011681502684950829,0.003112384118139744,0.02231471985578537,848.0,0.02294923923909664
0,,,1299,0.009987162426114082,0.001738049671985209,0.05132448673248291,0.014291437342762947,0.00756565947085619,0.04754165932536125,944.0,0.04776773974299431
0,,,1349,0.009986434131860733,0.0005514262011274695,0.020796064287424088,0.011577663011848927,0.007888668216764927,0.01685173064470291,944.0,0.01766544207930565
0,,,1399,0.009999582543969154,0.0017238882137462497,0.1998843401670456,0.02171768806874752,0.0595175139605999,0.1701255589723587,848.0,0.16002966463565826
0,,,1449,0.009985484182834625,0.0030284300446510315,0.035491276532411575,0.014788477681577206,0.012488547712564468,0.029247000813484192,1104.0,0.03036436066031456
0,,,1499,0.009986248798668385,0.0007990720914676785,0.03952331840991974,0.012761486694216728,0.006976530887186527,0.036035049706697464,624.0,0.03622778132557869
0,,,1549,0.009986497461795807,0.00047260086284950376,0.07651391625404358,0.014284794218838215,0.014879315160214901,0.06907426565885544,848.0,0.06913100183010101
0,,,1599,0.009985595941543579,0.001659601228311658,0.05264750123023987,0.014277571812272072,0.00948629342019558,0.047904353588819504,976.0,0.0465305894613266
0,,,1649,0.009986975230276585,0.001752033713273704,0.05284283310174942,0.014381150715053082,0.0036119502037763596,0.05103685334324837,864.0,0.051174331456422806
0,,,1699,0.009987344965338707,0.0005872665788047016,0.06979657709598541,0.014064440503716469,0.02280454896390438,0.058394305408000946,736.0,0.056401241570711136
0,,,1749,0.009985100477933884,0.0014947698218747973,0.023694269359111786,0.012664583511650562,0.0009774869540706277,0.023205528035759926,768.0,0.02319948561489582
0,,,1799,0.009999562054872513,0.0017088816966861486,0.10796608030796051,0.01710674911737442,0.02947094291448593,0.09323061257600784,1072.0,0.09276950359344482
0,,,1849,0.009985792450606823,0.00047102689859457314,0.03749735653400421,0.012331686913967133,0.0003402252623345703,0.037327248603105545,768.0,0.0373721569776535
