epoch,lr-AdamW,lr-AdamW-1,step,train/loss_fg,train/loss_mse,train/loss_screw,train/loss_total,train/screw/anchor,train/screw/der,train/screw/n_rows,train/screw/pos
,5e-05,1e-05,0,,,,,,,,
0,,,49,0.009986238554120064,0.0005538722034543753,0.05149116367101669,0.03628569096326828,0.005846148822456598,0.05148797482252121,912.0,0.05149116367101669
0,,,99,0.00998572539538145,0.0012324569979682565,0.09128696471452713,0.05686166509985924,0.01326422393321991,0.09131918847560883,656.0,0.09128696471452713
0,,,149,0.009999571368098259,0.001325381686910987,0.2151724398136139,0.11891117691993713,0.03892863914370537,0.20954662561416626,592.0,0.2151724398136139
0,,,199,0.009986333549022675,0.0016776702832430601,0.05692097917199135,0.04012449458241463,0.007868385873734951,0.05690055340528488,912.0,0.05692097917199135
0,,,249,0.009986136108636856,0.0006315673817880452,0.09026958048343658,0.05575249344110489,0.0030988974031060934,0.09023503959178925,992.0,0.09026958048343658
0,,,299,0.009986672550439835,0.0015588839305564761,0.03589014708995819,0.029490631073713303,0.00768629414960742,0.03567948564887047,816.0,0.03589014708995819
0,,,349,0.009985963813960552,0.0006796158268116415,0.10509268939495087,0.06321192532777786,0.01254770252853632,0.10496523231267929,944.0,0.10509268939495087
0,,,399,0.009987329132854939,0.0004979397053830326,0.041719600558280945,0.03134506940841675,0.00034003128530457616,0.041728727519512177,768.0,0.041719600558280945
0,,,449,0.009985938668251038,0.0019141699885949492,0.15676817297935486,0.09028419852256775,0.0083024175837636,0.15644040703773499,1040.0,0.15676817297935486
0,,,499,0.00998593494296074,0.00047937757335603237,0.02336832694709301,0.022149477154016495,0.0008497285889461637,0.023315513506531715,992.0,0.02336832694709301
0,,,549,0.00998686719685793,0.0006149153341539204,0.0388043150305748,0.03000393882393837,0.00194469653069973,0.03870077803730965,1008.0,0.0388043150305748
0,,,599,0.009987041354179382,0.0020691745448857546,0.037047334015369415,0.030579883605241776,0.00735664926469326,0.03653454780578613,928.0,0.037047334015369415
0,,,649,0.009985855780541897,0.0019572172313928604,0.07031793892383575,0.04710204154253006,0.020620372146368027,0.06894056499004364,960.0,0.07031793892383575
0,,,699,0.009986546821892262,0.0005283474456518888,0.05538486689329147,0.03820732980966568,0.01666724681854248,0.05431423708796501,864.0,0.05538486689329147
