epoch,step,train/L_coord_epoch,train/L_coord_step,train/L_kld_epoch,train/L_kld_step,train/L_mask_epoch,train/L_mask_step,train/L_motion_recon_epoch,train/L_motion_recon_step,train/L_motion_type_epoch,train/L_motion_type_step,train/L_point_map_epoch,train/L_point_map_step,train/L_screw_self_epoch,train/L_screw_self_step,train/L_screw_twist_gt_traj_epoch,train/L_screw_twist_gt_traj_step,train/L_trajectory_epoch,train/L_trajectory_step,train/L_twist_epoch,train/L_twist_step,train/L_vae_total_epoch,train/L_vae_total_step,train/loss_total_epoch,train/loss_total_step,val/L_coord,val/L_kld,val/L_mask,val/L_motion_recon,val/L_motion_type,val/L_point_map,val/L_screw_self,val/L_screw_twist_gt_traj,val/L_trajectory,val/L_twist,val/L_vae_total,val/loss_total
3,8769,,0.1312837302684784,,0.0,,0.4763733446598053,,0.12270655483007431,,0.2136027216911316,,0.24908846616744995,,0.02331923320889473,,0.26676374673843384,,0.019599173218011856,,0.44400036334991455,,0.12270655483007431,,0.973368763923645,,,,,,,,,,,,
3,8779,,0.09097369760274887,,0.0,,0.4682767391204834,,0.12726733088493347,,0.22003820538520813,,0.22947649657726288,,0.0256787296384573,,0.21460318565368652,,0.015092764981091022,,0.23121517896652222,,0.12726733088493347,,0.8113111853599548,,,,,,,,,,,,
3,8789,,0.1138676330447197,,0.0,,0.47753772139549255,,0.12156383693218231,,0.20352807641029358,,0.23091331124305725,,0.022383611649274826,,0.24624207615852356,,0.02356991544365883,,0.2769642472267151,,0.12156383693218231,,0.8582853078842163,,,,,,,,,,,,
3,8799,,0.11149244755506516,,0.0,,0.4761323928833008,,0.08727863430976868,,0.20516401529312134,,0.23470719158649445,,0.02569294162094593,,0.2449146956205368,,0.01807616651058197,,0.2629573345184326,,0.08727863430976868,,0.8332079648971558,,,,,,,,,,,,
3,8809,,0.10771937668323517,,0.0,,0.47192567586898804,,0.13843384385108948,,0.21138548851013184,,0.24621427059173584,,0.03299994021654129,,0.2800340950489044,,0.01605680212378502,,0.3508564233779907,,0.13843384385108948,,0.927812933921814,,,,,,,,,,,,
3,8819,,0.12067563831806183,,0.0,,0.4760078191757202,,0.1260334998369217,,0.20666193962097168,,0.2388668656349182,,0.03474733978509903,,0.2542048692703247,,0.019238334149122238,,0.2959210276603699,,0.1260334998369217,,0.8861786723136902,,,,,,,,,,,,
3,8829,,0.1077723577618599,,0.0,,0.47012901306152344,,0.11823470145463943,,0.22432446479797363,,0.2281619757413864,,0.021425025537610054,,0.2440817654132843,,0.01517182495445013,,0.2896652817726135,,0.11823470145463943,,0.8594831228256226,,,,,,,,,,,,
3,8839,,0.11954604834318161,,0.0,,0.4804442226886749,,0.09903927147388458,,0.21176493167877197,,0.23706981539726257,,0.036293670535087585,,0.23098570108413696,,0.023069558665156364,,0.2750662565231323,,0.09903927147388458,,0.8566397428512573,,,,,,,,,,,,
3,8849,,0.12065024673938751,,0.0,,0.47900694608688354,,0.13162387907505035,,0.21387502551078796,,0.23864883184432983,,0.0302906297147274,,0.2595527172088623,,0.01581006683409214,,0.34003138542175293,,0.13162387907505035,,0.9147447943687439,,,,,,,,,,,,
3,8859,,0.1166781336069107,,0.0,,0.48006099462509155,,0.11445324122905731,,0.23452749848365784,,0.24272987246513367,,0.02471822127699852,,0.20149952173233032,,0.012535377405583858,,0.20327983796596527,,0.11445324122905731,,0.8152413368225098,,,,,,,,,,,,
3,8869,,0.12184920907020569,,0.0,,0.4730244576931,,0.10683275759220123,,0.21800640225410461,,0.2485126256942749,,0.01665639318525791,,0.2542494833469391,,0.020695747807621956,,0.25237369537353516,,0.10683275759220123,,0.8561003804206848,,,,,,,,,,,,
3,8879,,0.11470871418714523,,0.0,,0.47074028849601746,,0.10179342329502106,,0.21174274384975433,,0.24721583724021912,,0.04714956879615784,,0.26572662591934204,,0.017244359478354454,,0.3337955176830292,,0.10179342329502106,,0.9050585627555847,,,,,,,,,,,,
3,8889,,0.11251301318407059,,0.0,,0.48488011956214905,,0.10935820639133453,,0.2052532583475113,,0.2485928237438202,,0.03385406732559204,,0.29703837633132935,,0.023185182362794876,,0.3447454571723938,,0.10935820639133453,,0.9297102093696594,,,,,,,,,,,,
3,8899,,0.12490527331829071,,0.0,,0.48451316356658936,,0.10983440279960632,,0.2232479304075241,,0.2542361915111542,,0.02936963550746441,,0.2525040805339813,,0.01679587922990322,,0.30582645535469055,,0.10983440279960632,,0.900616466999054,,,,,,,,,,,,
3,8909,,0.10459697246551514,,0.0,,0.4754110872745514,,0.1143079549074173,,0.20450986921787262,,0.24009235203266144,,0.025951677933335304,,0.2232428342103958,,0.013477682135999203,,0.22483623027801514,,0.1143079549074173,,0.8132133483886719,,,,,,,,,,,,
3,8919,,0.11523518711328506,,0.0,,0.4768012464046478,,0.12821955978870392,,0.21949514746665955,,0.24215160310268402,,0.02366851456463337,,0.2475036233663559,,0.019609197974205017,,0.24731311202049255,,0.12821955978870392,,0.8599986433982849,,,,,,,,,,,,
3,8929,,0.10136045515537262,,0.0,,0.477916419506073,,0.12894415855407715,,0.20804791152477264,,0.22370898723602295,,0.023282192647457123,,0.2639518678188324,,0.016331374645233154,,0.24272790551185608,,0.12894415855407715,,0.8431356549263,,,,,,,,,,,,
3,8939,,0.10750231891870499,,0.0,,0.46870532631874084,,0.10972728580236435,,0.20996099710464478,,0.2308500111103058,,0.02221963182091713,,0.23592449724674225,,0.01719583012163639,,0.3493713140487671,,0.10972728580236435,,0.8757286071777344,,,,,,,,,,,,
3,8949,,0.10130662471055984,,0.0,,0.46846193075180054,,0.13090820610523224,,0.20887668430805206,,0.22785520553588867,,0.03201153501868248,,0.21887990832328796,,0.015027344226837158,,0.18337520956993103,,0.13090820610523224,,0.7933513522148132,,,,,,,,,,,,
3,8959,,0.1087779849767685,,0.0,,0.47217240929603577,,0.08291887491941452,,0.20441971719264984,,0.22177523374557495,,0.014904474839568138,,0.20829352736473083,,0.0192825086414814,,0.24520792067050934,,0.08291887491941452,,0.7888762950897217,,,,,,,,,,,,
3,8969,,0.09763827174901962,,0.0,,0.46304982900619507,,0.08706256002187729,,0.21913689374923706,,0.22948679327964783,,0.029217680916190147,,0.179122656583786,,0.016848813742399216,,0.26193737983703613,,0.08706256002187729,,0.7917503714561462,,,,,,,,,,,,
3,8979,,0.1046343520283699,,0.0,,0.48338714241981506,,0.13767382502555847,,0.23802044987678528,,0.23619264364242554,,0.024705251678824425,,0.2524529993534088,,0.015711307525634766,,0.3695187568664551,,0.13767382502555847,,0.9311483502388,,,,,,,,,,,,
