epoch,step,train/L_coord_epoch,train/L_coord_step,train/L_geo_pred_pred_art_epoch,train/L_geo_pred_pred_art_step,train/L_kld_epoch,train/L_kld_step,train/L_mask_epoch,train/L_mask_step,train/L_motion_recon_epoch,train/L_motion_recon_step,train/L_motion_type_epoch,train/L_motion_type_step,train/L_origin_epoch,train/L_origin_map_epoch,train/L_origin_map_step,train/L_origin_step,train/L_p_rev_balance_epoch,train/L_p_rev_balance_step,train/L_point_3d_epoch,train/L_point_3d_step,train/L_point_map_epoch,train/L_point_map_step,train/L_proj_fdiff_ang_epoch,train/L_proj_fdiff_ang_step,train/L_proj_fdiff_len_epoch,train/L_proj_fdiff_len_step,train/L_proj_fdiff_vel_epoch,train/L_proj_fdiff_vel_step,train/L_proj_scale_epoch,train/L_proj_scale_step,train/L_traj_proj_epoch,train/L_traj_proj_step,train/L_trajectory_epoch,train/L_trajectory_m2,train/L_trajectory_step,train/L_vae_total_epoch,train/L_vae_total_step,train/arctic/loss_total,train/epic/loss_total,train/hoi4d/loss_total,train/loss_total_epoch,train/loss_total_step,train/p_rev_mean,val/L_coord,val/L_geo_pred_pred_art,val/L_kld,val/L_mask,val/L_motion_recon,val/L_motion_type,val/L_origin,val/L_origin_map,val/L_p_rev_balance,val/L_point_3d,val/L_point_map,val/L_proj_fdiff_ang,val/L_proj_fdiff_len,val/L_proj_fdiff_vel,val/L_proj_scale,val/L_traj_proj,val/L_trajectory,val/L_trajectory_m2,val/L_vae_total,val/arctic/loss_total,val/epic/loss_total,val/hoi4d/loss_total,val/loss_total
0,9,,0.27169573307037354,,0.5406067371368408,,0.0,,1.8731435537338257,,0.6804524660110474,,1.110296607017517,,,6.050007343292236,0.12003029137849808,,0.008748357184231281,,0.99656742811203,,8.887100219726562,,0.9919564127922058,,0.017400259152054787,,0.031200772151350975,,0.632538914680481,,1.091921329498291,,,3.810685634613037,,0.6804524660110474,,,,,6.704574108123779,,,,,,,,,,,,,,,,,,,,,,,,
0,19,,0.0940963625907898,,0.05705662816762924,,0.0,,0.9201817512512207,,1.0,,0.3391898274421692,,,0.0,0.0,,0.0004157242947258055,,176.43353271484375,,3.244201183319092,,0.9797391891479492,,0.008261190727353096,,0.01607341133058071,,0.5507943034172058,,0.756222128868103,,,1.021115779876709,,1.0,,,,,3.0436980724334717,,,,,,,,,,,,,,,,,,,,,,,,
0,29,,0.057732224464416504,,0.047173477709293365,,0.0,,0.9477031826972961,,1.0,,0.3133648931980133,,,0.0,0.0,,2.603915891086217e-05,,160.38461303710938,,2.3282783031463623,,1.0005016326904297,,0.008133402094244957,,0.01427754107862711,,0.5860576629638672,,0.7209089994430542,,,1.1325501203536987,,1.0,,,,,2.5843679904937744,,,,,,,,,,,,,,,,,,,,,,,,
0,39,,0.15752586722373962,,0.04990687221288681,,0.0,,1.38838529586792,,0.5931903123855591,,1.395052433013916,,,8.066404342651367,0.18949103355407715,,9.675399633124471e-05,,3.383835554122925,,3.8464789390563965,,0.9805498123168945,,0.01452680304646492,,0.025159507989883423,,0.6191543936729431,,0.9243172407150269,,,8.33957290649414,,0.5931903123855591,,,,,3.734318971633911,,,,,,,,,,,,,,,,,,,,,,,,
0,49,,0.1574484258890152,,0.040425822138786316,,0.0,,0.9989081621170044,,0.6690539121627808,,1.38124418258667,,,7.440857410430908,0.19069884717464447,,0.00017612350347917527,,3.3883752822875977,,2.5075836181640625,,1.0079494714736938,,0.013931967318058014,,0.02438143640756607,,0.5881145000457764,,0.9465051293373108,,,7.574456214904785,,0.6690539121627808,,,,,2.8710715770721436,,,,,,,,,,,,,,,,,,,,,,,,
0,59,,0.15501326322555542,,0.029997678473591805,,0.0,,0.8911721706390381,,0.6891836524009705,,1.4173461198806763,,,4.176156044006348,0.210684135556221,,2.6735244318842888e-05,,3.8706722259521484,,2.5301027297973633,,0.9822597503662109,,0.016849931329488754,,0.027054810896515846,,0.6455731987953186,,0.9268099069595337,,,6.0068888664245605,,0.6891836524009705,,,,,2.840653657913208,,,,,,,,,,,,,,,,,,,,,,,,
0,69,,0.1444753259420395,,0.038725972175598145,,0.0,,0.6694248914718628,,0.6109226942062378,,1.4349215030670166,,,4.531407833099365,0.16801822185516357,,2.0251022192496748e-08,,3.690500259399414,,1.898200273513794,,0.9899921417236328,,0.014306052587926388,,0.02451922371983528,,0.5682601928710938,,0.8987762331962585,,,12.580348014831543,,0.6109226942062378,,,,,2.3567752838134766,,,,,,,,,,,,,,,,,,,,,,,,
0,79,,0.049139343202114105,,0.04155956208705902,,0.0,,0.4409865140914917,,1.0,,0.3277212083339691,,,0.0,0.0,,0.00010043897782452404,,154.41355895996094,,0.9877200722694397,,0.9523401856422424,,0.007233492564409971,,0.01403936930000782,,0.43771275877952576,,0.6112656593322754,,,1.1014277935028076,,1.0,,,,,1.5145314931869507,,,,,,,,,,,,,,,,,,,,,,,,
0,89,,0.056328341364860535,,0.034159574657678604,,0.0,,0.4474498927593231,,1.0,,0.3153042793273926,,,0.0,0.0,,7.774147888994776e-06,,161.5936279296875,,0.9149696826934814,,0.8596133589744568,,0.007441578898578882,,0.012970535084605217,,0.41962262988090515,,0.5714991092681885,,,1.0718772411346436,,1.0,,,,,1.4316037893295288,,,,,,,,,,,,,,,,,,,,,,,,
0,99,,0.05734076723456383,,0.040124502032995224,,0.0,,0.39652881026268005,,1.0,,0.3216261863708496,,,0.0,0.0,,1.3512298210116569e-05,,148.42526245117188,,0.6620594263076782,,0.9361280798912048,,0.007971727289259434,,0.01421908289194107,,0.4082174301147461,,0.5847768783569336,,,1.0469186305999756,,1.0,,,,,1.3016153573989868,,,,,,,,,,,,,,,,,,,,,,,,
