epoch,step,train/L_coord_epoch,train/L_coord_step,train/L_kld_epoch,train/L_kld_step,train/L_mask_epoch,train/L_mask_step,train/L_motion_recon_epoch,train/L_motion_recon_step,train/L_motion_type_epoch,train/L_motion_type_step,train/L_origin_epoch,train/L_origin_map_epoch,train/L_origin_map_step,train/L_origin_step,train/L_point_3d_epoch,train/L_point_3d_step,train/L_point_map_epoch,train/L_point_map_step,train/L_vae_total_epoch,train/L_vae_total_step,train/loss_total_epoch,train/loss_total_step,val/L_coord,val/L_kld,val/L_mask,val/L_motion_recon,val/L_motion_type,val/L_origin,val/L_origin_map,val/L_point_3d,val/L_point_map,val/L_vae_total,val/loss_total
0,9,,0.24025686085224152,,0.0,,0.569929301738739,,1.0256057977676392,,0.6944717168807983,,,0.7948390245437622,0.9292848110198975,,0.18081077933311462,,0.7084951400756836,,1.0256057977676392,,2.5718467235565186,,,,,,,,,,,
0,19,,0.2027534544467926,,0.0,,0.5173085927963257,,0.7819877862930298,,0.6895300149917603,,,0.6789911389350891,0.791688084602356,,0.1901310682296753,,0.6528763771057129,,0.7819877862930298,,2.2526333332061768,,,,,,,,,,,
0,29,,0.1985657811164856,,0.0,,0.5180529356002808,,0.61228346824646,,0.6878460049629211,,,0.6334002614021301,0.651557207107544,,0.16371925175189972,,0.5932124257087708,,0.61228346824646,,2.0293185710906982,,,,,,,,,,,
0,39,,0.21457314491271973,,0.0,,0.5203462243080139,,0.5689719915390015,,0.684004008769989,,,0.5196687579154968,0.45399001240730286,,0.15176306664943695,,0.5875753164291382,,0.5689719915390015,,1.8504462242126465,,,,,,,,,,,
0,49,,0.1790982037782669,,0.0,,0.5239204168319702,,0.5042405128479004,,0.6831763982772827,,,0.4362410604953766,0.43305668234825134,,0.1660889983177185,,0.5254888534545898,,0.5042405128479004,,1.7256556749343872,,,,,,,,,,,
0,59,,0.18144674599170685,,0.0,,0.5197739005088806,,0.45653054118156433,,0.67525714635849,,,0.46175459027290344,0.6497612595558167,,0.18220791220664978,,0.5419610738754272,,0.45653054118156433,,1.8343465328216553,,,,,,,,,,,
0,69,,0.1837030053138733,,0.0,,0.5206301212310791,,0.39244651794433594,,0.6689345836639404,,,0.37429603934288025,0.34713539481163025,,0.11473619937896729,,0.4916345775127411,,0.39244651794433594,,1.5467581748962402,,,,,,,,,,,
0,79,,0.1734057515859604,,0.0,,0.5180041193962097,,0.3152640759944916,,0.6575686931610107,,,0.38578203320503235,0.522955596446991,,0.1041375994682312,,0.5132196545600891,,0.3152640759944916,,1.5951688289642334,,,,,,,,,,,
0,89,,0.16746383905410767,,0.0,,0.5175053477287292,,0.3927815556526184,,0.6575254201889038,,,0.3572961091995239,0.4634079039096832,,0.1142350435256958,,0.5248201489448547,,0.3927815556526184,,1.597517490386963,,,,,,,,,,,
0,99,,0.16499319672584534,,0.0,,0.518890380859375,,0.3911758065223694,,0.6549562811851501,,,0.35140302777290344,0.3166443407535553,,0.08484233915805817,,0.4833512306213379,,0.3911758065223694,,1.4831284284591675,,,,,,,,,,,
0,109,,0.16632485389709473,,0.0,,0.5174902081489563,,0.37005525827407837,,0.6496801376342773,,,0.37009507417678833,0.5146616101264954,,0.10371212661266327,,0.5012359619140625,,0.37005525827407837,,1.5966274738311768,,,,,,,,,,,
0,119,,0.1465352177619934,,0.0,,0.5157703757286072,,0.3541937470436096,,0.6422739028930664,,,0.3222474157810211,0.5701205134391785,,0.10955002158880234,,0.46160900592803955,,0.3541937470436096,,1.5611501932144165,,,,,,,,,,,
0,129,,0.15386156737804413,,0.0,,0.5184476375579834,,0.302524209022522,,0.6370313167572021,,,0.3718663156032562,0.5120760202407837,,0.08276785910129547,,0.44851744174957275,,0.302524209022522,,1.5135462284088135,,,,,,,,,,,
0,139,,0.15043973922729492,,0.0,,0.515032172203064,,0.314877450466156,,0.6309752464294434,,,0.3271085321903229,0.23539137840270996,,0.09047101438045502,,0.4459712505340576,,0.314877450466156,,1.3551334142684937,,,,,,,,,,,
0,149,,0.14232270419597626,,0.0,,0.5186254382133484,,0.33346647024154663,,0.6287155151367188,,,0.3142295777797699,0.6332603096961975,,0.08401703834533691,,0.4363373816013336,,0.33346647024154663,,1.5454871654510498,,,,,,,,,,,
0,159,,0.15947964787483215,,0.0,,0.5158953070640564,,0.36131972074508667,,0.622046709060669,,,0.3221859931945801,0.2405768483877182,,0.08034151047468185,,0.4385460615158081,,0.36131972074508667,,1.3701958656311035,,,,,,,,,,,
0,169,,0.14099819958209991,,0.0,,0.5154167413711548,,0.258924663066864,,0.6181336045265198,,,0.3078239858150482,0.3680402934551239,,0.06899361312389374,,0.4111992418766022,,0.258924663066864,,1.344765067100525,,,,,,,,,,,
0,179,,0.1405179798603058,,0.0,,0.5156829953193665,,0.324478417634964,,0.602141797542572,,,0.35439836978912354,0.30203232169151306,,0.061883777379989624,,0.4304600954055786,,0.324478417634964,,1.365797758102417,,,,,,,,,,,
0,189,,0.12900085747241974,,0.0,,0.5148953199386597,,0.26435455679893494,,0.614063024520874,,,0.2905140519142151,0.32034191489219666,,0.07395195960998535,,0.4190942645072937,,0.26435455679893494,,1.3131078481674194,,,,,,,,,,,
0,199,,0.12573868036270142,,0.0,,0.5130228400230408,,0.2930443286895752,,0.6032767295837402,,,0.30835410952568054,0.4046257734298706,,0.06795098632574081,,0.3984367847442627,,0.2930443286895752,,1.3572250604629517,,,,,,,,,,,
0,209,,0.14269347488880157,,0.0,,0.5129931569099426,,0.31405627727508545,,0.6096575260162354,,,0.30393803119659424,0.2848462164402008,,0.06290280818939209,,0.41664594411849976,,0.31405627727508545,,1.323866844177246,,,,,,,,,,,
0,219,,0.11091506481170654,,0.0,,0.5128583908081055,,0.20788496732711792,,0.5945118069648743,,,0.2877759635448456,0.5885388851165771,,0.06304912269115448,,0.38897383213043213,,0.20788496732711792,,1.3772540092468262,,,,,,,,,,,
