epoch,step,train/L_coord_epoch,train/L_coord_step,train/L_geo_pred_pred_art_epoch,train/L_geo_pred_pred_art_step,train/L_kld_epoch,train/L_kld_step,train/L_mask_epoch,train/L_mask_step,train/L_motion_recon_epoch,train/L_motion_recon_step,train/L_motion_type_epoch,train/L_motion_type_step,train/L_origin_epoch,train/L_origin_step,train/L_point_3d_epoch,train/L_point_3d_step,train/L_point_map_epoch,train/L_point_map_step,train/L_trajectory_epoch,train/L_trajectory_step,train/L_vae_total_epoch,train/L_vae_total_step,train/loss_total_epoch,train/loss_total_step,val/L_coord,val/L_geo_pred_pred_art,val/L_kld,val/L_mask,val/L_motion_recon,val/L_motion_type,val/L_origin,val/L_point_3d,val/L_point_map,val/L_trajectory,val/L_vae_total,val/loss_total
0,9,,0.0,,0.01711837574839592,,0.0,,0.5046886205673218,,0.7167905569076538,,0.7032838463783264,,11.828940391540527,,2.8924288749694824,,0.0,,0.020710594952106476,,0.7167905569076538,,8.341980934143066,,,,,,,,,,,,
0,19,,0.0,,0.012479346245527267,,0.0,,0.5059182643890381,,0.636385977268219,,0.6829668283462524,,5.062499523162842,,2.057907819747925,,0.0,,0.024715537205338478,,0.636385977268219,,4.491436958312988,,,,,,,,,,,,
0,29,,0.0,,0.03080710768699646,,0.0,,0.5048797130584717,,0.5285660624504089,,0.6516299843788147,,2.368664026260376,,1.4732182025909424,,0.0,,0.03187474235892296,,0.5285660624504089,,2.7948198318481445,,,,,,,,,,,,
0,39,,0.0,,0.04059266671538353,,0.0,,0.504150390625,,0.5754609107971191,,0.6178253889083862,,2.643022060394287,,0.9004645347595215,,0.0,,0.034604430198669434,,0.5754609107971191,,2.658060312271118,,,,,,,,,,,,
0,49,,0.0,,0.030097516253590584,,0.0,,0.5077212452888489,,0.5218641757965088,,0.5950012803077698,,1.347493290901184,,0.7087451815605164,,0.0,,0.034772422164678574,,0.5218641757965088,,1.872847557067871,,,,,,,,,,,,
0,59,,0.0,,0.017714032903313637,,0.0,,0.5051268935203552,,0.4909825026988983,,0.5921201705932617,,1.6229697465896606,,0.6294004321098328,,0.0,,0.027247129008173943,,0.4909825026988983,,1.9427803754806519,,,,,,,,,,,,
0,69,,0.0,,0.018351417034864426,,0.0,,0.5060927867889404,,0.4837764799594879,,0.56036376953125,,1.781277060508728,,0.7095040082931519,,0.0,,0.026943938806653023,,0.4837764799594879,,2.0431549549102783,,,,,,,,,,,,
0,79,,0.0,,0.01924620196223259,,0.0,,0.5039517283439636,,0.48547542095184326,,0.5763555765151978,,2.224665641784668,,0.6335985660552979,,0.0,,0.031152257695794106,,0.48547542095184326,,2.237222671508789,,,,,,,,,,,,
0,89,,0.0,,0.013786114752292633,,0.0,,0.5049442052841187,,0.4742409586906433,,0.5706928372383118,,1.7398096323013306,,0.5456449389457703,,0.0,,0.023528682067990303,,0.4742409586906433,,1.9363235235214233,,,,,,,,,,,,
0,99,,0.0,,0.014542710967361927,,0.0,,0.5042347311973572,,0.3989398777484894,,0.5444734692573547,,1.005906105041504,,0.43936166167259216,,0.0,,0.024917107075452805,,0.3989398777484894,,1.466187834739685,,,,,,,,,,,,
