epoch,step,train/L_coord_epoch,train/L_coord_step,train/L_depth_anchor_epoch,train/L_depth_anchor_step,train/L_geo_pred_pred_art_epoch,train/L_geo_pred_pred_art_step,train/L_kld_epoch,train/L_kld_step,train/L_mask_epoch,train/L_mask_step,train/L_motion_recon_epoch,train/L_motion_recon_step,train/L_motion_type_epoch,train/L_motion_type_step,train/L_origin_epoch,train/L_origin_map_epoch,train/L_origin_map_step,train/L_origin_step,train/L_p_rev_balance_epoch,train/L_p_rev_balance_step,train/L_point_3d_epoch,train/L_point_3d_step,train/L_point_map_epoch,train/L_point_map_step,train/L_traj_proj_epoch,train/L_traj_proj_step,train/L_trajectory_epoch,train/L_trajectory_m2,train/L_trajectory_step,train/L_vae_total_epoch,train/L_vae_total_step,train/loss_total_epoch,train/loss_total_step,train/p_rev_mean,val/L_coord,val/L_depth_anchor,val/L_geo_pred_pred_art,val/L_kld,val/L_mask,val/L_motion_recon,val/L_motion_type,val/L_origin,val/L_origin_map,val/L_p_rev_balance,val/L_point_3d,val/L_point_map,val/L_traj_proj,val/L_trajectory,val/L_trajectory_m2,val/L_vae_total,val/loss_total
0,9,,0.29651692509651184,,0.030936403200030327,,0.2758454382419586,,0.0,,1.3413128852844238,,1.0,,0.4569600820541382,,,0.0,0.0,,0.014083435758948326,,195.82000732421875,,6.604550361633301,,1.9706220626831055,,,1.0213980674743652,,1.0,,5.156595706939697,,,,,,,,,,,,,,,,,,
0,19,,0.06800530105829239,,0.010143851861357689,,0.18843820691108704,,0.0,,1.0476278066635132,,1.0,,0.30205124616622925,,,0.0,0.0,,0.0003453151439316571,,203.5333251953125,,3.4872970581054688,,1.0824284553527832,,,1.073725938796997,,1.0,,2.866767644882202,,,,,,,,,,,,,,,,,,
0,29,,0.05655423551797867,,0.016964513808488846,,0.09412321448326111,,0.0,,0.7257354855537415,,1.0,,0.3104185163974762,,,0.0,0.0,,8.995064854389057e-05,,208.25942993164062,,2.2894108295440674,,0.8319132328033447,,,1.164364218711853,,1.0,,1.9697463512420654,,,,,,,,,,,,,,,,,,
0,39,,0.05990689992904663,,0.01632959209382534,,0.06160198897123337,,0.0,,0.6512750387191772,,1.0,,0.3485645055770874,,,0.0,0.0,,0.0007194932550191879,,202.40277099609375,,1.5971063375473022,,0.9578757286071777,,,1.0726425647735596,,1.0,,1.6477667093276978,,,,,,,,,,,,,,,,,,
0,40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.10734990239143372,0.011980503797531128,0.07370974123477936,0.0,1.1022591590881348,1.0,0.34588000178337097,0.0,0.0,0.0006784736178815365,203.9849090576172,1.6427733898162842,0.9728026390075684,1.079480767250061,2.3457536697387695,1.0,1.926292896270752
0,40,0.12996117770671844,,0.016746627166867256,,0.1960906982421875,,0.0,,2.1349246501922607,,1.0,,0.3934001922607422,,0.0,0.0,,,0.012554972432553768,,203.07176208496094,,6.037474632263184,,2.1926016807556152,,1.073304295539856,1.9354948997497559,,1.0,,5.281740188598633,,0.28186485171318054,,,,,,,,,,,,,,,,,
1,49,,0.056446053087711334,,0.011558879166841507,,0.04322982206940651,,0.0,,0.5146120190620422,,1.0,,0.33430802822113037,,,0.0,0.0,,0.0001971013261936605,,201.29148864746094,,1.3560373783111572,,0.7395241260528564,,,1.0667942762374878,,1.0,,1.3435107469558716,,,,,,,,,,,,,,,,,,
1,59,,0.041853249073028564,,0.012933166697621346,,0.038319770246744156,,0.0,,0.46414512395858765,,1.0,,0.3092125952243805,,,0.0,0.0,,0.00011077600356657058,,199.097412109375,,1.2149473428726196,,0.7276216745376587,,,1.127456545829773,,1.0,,1.2346376180648804,,,,,,,,,,,,,,,,,,
1,69,,0.049664661288261414,,0.00424311263486743,,0.03294847905635834,,0.0,,0.44823673367500305,,1.0,,0.33325624465942383,,,0.0,0.0,,0.00014868038124404848,,200.9193115234375,,1.0499259233474731,,0.6756097078323364,,,1.1429352760314941,,1.0,,1.1172093152999878,,,,,,,,,,,,,,,,,,
1,79,,0.0608878955245018,,0.0076875342056155205,,0.0348861962556839,,0.0,,0.4041076898574829,,1.0,,0.3216097950935364,,,0.0,0.0,,1.6240750255747116e-06,,201.82501220703125,,0.8342583179473877,,0.5607988834381104,,,1.16379714012146,,1.0,,0.937359631061554,,,,,,,,,,,,,,,,,,
1,81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02629549242556095,0.012151195667684078,0.029255708679556847,0.0,0.311758816242218,1.0,0.327740341424942,0.0,0.0,7.416988955810666e-05,204.56077575683594,0.5508324503898621,0.6648626923561096,1.1116135120391846,2.3524179458618164,1.0,0.7859129905700684
