epoch,step,train/L_coord_epoch,train/L_coord_step,train/L_geo_pp_dir_epoch,train/L_geo_pp_dir_step,train/L_geo_pred_pred_art_epoch,train/L_geo_pred_pred_art_step,train/L_kld_epoch,train/L_kld_step,train/L_mask_epoch,train/L_mask_step,train/L_motion_recon_epoch,train/L_motion_recon_step,train/L_motion_type_epoch,train/L_motion_type_step,train/L_origin_epoch,train/L_origin_map_epoch,train/L_origin_map_step,train/L_origin_step,train/L_point_3d_epoch,train/L_point_3d_step,train/L_point_map_epoch,train/L_point_map_step,train/L_trajectory_epoch,train/L_trajectory_m2,train/L_trajectory_step,train/L_vae_total_epoch,train/L_vae_total_step,train/loss_total_epoch,train/loss_total_step,train/p_rev_mean,val/L_coord,val/L_geo_pp_dir,val/L_geo_pred_pred_art,val/L_kld,val/L_mask,val/L_motion_recon,val/L_motion_type,val/L_origin,val/L_origin_map,val/L_point_3d,val/L_point_map,val/L_trajectory,val/L_trajectory_m2,val/L_vae_total,val/loss_total
0,9,,0.3502289056777954,,0.9360663294792175,,0.4109690189361572,,0.0,,0.658666729927063,,0.5859003663063049,,0.6274486184120178,,,5.56376314163208,1.0269495248794556,,0.28922247886657715,,5.354763984680176,,,0.9443516731262207,,0.5859003663063049,,7.83535099029541,,,,,,,,,,,,,,,,
0,19,,0.3087671399116516,,0.8965542316436768,,0.3317185044288635,,0.0,,0.6083536148071289,,0.4238303303718567,,0.6124469637870789,,,4.966598987579346,1.5962127447128296,,0.2679728865623474,,3.490225315093994,,,0.7846843600273132,,0.4238303303718567,,6.652373313903809,,,,,,,,,,,,,,,,
0,29,,0.3099350929260254,,0.7484573125839233,,0.24013681709766388,,0.0,,0.6292866468429565,,0.4366167187690735,,0.5897800326347351,,,5.446153163909912,0.967039942741394,,0.279009073972702,,3.675567626953125,,,0.759779691696167,,0.4366167187690735,,6.645443439483643,,,,,,,,,,,,,,,,
0,39,,0.28798040747642517,,0.6575793027877808,,0.2089366763830185,,0.0,,0.6254695653915405,,0.2874491810798645,,0.535540759563446,,,3.5295443534851074,0.6400150060653687,,0.20318089425563812,,3.359727382659912,,,0.6706299781799316,,0.2874491810798645,,5.156420707702637,,,,,,,,,,,,,,,,
0,49,,0.2533882260322571,,0.5648490786552429,,0.2372530698776245,,0.0,,0.6729423403739929,,0.16865602135658264,,0.4541820287704468,,,3.363804817199707,0.5196322202682495,,0.17793190479278564,,2.662087917327881,,,0.542739748954773,,0.16865602135658264,,4.4878926277160645,,,,,,,,,,,,,,,,
0,59,,0.23757460713386536,,0.515631377696991,,0.245748832821846,,0.0,,0.6401306986808777,,0.18784230947494507,,0.4782581031322479,,,2.430504322052002,0.6730014681816101,,0.11643373221158981,,2.7875332832336426,,,0.4802500903606415,,0.18784230947494507,,4.091902256011963,,,,,,,,,,,,,,,,
0,69,,0.2509205639362335,,0.5250710844993591,,0.21615144610404968,,0.0,,0.6030168533325195,,0.3160772919654846,,0.5227937698364258,,,2.782804489135742,0.6408765316009521,,0.2001628875732422,,2.524360179901123,,,0.6196450591087341,,0.3160772919654846,,4.3044514656066895,,,,,,,,,,,,,,,,
0,79,,0.20181338489055634,,0.42814531922340393,,0.18615520000457764,,0.0,,0.6224709749221802,,0.13960930705070496,,0.45448416471481323,,,2.0234527587890625,0.6011776924133301,,0.13403069972991943,,2.3187978267669678,,,0.475129097700119,,0.13960930705070496,,3.5469131469726562,,,,,,,,,,,,,,,,
0,84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2578505277633667,0.7191262245178223,0.3013249337673187,0.0,0.5996062755584717,0.6708633899688721,0.5017996430397034,0.7063853144645691,1.8077436685562134,0.15681952238082886,1.9597634077072144,0.7767462134361267,0.13192497193813324,0.6708633899688721,3.820834159851074
0,84,0.2774222791194916,,0.6698206067085266,,0.25953176617622375,,0.0,,1.2514734268188477,,0.34974077343940735,,0.5285156965255737,,0.7703539729118347,4.213075637817383,,,0.18732617795467377,,4.044366836547852,,0.6767195463180542,0.11410302668809891,,0.34974077343940735,,6.242432594299316,,0.33201757073402405,,,,,,,,,,,,,,,
