epoch,step,train/L_coord_epoch,train/L_coord_step,train/L_kld_epoch,train/L_kld_step,train/L_mask_epoch,train/L_mask_step,train/L_motion_recon_epoch,train/L_motion_recon_step,train/L_motion_type_epoch,train/L_motion_type_step,train/L_origin_epoch,train/L_origin_map_epoch,train/L_origin_map_step,train/L_origin_step,train/L_point_3d_epoch,train/L_point_3d_step,train/L_point_map_epoch,train/L_point_map_step,train/L_traj_proj_epoch,train/L_traj_proj_step,train/L_trajectory_epoch,train/L_trajectory_m2,train/L_trajectory_step,train/L_vae_total_epoch,train/L_vae_total_step,train/arctic/loss_total,train/epic/loss_total,train/hoi4d/loss_total,train/loss_total_epoch,train/loss_total_step,train/p_rev_mean,train/sf3d/loss_total,val/L_coord,val/L_kld,val/L_mask,val/L_motion_recon,val/L_motion_type,val/L_origin,val/L_origin_map,val/L_point_3d,val/L_point_map,val/L_traj_proj,val/L_trajectory,val/L_trajectory_m2,val/L_vae_total,val/arctic/loss_total,val/epic/loss_total,val/hoi4d/loss_total,val/loss_total,val/sf3d/loss_total
0,9,,0.3129676580429077,,0.0,,0.8699440360069275,,0.9687333106994629,,0.7800883650779724,,,5.836231708526611,1.2026067972183228,,0.28185808658599854,,4.249946594238281,,9.187213897705078,,,1.7759671211242676,,0.9687333106994629,,,,,7.251188278198242,,,,,,,,,,,,,,,,,,,,
0,19,,0.22572262585163116,,0.0,,7.026714324951172,,1.0,,0.6937475800514221,,,0.0,0.0,,0.20975828170776367,,4.895721912384033,,5.978100776672363,,,21.639419555664062,,1.0,,,,,9.410003662109375,,,,,,,,,,,,,,,,,,,,
0,29,,0.12380605190992355,,0.0,,1.4062824249267578,,1.0,,0.684459388256073,,,0.0,0.0,,201.61337280273438,,4.56040096282959,,4.754944324493408,,,1.1738499402999878,,1.0,,,,,5.764946460723877,,,,,,,,,,,,,,,,,,,,
0,39,,0.1264142543077469,,0.0,,1.1121498346328735,,1.0,,0.6689354777336121,,,0.0,0.0,,193.2607421875,,4.328337669372559,,5.271263122558594,,,1.0989785194396973,,1.0,,,,,5.753550052642822,,,,,,,,,,,,,,,,,,,,
0,49,,0.23545870184898376,,0.0,,0.5912429094314575,,1.048729658126831,,0.6758338809013367,,,3.1839518547058105,0.384632408618927,,0.2053060233592987,,3.8609983921051025,,4.087188720703125,,,1.4689692258834839,,1.048729658126831,,,,,5.093077182769775,,,,,,,,,,,,,,,,,,,,
0,59,,0.2577047646045685,,0.0,,0.7071150541305542,,0.8316221237182617,,0.6335256695747375,,,4.163185119628906,0.4384995698928833,,0.20977628231048584,,4.143623352050781,,2.077993392944336,,,1.2203938961029053,,0.8316221237182617,,,,,5.692525863647461,,,,,,,,,,,,,,,,,,,,
0,69,,0.2548089921474457,,0.0,,0.5941261053085327,,0.8380566239356995,,0.6161781549453735,,,5.033919334411621,0.4326436519622803,,0.1802515983581543,,3.954883098602295,,4.609606742858887,,,1.236271619796753,,0.8380566239356995,,,,,5.9524335861206055,,,,,,,,,,,,,,,,,,,,
0,79,,0.141982764005661,,0.0,,1.0487784147262573,,1.0,,0.6838365197181702,,,0.0,0.0,,198.6881103515625,,3.8644323348999023,,2.6289544105529785,,,1.1358399391174316,,1.0,,,,,4.183992385864258,,,,,,,,,,,,,,,,,,,,
0,89,,0.25325265526771545,,0.0,,0.5967087745666504,,0.8001798391342163,,0.5626477599143982,,,3.087083101272583,0.8523237705230713,,0.28705888986587524,,3.645864963531494,,1.6254501342773438,,,1.2465546131134033,,0.8001798391342163,,,,,5.042559623718262,,,,,,,,,,,,,,,,,,,,
0,99,,0.19876664876937866,,0.0,,1.4465068578720093,,1.229966640472412,,0.6073204874992371,,,3.962899684906006,0.3502969443798065,,0.2225661724805832,,4.879373550415039,,3.161252021789551,,,23.625545501708984,,1.229966640472412,,,,,5.146609783172607,,,,,,,,,,,,,,,,,,,,
0,109,,0.1970909684896469,,0.0,,1.4051508903503418,,1.2838115692138672,,0.5945309996604919,,,4.60294246673584,0.3213110566139221,,0.20392632484436035,,4.148774147033691,,2.5658395290374756,,,15.212910652160645,,1.2838115692138672,,,,,4.455693244934082,,,,,,,,,,,,,,,,,,,,
0,119,,0.2305462658405304,,0.0,,0.6210396885871887,,0.6977053880691528,,0.49006327986717224,,,3.124847173690796,0.9365151524543762,,0.16246476769447327,,3.2738847732543945,,2.0460550785064697,,,0.9652389287948608,,0.6977053880691528,,,,,4.768533229827881,,,,,,,,,,,,,,,,,,,,
0,129,,0.25634557008743286,,0.0,,0.582230806350708,,0.706344723701477,,0.4903765916824341,,,2.864816427230835,0.4166485369205475,,0.1985531747341156,,3.1196389198303223,,1.0016858577728271,,,0.8732856512069702,,0.706344723701477,,,,,4.317477226257324,,,,,,,,,,,,,,,,,,,,
0,139,,0.21271935105323792,,0.0,,1.3139748573303223,,1.229334831237793,,0.5279980897903442,,,4.223040580749512,0.4645628035068512,,0.20348680019378662,,3.7905433177948,,1.2123922109603882,,,6.054949760437012,,1.229334831237793,,,,,3.5288138389587402,,,,,,,,,,,,,,,,,,,,
0,149,,0.18902471661567688,,0.0,,1.277580976486206,,1.2665905952453613,,0.40976834297180176,,,4.144472599029541,0.38449934124946594,,0.21386364102363586,,3.3783445358276367,,0.9982370138168335,,,4.424479007720947,,1.2665905952453613,,,,,3.1264779567718506,,,,,,,,,,,,,,,,,,,,
0,159,,0.24779818952083588,,0.0,,0.5872079730033875,,0.512408971786499,,0.4835994839668274,,,2.4057884216308594,0.4843406677246094,,0.20312222838401794,,3.666796922683716,,0.7690639495849609,,,0.7978816628456116,,0.512408971786499,,,,,4.295531272888184,,,,,,,,,,,,,,,,,,,,
0,169,,0.20137161016464233,,0.0,,0.5876330733299255,,0.5502015352249146,,0.40745651721954346,,,2.002711296081543,0.42346975207328796,,0.1670452058315277,,2.8299450874328613,,0.808578372001648,,,0.8295116424560547,,0.5502015352249146,,,,,3.584916830062866,,,,,,,,,,,,,,,,,,,,
0,179,,0.23013238608837128,,0.0,,0.6207626461982727,,0.5719304084777832,,0.4047498106956482,,,3.247180700302124,0.23021212220191956,,0.15681499242782593,,3.0497288703918457,,0.8015388250350952,,,0.8830146193504333,,0.5719304084777832,,,,,4.25575590133667,,,,,,,,,,,,,,,,,,,,
0,189,,0.2050095945596695,,0.0,,0.6170248985290527,,0.5471498966217041,,0.3468330204486847,,,1.8450098037719727,0.675639271736145,,0.2683822810649872,,2.9897334575653076,,0.9441918134689331,,,0.8585016131401062,,0.5471498966217041,,,,,3.7473912239074707,,,,,,,,,,,,,,,,,,,,
0,199,,0.2667531371116638,,0.0,,0.590047299861908,,0.499504029750824,,0.38832056522369385,,,2.0790436267852783,0.8703234195709229,,0.20386898517608643,,2.709172010421753,,0.7339434027671814,,,0.8460708260536194,,0.499504029750824,,,,,3.803516387939453,,,,,,,,,,,,,,,,,,,,
0,209,,0.2090878188610077,,0.0,,1.5969030857086182,,1.3187363147735596,,0.357920378446579,,,3.829113006591797,0.46068835258483887,,0.22991059720516205,,2.848341941833496,,0.8901189565658569,,,2.3919057846069336,,1.3187363147735596,,,,,2.951185941696167,,,,,,,,,,,,,,,,,,,,
0,219,,0.2498876452445984,,0.0,,0.595113217830658,,0.616776704788208,,0.3717021048069,,,2.9926085472106934,0.642067551612854,,0.22537511587142944,,2.7779927253723145,,0.7007572650909424,,,0.882286787033081,,0.616776704788208,,,,,4.235761642456055,,,,,,,,,,,,,,,,,,,,
0,229,,0.2550802230834961,,0.0,,1.3720048666000366,,1.2372162342071533,,0.2915605306625366,,,3.6061103343963623,0.4668627679347992,,0.23643505573272705,,2.855452299118042,,0.8950029611587524,,,1.4484808444976807,,1.2372162342071533,,,,,2.834550380706787,,,,,,,,,,,,,,,,,,,,
0,239,,0.2274240255355835,,0.0,,0.5795453786849976,,0.38356807827949524,,0.3918288052082062,,,2.168738842010498,0.29611626267433167,,0.14737167954444885,,2.6036081314086914,,0.9061985015869141,,,0.8525918126106262,,0.38356807827949524,,,,,3.3991007804870605,,,,,,,,,,,,,,,,,,,,
0,249,,0.2236417531967163,,0.0,,1.0549297332763672,,1.3478370904922485,,0.3073551058769226,,,3.452150583267212,0.42352116107940674,,0.21465560793876648,,2.83420467376709,,0.9002320766448975,,,1.5349533557891846,,1.3478370904922485,,,,,2.6601815223693848,,,,,,,,,,,,,,,,,,,,
0,259,,0.24235230684280396,,0.0,,0.5863157510757446,,0.5544601678848267,,0.3483968675136566,,,2.373885154724121,0.8334600329399109,,0.20966291427612305,,2.4423606395721436,,0.9087598919868469,,,0.8899251222610474,,0.5544601678848267,,,,,3.7954468727111816,,,,,,,,,,,,,,,,,,,,
0,269,,0.20712321996688843,,0.0,,0.6003566384315491,,0.5800090432167053,,0.3203691840171814,,,1.8325207233428955,0.3379516899585724,,0.1557551473379135,,2.3692808151245117,,0.9408408403396606,,,0.8760031461715698,,0.5800090432167053,,,,,3.2016830444335938,,,,,,,,,,,,,,,,,,,,
0,279,,0.21160605549812317,,0.0,,0.5554336309432983,,0.5759599208831787,,0.3779248595237732,,,1.500363826751709,0.7772499918937683,,0.2032933086156845,,2.6608262062072754,,0.653611958026886,,,0.8759560585021973,,0.5759599208831787,,,,,3.4313290119171143,,,,,,,,,,,,,,,,,,,,
0,289,,0.2166289985179901,,0.0,,0.5624505877494812,,0.5824101567268372,,0.2587757706642151,,,1.5351933240890503,0.4622563123703003,,0.1505718231201172,,2.318345308303833,,0.7270908355712891,,,0.8982948660850525,,0.5824101567268372,,,,,3.04331636428833,,,,,,,,,,,,,,,,,,,,
0,299,,0.09579187631607056,,0.0,,0.8355599641799927,,1.0,,0.2551019787788391,,,0.0,0.0,,193.3343505859375,,2.421901226043701,,0.7084144353866577,,,0.9929486513137817,,1.0,,,,,2.1583845615386963,,,,,,,,,,,,,,,,,,,,
0,309,,0.18439748883247375,,0.0,,0.575922429561615,,0.541983962059021,,0.4732273817062378,,,1.879509449005127,0.4066678285598755,,0.13443335890769958,,2.260349988937378,,0.854587197303772,,,0.908179521560669,,0.541983962059021,,,,,3.228245973587036,,,,,,,,,,,,,,,,,,,,
0,319,,0.19295409321784973,,0.0,,0.5677993893623352,,0.4133527874946594,,0.3300930857658386,,,1.5990711450576782,0.4597502648830414,,0.12195366621017456,,2.2170372009277344,,0.657982587814331,,,0.8687607645988464,,0.4133527874946594,,,,,2.951005697250366,,,,,,,,,,,,,,,,,,,,
0,329,,0.21223142743110657,,0.0,,0.5847519636154175,,0.4546809792518616,,0.2812117040157318,,,1.2003424167633057,0.4057859480381012,,0.12495730817317963,,2.17378568649292,,0.6800828576087952,,,0.8614723682403564,,0.4546809792518616,,,,,2.7188735008239746,,,,,,,,,,,,,,,,,,,,
0,339,,0.18400536477565765,,0.0,,0.5493417382240295,,0.5678369402885437,,0.3629215657711029,,,1.6512540578842163,0.45045769214630127,,0.13751201331615448,,2.257575035095215,,0.8888505697250366,,,0.8997799754142761,,0.5678369402885437,,,,,3.0804522037506104,,,,,,,,,,,,,,,,,,,,
0,349,,0.2115817368030548,,0.0,,0.8750548362731934,,1.2601542472839355,,0.21972091495990753,,,2.7899322509765625,0.5390351414680481,,0.23530232906341553,,2.571225881576538,,0.8571673035621643,,,1.5637422800064087,,1.2601542472839355,,,,,2.367375373840332,,,,,,,,,,,,,,,,,,,,
0,359,,0.0813676044344902,,0.0,,0.6777865886688232,,1.0,,0.2750059962272644,,,0.0,0.0,,190.81253051757812,,2.061845064163208,,0.7069792151451111,,,0.9766302108764648,,1.0,,,,,1.9014922380447388,,,,,,,,,,,,,,,,,,,,
0,369,,0.19562038779258728,,0.0,,0.5406789779663086,,0.4527754485607147,,0.2954619526863098,,,0.8909381628036499,0.28651267290115356,,0.13269633054733276,,2.318185806274414,,0.8074222803115845,,,0.8416614532470703,,0.4527754485607147,,,,,2.5564348697662354,,,,,,,,,,,,,,,,,,,,
0,379,,0.09171603620052338,,0.0,,0.7366361021995544,,1.0,,0.25752905011177063,,,0.0,0.0,,195.2542724609375,,1.8839747905731201,,0.5925180912017822,,,0.9965695738792419,,1.0,,,,,1.7811870574951172,,,,,,,,,,,,,,,,,,,,
0,389,,0.07447391748428345,,0.0,,0.6243941783905029,,1.0,,0.2489837110042572,,,0.0,0.0,,189.3654022216797,,1.7058202028274536,,0.6437206268310547,,,1.011704683303833,,1.0,,,,,1.6486963033676147,,,,,,,,,,,,,,,,,,,,
0,399,,0.19787520170211792,,0.0,,0.5457111597061157,,0.3393367826938629,,0.32754799723625183,,,1.8308908939361572,0.25807303190231323,,0.16839182376861572,,2.384641170501709,,0.6137191653251648,,,0.8110525608062744,,0.3393367826938629,,,,,3.0262341499328613,,,,,,,,,,,,,,,,,,,,
0,409,,0.1894529014825821,,0.0,,0.5713416337966919,,0.49085938930511475,,0.38085633516311646,,,1.392412543296814,0.7084569334983826,,0.13106298446655273,,1.9282050132751465,,0.6720790266990662,,,0.8741433024406433,,0.49085938930511475,,,,,2.8963236808776855,,,,,,,,,,,,,,,,,,,,
0,419,,0.08449249714612961,,0.0,,0.6968746185302734,,1.0,,0.2196369469165802,,,0.0,0.0,,195.23330688476562,,1.5398693084716797,,0.6189398169517517,,,1.0024601221084595,,1.0,,,,,1.5799065828323364,,,,,,,,,,,,,,,,,,,,
0,429,,0.16647464036941528,,0.0,,0.8777325749397278,,1.2217482328414917,,0.20733726024627686,,,2.728930950164795,0.42284083366394043,,0.22598078846931458,,1.9010865688323975,,0.87599778175354,,,1.2943583726882935,,1.2217482328414917,,,,,2.0143141746520996,,,,,,,,,,,,,,,,,,,,
0,439,,0.17074546217918396,,0.0,,0.5572316646575928,,0.3991195559501648,,0.29390230774879456,,,0.9714410305023193,0.7829337120056152,,0.2270798683166504,,1.867788553237915,,0.6600323915481567,,,0.8466125726699829,,0.3991195559501648,,,,,2.6351213455200195,,,,,,,,,,,,,,,,,,,,
0,449,,0.17110911011695862,,0.0,,0.5438312888145447,,0.36109697818756104,,0.26475948095321655,,,0.8878863453865051,0.6550335884094238,,0.11337068676948547,,1.819145917892456,,0.6459344029426575,,,0.8421006202697754,,0.36109697818756104,,,,,2.4081168174743652,,,,,,,,,,,,,,,,,,,,
0,459,,0.07706260681152344,,0.0,,0.6539783477783203,,1.0,,0.22784139215946198,,,0.0,0.0,,190.6992645263672,,1.5156701803207397,,0.6262238621711731,,,1.0203502178192139,,1.0,,,,,1.550388216972351,,,,,,,,,,,,,,,,,,,,
0,469,,0.21104997396469116,,0.0,,1.1074498891830444,,1.338798999786377,,0.21163997054100037,,,3.1104960441589355,0.39143356680870056,,0.2226630449295044,,2.001896381378174,,0.7975633144378662,,,1.7134813070297241,,1.338798999786377,,,,,2.164799690246582,,,,,,,,,,,,,,,,,,,,
