epoch,step,train/L_coord_epoch,train/L_coord_step,train/L_kld_epoch,train/L_kld_step,train/L_mask_epoch,train/L_mask_step,train/L_motion_recon_epoch,train/L_motion_recon_step,train/L_motion_type_epoch,train/L_motion_type_step,train/L_origin_epoch,train/L_origin_map_epoch,train/L_origin_map_step,train/L_origin_step,train/L_point_3d_epoch,train/L_point_3d_step,train/L_point_map_epoch,train/L_point_map_step,train/L_traj_proj_epoch,train/L_traj_proj_step,train/L_trajectory_epoch,train/L_trajectory_m2,train/L_trajectory_step,train/L_vae_total_epoch,train/L_vae_total_step,train/arctic/loss_total,train/epic/loss_total,train/hoi4d/loss_total,train/loss_total_epoch,train/loss_total_step,train/p_rev_mean,val/L_coord,val/L_kld,val/L_mask,val/L_motion_recon,val/L_motion_type,val/L_origin,val/L_origin_map,val/L_point_3d,val/L_point_map,val/L_traj_proj,val/L_trajectory,val/L_trajectory_m2,val/L_vae_total,val/arctic/loss_total,val/epic/loss_total,val/hoi4d/loss_total,val/loss_total
0,9,,0.2741010785102844,,0.0,,1.577465295791626,,1.0,,0.6852447390556335,,,0.0,0.0,,207.27069091796875,,5.246854782104492,,6.944736480712891,,,1.142856478691101,,1.0,,,,,7.364201068878174,,,,,,,,,,,,,,,,,,
0,19,,0.22677019238471985,,0.0,,1.8632969856262207,,0.9431718587875366,,0.6137447357177734,,,6.530919075012207,0.37047043442726135,,0.06996746361255646,,4.408535480499268,,1.784153699874878,,,30.280324935913086,,0.9431718587875366,,,,,4.448250770568848,,,,,,,,,,,,,,,,,,
0,29,,0.14514270424842834,,0.0,,1.2982858419418335,,1.0,,0.6368924975395203,,,0.0,0.0,,193.54891967773438,,4.368137359619141,,2.8544533252716064,,,1.2581119537353516,,1.0,,,,,4.651455879211426,,,,,,,,,,,,,,,,,,
0,39,,0.10970835387706757,,0.0,,0.9941016435623169,,1.0,,0.6300106048583984,,,0.0,0.0,,197.4623260498047,,3.353261709213257,,1.6260854005813599,,,1.2145947217941284,,1.0,,,,,3.356583833694458,,,,,,,,,,,,,,,,,,
0,49,,0.11544854938983917,,0.0,,0.9532541632652283,,1.0,,0.6320844292640686,,,0.0,0.0,,195.2425994873047,,3.238725423812866,,1.7643877267837524,,,1.1699349880218506,,1.0,,,,,3.35194993019104,,,,,,,,,,,,,,,,,,
0,59,,0.1982382833957672,,0.0,,1.5423740148544312,,0.9088988304138184,,0.45404279232025146,,,7.099445819854736,0.46886569261550903,,0.08283890783786774,,3.2887816429138184,,0.9523904323577881,,,15.118688583374023,,0.9088988304138184,,,,,3.2179136276245117,,,,,,,,,,,,,,,,,,
0,69,,0.113760806620121,,0.0,,0.9987247586250305,,1.0,,0.6588436365127563,,,0.0,0.0,,197.7952880859375,,2.8779540061950684,,0.7612720727920532,,,1.0595879554748535,,1.0,,,,,2.705277442932129,,,,,,,,,,,,,,,,,,
0,79,,0.2366863638162613,,0.0,,1.3933942317962646,,0.8987890481948853,,0.4018993377685547,,,7.375477313995361,0.4736684262752533,,0.0953361839056015,,3.3329086303710938,,0.969464123249054,,,11.745866775512695,,0.8987890481948853,,,,,3.1671764850616455,,,,,,,,,,,,,,,,,,
0,89,,0.10114862024784088,,0.0,,0.9276195764541626,,1.0,,0.6249536275863647,,,0.0,0.0,,202.853515625,,3.105333089828491,,0.7364189624786377,,,1.052976131439209,,1.0,,,,,2.747736930847168,,,,,,,,,,,,,,,,,,
0,99,,0.0687481090426445,,0.0,,0.7464594841003418,,1.0,,0.5807867646217346,,,0.0,0.0,,194.6334228515625,,2.590282917022705,,0.6325582265853882,,,1.0526084899902344,,1.0,,,,,2.309417724609375,,,,,,,,,,,,,,,,,,
0,109,,0.1718340367078781,,0.0,,1.1287519931793213,,0.9828596115112305,,0.3495292663574219,,,6.685319423675537,0.45406973361968994,,0.07675988227128983,,2.915896415710449,,0.8065010905265808,,,5.700859069824219,,0.9828596115112305,,,,,2.686256170272827,,,,,,,,,,,,,,,,,,
0,119,,0.18255522847175598,,0.0,,1.2817676067352295,,0.933771550655365,,0.3353175222873688,,,7.799479007720947,0.5630688071250916,,0.08961599320173264,,2.8244340419769287,,0.8588435649871826,,,7.088819980621338,,0.933771550655365,,,,,2.7414588928222656,,,,,,,,,,,,,,,,,,
0,129,,0.07875517010688782,,0.0,,0.7844405174255371,,1.0,,0.4718068838119507,,,0.0,0.0,,196.07958984375,,2.222780227661133,,0.6483365297317505,,,0.9804102778434753,,1.0,,,,,2.1030595302581787,,,,,,,,,,,,,,,,,,
0,139,,0.06380441784858704,,0.0,,0.8668893575668335,,1.0,,0.5005167722702026,,,0.0,0.0,,203.64060974121094,,2.0428316593170166,,0.6776867508888245,,,1.0164867639541626,,1.0,,,,,2.075864315032959,,,,,,,,,,,,,,,,,,
0,149,,0.18831387162208557,,0.0,,1.1063110828399658,,0.9159661531448364,,0.29629790782928467,,,6.301243782043457,0.5370306968688965,,0.09200134873390198,,2.5455596446990967,,0.8964676260948181,,,5.416747093200684,,0.9159661531448364,,,,,2.516475200653076,,,,,,,,,,,,,,,,,,
0,159,,0.06552182883024216,,0.0,,0.7481293678283691,,1.0,,0.5174081921577454,,,0.0,0.0,,205.007568359375,,2.3585739135742188,,0.6352400779724121,,,1.0564831495285034,,1.0,,,,,2.1624364852905273,,,,,,,,,,,,,,,,,,
0,169,,0.18307042121887207,,0.0,,1.0290260314941406,,0.9006375670433044,,0.2893465757369995,,,6.116697788238525,0.4690200090408325,,0.09466000646352768,,2.6075339317321777,,0.9567880630493164,,,4.049717903137207,,0.9006375670433044,,,,,2.5328824520111084,,,,,,,,,,,,,,,,,,
0,179,,0.053070202469825745,,0.0,,0.8993531465530396,,1.0,,0.4836295247077942,,,0.0,0.0,,200.2812957763672,,2.3698461055755615,,0.7477984428405762,,,1.0074470043182373,,1.0,,,,,2.276848793029785,,,,,,,,,,,,,,,,,,
0,189,,0.05463200807571411,,0.0,,0.6655006408691406,,1.0,,0.43852072954177856,,,0.0,0.0,,201.023681640625,,1.9075615406036377,,0.637622594833374,,,1.0002832412719727,,1.0,,,,,1.8519186973571777,,,,,,,,,,,,,,,,,,
0,199,,0.06747077405452728,,0.0,,0.778542160987854,,1.0,,0.4573493003845215,,,0.0,0.0,,195.88096618652344,,1.9019511938095093,,0.6470556259155273,,,0.9972066879272461,,1.0,,,,,1.9261845350265503,,,,,,,,,,,,,,,,,,
0,209,,0.05362812429666519,,0.0,,0.6934877038002014,,1.0,,0.4788423478603363,,,0.0,0.0,,199.322021484375,,1.7902568578720093,,0.6515129804611206,,,1.0047581195831299,,1.0,,,,,1.8338639736175537,,,,,,,,,,,,,,,,,,
0,219,,0.12934595346450806,,0.0,,2.6461985111236572,,1.0,,0.471791535615921,,,0.0,0.0,,0.17678141593933105,,2.914444923400879,,0.8865874409675598,,,4.078839302062988,,1.0,,,,,3.524184226989746,,,,,,,,,,,,,,,,,,
0,229,,0.13336259126663208,,0.0,,0.8895311951637268,,1.0950733423233032,,0.25744470953941345,,,5.336266994476318,0.525810718536377,,0.06479890644550323,,2.380944013595581,,0.8703412413597107,,,2.9962921142578125,,1.0950733423233032,,,,,2.2658116817474365,,,,,,,,,,,,,,,,,,
0,239,,0.16570143401622772,,0.0,,2.7454915046691895,,1.0,,0.44089335203170776,,,0.0,0.0,,0.1795310229063034,,3.115769147872925,,0.9798658490180969,,,3.0096828937530518,,1.0,,,,,3.723860502243042,,,,,,,,,,,,,,,,,,
0,249,,0.15075784921646118,,0.0,,0.8569000959396362,,0.9892413020133972,,0.24746866524219513,,,5.295644760131836,0.5585669279098511,,0.07376839965581894,,2.6012799739837646,,0.8208035230636597,,,2.55731201171875,,0.9892413020133972,,,,,2.3386049270629883,,,,,,,,,,,,,,,,,,
0,259,,0.10380059480667114,,0.0,,0.9460830688476562,,0.9621376395225525,,0.23944514989852905,,,5.2382378578186035,0.5040281414985657,,0.06288792937994003,,2.1420962810516357,,0.8126479983329773,,,2.900298595428467,,0.9621376395225525,,,,,2.1220364570617676,,,,,,,,,,,,,,,,,,
0,269,,0.11726619303226471,,0.0,,2.7319164276123047,,1.0,,0.3854641020298004,,,0.0,0.0,,0.11903780698776245,,2.336282253265381,,0.8709307909011841,,,3.7332122325897217,,1.0,,,,,3.2209298610687256,,,,,,,,,,,,,,,,,,
