epoch,step,train/L_coord_epoch,train/L_coord_step,train/L_kld_epoch,train/L_kld_step,train/L_mask_epoch,train/L_mask_step,train/L_motion_recon_epoch,train/L_motion_recon_step,train/L_motion_type_epoch,train/L_motion_type_step,train/L_origin_epoch,train/L_origin_map_epoch,train/L_origin_map_step,train/L_origin_step,train/L_point_3d_epoch,train/L_point_3d_step,train/L_point_map_epoch,train/L_point_map_step,train/L_traj_analytic_epoch,train/L_traj_analytic_step,train/L_vae_total_epoch,train/L_vae_total_step,train/loss_total_epoch,train/loss_total_step,train/p_rev_mean,val/L_coord,val/L_kld,val/L_mask,val/L_motion_recon,val/L_motion_type,val/L_origin,val/L_origin_map,val/L_point_3d,val/L_point_map,val/L_traj_analytic,val/L_vae_total,val/loss_total
0,9,,0.38069337606430054,,0.0,,1.0512547492980957,,0.7253124713897705,,0.615513801574707,,,5.438818454742432,1.7657244205474854,,0.2611854076385498,,4.039682865142822,,1.7843804359436035,,0.7253124713897705,,8.031282424926758,,,,,,,,,,,,,
0,19,,0.36981862783432007,,0.0,,0.6403657793998718,,0.5797356367111206,,0.6301751732826233,,,4.773583889007568,1.4278581142425537,,0.2950902581214905,,5.104025840759277,,1.379671335220337,,0.5797356367111206,,7.600162506103516,,,,,,,,,,,,,
0,29,,0.3097086250782013,,0.0,,0.6614043712615967,,0.7291697263717651,,0.6175323724746704,,,5.247602939605713,0.5696203708648682,,0.23857033252716064,,4.047427177429199,,1.35713529586792,,0.7291697263717651,,6.88908576965332,,,,,,,,,,,,,
0,39,,0.2927444875240326,,0.0,,0.641324520111084,,0.5498906373977661,,0.6154010891914368,,,4.129667282104492,0.7828954458236694,,0.24628274142742157,,3.299379825592041,,1.0798242092132568,,0.5498906373977661,,5.8187055587768555,,,,,,,,,,,,,
0,49,,0.2509096562862396,,0.0,,0.6271895170211792,,0.45499712228775024,,0.5664649605751038,,,2.9982471466064453,0.9187076091766357,,0.24669520556926727,,3.191908597946167,,0.8400498628616333,,0.45499712228775024,,5.047584533691406,,,,,,,,,,,,,
0,59,,0.2527706027030945,,0.0,,0.6413381099700928,,0.4501495957374573,,0.5650724172592163,,,3.2304935455322266,1.2182483673095703,,0.20343677699565887,,3.2589802742004395,,1.0145502090454102,,0.4501495957374573,,5.417520046234131,,,,,,,,,,,,,
0,69,,0.27793604135513306,,0.0,,0.646844744682312,,0.40522265434265137,,0.5655723214149475,,,2.8657491207122803,0.6170905232429504,,0.19981935620307922,,3.1127548217773438,,0.9666398763656616,,0.40522265434265137,,4.82881498336792,,,,,,,,,,,,,
0,79,,0.26682546734809875,,0.0,,0.6388083696365356,,0.593191921710968,,0.5860170125961304,,,3.152710199356079,1.0297753810882568,,0.2064686119556427,,3.413181781768799,,1.080899715423584,,0.593191921710968,,5.483939170837402,,,,,,,,,,,,,
0,89,,0.23793929815292358,,0.0,,0.6362494230270386,,0.48919159173965454,,0.5501742959022522,,,2.0784897804260254,0.724598228931427,,0.21452224254608154,,2.9981231689453125,,1.1205276250839233,,0.48919159173965454,,4.524908065795898,,,,,,,,,,,,,
0,99,,0.2365235984325409,,0.0,,0.6294418573379517,,0.3510383367538452,,0.5278257131576538,,,2.255974292755127,0.5963044166564941,,0.18337279558181763,,2.85630464553833,,0.8370347023010254,,0.3510383367538452,,4.236910343170166,,,,,,,,,,,,,
0,109,,0.2439105212688446,,0.0,,0.5996526479721069,,0.38174164295196533,,0.517059326171875,,,3.309462308883667,0.1972263753414154,,0.18133440613746643,,3.026583433151245,,0.7847089767456055,,0.38174164295196533,,4.620840072631836,,,,,,,,,,,,,
0,119,,0.23410473763942719,,0.0,,0.5999518632888794,,0.468774676322937,,0.5099385976791382,,,2.9063146114349365,0.38744810223579407,,0.13571876287460327,,2.630056858062744,,0.9176111817359924,,0.468774676322937,,4.394959926605225,,,,,,,,,,,,,
0,129,,0.253383994102478,,0.0,,0.6132700443267822,,0.4249497950077057,,0.5807920098304749,,,2.1941843032836914,1.1168279647827148,,0.2516480088233948,,2.863753318786621,,1.0515434741973877,,0.4249497950077057,,4.67517614364624,,,,,,,,,,,,,
0,139,,0.22562658786773682,,0.0,,0.6051190495491028,,0.42122843861579895,,0.5474990606307983,,,1.8168081045150757,0.558361291885376,,0.14739347994327545,,2.8499555587768555,,0.5980270504951477,,0.42122843861579895,,3.885009527206421,,,,,,,,,,,,,
0,149,,0.2287614345550537,,0.0,,0.6141427755355835,,0.4031071066856384,,0.523734450340271,,,1.7557878494262695,0.42949753999710083,,0.153178870677948,,2.5462002754211426,,0.867348313331604,,0.4031071066856384,,3.7608792781829834,,,,,,,,,,,,,
0,159,,0.21792888641357422,,0.0,,0.5807204246520996,,0.35882899165153503,,0.5216548442840576,,,1.3368067741394043,0.5205258131027222,,0.14592400193214417,,2.49843168258667,,0.8721078038215637,,0.35882899165153503,,3.5264647006988525,,,,,,,,,,,,,
0,169,,0.2077360451221466,,0.0,,0.5916442275047302,,0.4552444815635681,,0.5209474563598633,,,1.617113709449768,0.46890830993652344,,0.14887124300003052,,2.447917938232422,,0.6687474846839905,,0.4552444815635681,,3.563565492630005,,,,,,,,,,,,,
0,179,,0.23176738619804382,,0.0,,0.575761079788208,,0.493950217962265,,0.5188020467758179,,,1.6428399085998535,0.36970728635787964,,0.18257968127727509,,2.3384504318237305,,0.8751596212387085,,0.493950217962265,,3.614508628845215,,,,,,,,,,,,,
0,189,,0.19702428579330444,,0.0,,0.5738455057144165,,0.3320085108280182,,0.5210046768188477,,,1.4503397941589355,0.5205469131469727,,0.15664252638816833,,2.2265615463256836,,0.6279354095458984,,0.3320085108280182,,3.30295467376709,,,,,,,,,,,,,
0,199,,0.21805331110954285,,0.0,,0.5573477149009705,,0.3436281681060791,,0.44775819778442383,,,1.4049906730651855,0.3343656063079834,,0.1318223774433136,,2.2027552127838135,,0.44492220878601074,,0.3436281681060791,,3.0428218841552734,,,,,,,,,,,,,
