epoch,step,train/L_coord_epoch,train/L_coord_step,train/L_kld_epoch,train/L_kld_step,train/L_mask_epoch,train/L_mask_step,train/L_motion_recon_epoch,train/L_motion_recon_step,train/L_motion_type_epoch,train/L_motion_type_step,train/L_origin_epoch,train/L_origin_map_epoch,train/L_origin_map_step,train/L_origin_step,train/L_point_3d_epoch,train/L_point_3d_step,train/L_point_map_epoch,train/L_point_map_step,train/L_vae_total_epoch,train/L_vae_total_step,train/loss_total_epoch,train/loss_total_step,train/p_rev_mean,val/L_coord,val/L_kld,val/L_mask,val/L_motion_recon,val/L_motion_type,val/L_origin,val/L_origin_map,val/L_point_3d,val/L_point_map,val/L_vae_total,val/loss_total
0,9,,0.38494861125946045,,0.0,,1.0738658905029297,,0.717490553855896,,0.6092828512191772,,,6.106539726257324,1.7687253952026367,,0.2607131600379944,,4.282666206359863,,0.717490553855896,,7.602116107940674,,,,,,,,,,,,
0,19,,0.3818820118904114,,0.0,,0.6474307179450989,,0.5399839878082275,,0.6102271676063538,,,4.238017559051514,1.281887412071228,,0.27001720666885376,,5.069276809692383,,0.5399839878082275,,6.51936149597168,,,,,,,,,,,,
0,29,,0.3022092878818512,,0.0,,0.6699891090393066,,0.7087660431861877,,0.5798019170761108,,,3.608609199523926,0.5976217985153198,,0.2174500674009323,,3.9729578495025635,,0.7087660431861877,,5.328702926635742,,,,,,,,,,,,
0,39,,0.2825944125652313,,0.0,,0.6438909769058228,,0.510209858417511,,0.584729015827179,,,3.625631093978882,0.6912045478820801,,0.21358969807624817,,3.2225723266601562,,0.510209858417511,,4.887210845947266,,,,,,,,,,,,
0,49,,0.25805044174194336,,0.0,,0.6303407549858093,,0.4381738305091858,,0.4962352514266968,,,2.89547061920166,0.7572206258773804,,0.1960110366344452,,3.406574249267578,,0.4381738305091858,,4.53903865814209,,,,,,,,,,,,
0,59,,0.2569301128387451,,0.0,,0.6466115117073059,,0.42795342206954956,,0.4939836263656616,,,3.8469390869140625,0.8450815081596375,,0.17519930005073547,,3.042132616043091,,0.42795342206954956,,4.867415428161621,,,,,,,,,,,,
0,69,,0.25463560223579407,,0.0,,0.6472705602645874,,0.3107161521911621,,0.5047022700309753,,,3.0851407051086426,0.7392174005508423,,0.17408612370491028,,2.8612775802612305,,0.3107161521911621,,4.288523197174072,,,,,,,,,,,,
0,79,,0.23015324771404266,,0.0,,0.6503098011016846,,0.5105654001235962,,0.536648154258728,,,2.5437982082366943,0.7574345469474792,,0.15732331573963165,,2.887342929840088,,0.5105654001235962,,4.1367878913879395,,,,,,,,,,,,
0,89,,0.22842082381248474,,0.0,,0.6353763937950134,,0.48116299510002136,,0.4736458659172058,,,1.7787537574768066,0.49321600794792175,,0.22540423274040222,,2.8794608116149902,,0.48116299510002136,,3.5977203845977783,,,,,,,,,,,,
0,99,,0.20739489793777466,,0.0,,0.6314897537231445,,0.2752636969089508,,0.4442029893398285,,,1.9097903966903687,0.4947173595428467,,0.12913775444030762,,2.4259471893310547,,0.2752636969089508,,3.258971929550171,,,,,,,,,,,,
0,109,,0.22375407814979553,,0.0,,0.5931187868118286,,0.3676028549671173,,0.4402100443840027,,,2.867025375366211,0.5135596394538879,,0.12843257188796997,,2.7457456588745117,,0.3676028549671173,,3.9397246837615967,,,,,,,,,,,,
0,119,,0.21081024408340454,,0.0,,0.602074146270752,,0.3958704471588135,,0.44097089767456055,,,1.4629759788513184,0.4302368760108948,,0.11483067274093628,,2.3760862350463867,,0.3958704471588135,,3.016927719116211,,,,,,,,,,,,
