epoch,step,train/L_coord_epoch,train/L_coord_step,train/L_geo_pred_pred_art_epoch,train/L_geo_pred_pred_art_step,train/L_kld_epoch,train/L_kld_step,train/L_mask_epoch,train/L_mask_step,train/L_motion_recon_epoch,train/L_motion_recon_step,train/L_motion_type_epoch,train/L_motion_type_step,train/L_origin_epoch,train/L_origin_map_epoch,train/L_origin_map_step,train/L_origin_step,train/L_point_3d_epoch,train/L_point_3d_step,train/L_point_map_epoch,train/L_point_map_step,train/L_traj_angle_epoch,train/L_traj_angle_step,train/L_traj_length_epoch,train/L_traj_length_step,train/L_traj_velocity_epoch,train/L_traj_velocity_step,train/L_trajectory_epoch,train/L_trajectory_m2,train/L_trajectory_step,train/L_vae_total_epoch,train/L_vae_total_step,train/loss_total_epoch,train/loss_total_step,train/p_rev_mean,val/L_coord,val/L_geo_pred_pred_art,val/L_kld,val/L_mask,val/L_motion_recon,val/L_motion_type,val/L_origin,val/L_origin_map,val/L_point_3d,val/L_point_map,val/L_traj_angle,val/L_traj_length,val/L_traj_velocity,val/L_trajectory,val/L_trajectory_m2,val/L_vae_total,val/loss_total
0,9,,0.33858680725097656,,0.5108746290206909,,0.0,,0.8510050773620605,,0.8006744980812073,,0.6401836276054382,,,5.900885105133057,1.333470106124878,,0.2738042175769806,,4.698098182678223,,1.0149071216583252,,0.2583049535751343,,0.29861006140708923,,,1.3709845542907715,,0.8006744980812073,,9.0390625,,,,,,,,,,,,,,,,,,
0,19,,0.357255220413208,,0.5356374979019165,,0.0,,0.6175464987754822,,0.6495151519775391,,0.6286867260932922,,,5.452632427215576,0.6386589407920837,,0.2801796793937683,,4.760016441345215,,0.9824843406677246,,0.18061231076717377,,0.2206098437309265,,,1.1747939586639404,,0.6495151519775391,,8.08180046081543,,,,,,,,,,,,,,,,,,
0,29,,0.29158514738082886,,0.5171946883201599,,0.0,,0.6416246294975281,,0.439176470041275,,0.5807527303695679,,,2.8758716583251953,1.079058051109314,,0.1993187665939331,,3.818824052810669,,0.9664523601531982,,0.1425289809703827,,0.18253344297409058,,,1.1120924949645996,,0.439176470041275,,6.256176471710205,,,,,,,,,,,,,,,,,,
0,39,,0.2706963121891022,,0.46879827976226807,,0.0,,0.6581885814666748,,0.5307043790817261,,0.5661369562149048,,,3.324306011199951,1.073678731918335,,0.2445647418498993,,3.2688536643981934,,0.9705317616462708,,0.12337902933359146,,0.16262787580490112,,,1.13143789768219,,0.5307043790817261,,6.243866920471191,,,,,,,,,,,,,,,,,,
0,49,,0.26982590556144714,,0.457649827003479,,0.0,,0.630738377571106,,0.4518807828426361,,0.5460712313652039,,,2.820328712463379,0.7944376468658447,,0.19711224734783173,,3.0563032627105713,,0.9693362712860107,,0.11375584453344345,,0.15452969074249268,,,0.9877721667289734,,0.4518807828426361,,5.573310852050781,,,,,,,,,,,,,,,,,,
0,59,,0.247801274061203,,0.41242653131484985,,0.0,,0.6432779431343079,,0.4444509744644165,,0.53105229139328,,,2.5194551944732666,0.5904250144958496,,0.14774911105632782,,3.2616758346557617,,0.9519601464271545,,0.10087427496910095,,0.1386260688304901,,,0.9837225079536438,,0.4444509744644165,,5.34984827041626,,,,,,,,,,,,,,,,,,
0,69,,0.2332150787115097,,0.40813660621643066,,0.0,,0.6312437057495117,,0.3113948702812195,,0.49000757932662964,,,2.3704216480255127,0.6923168897628784,,0.144821897149086,,3.1998181343078613,,0.9244685769081116,,0.09797347337007523,,0.13482044637203217,,,0.9063242077827454,,0.3113948702812195,,5.135823726654053,,,,,,,,,,,,,,,,,,
0,79,,0.2763178050518036,,0.4306037127971649,,0.0,,0.6619782447814941,,0.4319829046726227,,0.43621015548706055,,,2.2223899364471436,0.5178755521774292,,0.18853652477264404,,3.0166945457458496,,0.9259118437767029,,0.09195274859666824,,0.1296038180589676,,,0.9205371141433716,,0.4319829046726227,,4.974797248840332,,,,,,,,,,,,,,,,,,
0,89,,0.265583872795105,,0.35624080896377563,,0.0,,0.6164181232452393,,0.3267917037010193,,0.4731493592262268,,,1.8960012197494507,0.2188853919506073,,0.2033548355102539,,2.5355067253112793,,0.9153746366500854,,0.08837638795375824,,0.12524378299713135,,,0.8664185404777527,,0.3267917037010193,,4.328174114227295,,,,,,,,,,,,,,,,,,
0,99,,0.21651160717010498,,0.3805158734321594,,0.0,,0.6380855441093445,,0.3119315505027771,,0.4401940107345581,,,2.144874095916748,0.5029646754264832,,0.1900978982448578,,2.937159538269043,,0.9065359234809875,,0.08817906677722931,,0.1259976476430893,,,0.8494745492935181,,0.3119315505027771,,4.739001750946045,,,,,,,,,,,,,,,,,,
