lr-AdamW,step,train_loss_ce,train_loss_mask,train_loss_dice,train_loss_origin,train_loss_axis,train_loss_ce_0,train_loss_mask_0,train_loss_dice_0,train_loss_origin_0,train_loss_axis_0,train_loss_ce_1,train_loss_mask_1,train_loss_dice_1,train_loss_origin_1,train_loss_axis_1,train_loss_ce_2,train_loss_mask_2,train_loss_dice_2,train_loss_origin_2,train_loss_axis_2,train_loss_ce_3,train_loss_mask_3,train_loss_dice_3,train_loss_origin_3,train_loss_axis_3,train_loss_ce_4,train_loss_mask_4,train_loss_dice_4,train_loss_origin_4,train_loss_axis_4,train_loss_ce_5,train_loss_mask_5,train_loss_dice_5,train_loss_origin_5,train_loss_axis_5,train_loss_ce_6,train_loss_mask_6,train_loss_dice_6,train_loss_origin_6,train_loss_axis_6,train_loss_ce_7,train_loss_mask_7,train_loss_dice_7,train_loss_origin_7,train_loss_axis_7,train_loss_ce_8,train_loss_mask_8,train_loss_dice_8,train_loss_origin_8,train_loss_axis_8,train_loss_ce_9,train_loss_mask_9,train_loss_dice_9,train_loss_origin_9,train_loss_axis_9,train_loss_ce_10,train_loss_mask_10,train_loss_dice_10,train_loss_origin_10,train_loss_axis_10,mean_loss_ce,mean_loss_mask,mean_loss_dice,epoch,train_loss_mean,M_ap50,MA_ap50,MO_ap50,MAO_ap50,MAO_ST_ap50,MI_ap50,MIVec_ap50,MIOut_ap50,MIGT_ap50,MIOutGT_ap50,val_mean_box_ap_25,val_mean_box_ap_50,val_translation_val_box_ap_50,val_rotation_val_box_ap_50,val_translation_val_box_ap_25,val_rotation_val_box_ap_25,val_rotation_val_ap,val_rotation_val_ap_50,val_rotation_val_ap_25,val_translation_val_ap,val_translation_val_ap_50,val_translation_val_ap_25,val_mean_ap,val_mean_ap_50,val_mean_ap_25,val_loss_ce,val_loss_mask,val_loss_dice,val_loss_origin,val_loss_axis,val_loss_ce_0,val_loss_mask_0,val_loss_dice_0,val_loss_origin_0,val_loss_axis_0,val_loss_ce_1,val_loss_mask_1,val_loss_dice_1,val_loss_origin_1,val_loss_axis_1,val_loss_ce_2,val_loss_mask_2,val_loss_dice_2,val_loss_origin_2,val_loss_axis_2,val_loss_ce_3,val_loss_mask_3,val_loss_dice_3,val_loss_origin_3,val_loss_axis_3,val_loss_ce_4,val_loss_mask_4,val_loss_dice_4,val_loss_origin_4,val_loss_axis_4,val_loss_ce_5,val_loss_mask_5,val_loss_dice_5,val_loss_origin_5,val_loss_axis_5,val_loss_ce_6,val_loss_mask_6,val_loss_dice_6,val_loss_origin_6,val_loss_axis_6,val_loss_ce_7,val_loss_mask_7,val_loss_dice_7,val_loss_origin_7,val_loss_axis_7,val_loss_ce_8,val_loss_mask_8,val_loss_dice_8,val_loss_origin_8,val_loss_axis_8,val_loss_ce_9,val_loss_mask_9,val_loss_dice_9,val_loss_origin_9,val_loss_axis_9,val_loss_ce_10,val_loss_mask_10,val_loss_dice_10,val_loss_origin_10,val_loss_axis_10
8.831144344981e-07,49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,49,0.17598073184490204,0.03635026514530182,0.6521181464195251,0.1615390032529831,0.1114676222205162,3.0143630504608154,0.11937709152698517,1.8665964603424072,0.7878046631813049,0.6982769966125488,3.0640690326690674,0.17064033448696136,1.8601369857788086,0.8519277572631836,0.6656696200370789,1.4704091548919678,0.10004498809576035,1.7910908460617065,1.1952966451644897,0.8110138177871704,1.4009873867034912,0.16877993941307068,1.6596018075942993,1.2293285131454468,0.5824674963951111,0.9338240623474121,0.14733156561851501,1.37657630443573,0.8285583853721619,0.31450557708740234,0.6001151204109192,0.10672972351312637,1.1291345357894897,0.714029848575592,0.23063893616199493,0.48163700103759766,0.06911547482013702,0.9756250381469727,0.29490432143211365,0.1881403774023056,0.3145042061805725,0.05526036396622658,0.9240342378616333,0.32012423872947693,0.2831525504589081,0.6652424335479736,0.0400206595659256,0.6848520636558533,0.18262505531311035,0.135623499751091,0.41109099984169006,0.0523439422249794,0.7197180390357971,0.24309425055980682,0.08321670442819595,0.4537382423877716,0.04647167772054672,0.7565480470657349,0.20223413407802582,0.1625789850950241,1.0821634531021118,0.09270550310611725,1.199669361114502,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.13776842048475e-06,99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,99,0.19882294535636902,0.036252304911613464,1.0395534038543701,0.19986341893672943,0.07308858633041382,1.0857579708099365,0.09094400703907013,1.9859017133712769,6.297178268432617,0.0028396248817443848,0.9768568873405457,0.10808982700109482,1.9881584644317627,6.256778717041016,0.01313769817352295,0.8817206621170044,0.10595924407243729,1.992614507675171,6.088323593139648,0.0703268051147461,0.2505839765071869,0.07533782720565796,1.993341326713562,6.231204986572266,0.04456675052642822,0.26234397292137146,0.13986684381961823,1.9987237453460693,6.126791954040527,0.07469463348388672,0.15888084471225739,0.2316352128982544,1.9990242719650269,6.066539764404297,0.07511091232299805,0.11576474457979202,0.3998883068561554,1.9991443157196045,6.059503555297852,0.07664167881011963,0.11482144147157669,0.43575793504714966,1.9993120431900024,5.937491416931152,0.08695149421691895,0.33298394083976746,0.024449659511446953,0.877208948135376,0.21364039182662964,0.056913137435913086,0.32771217823028564,0.02927130088210106,0.8739153146743774,0.19409333169460297,0.07559973001480103,0.23750662803649902,0.034123703837394714,1.0001540184020996,0.19014021754264832,0.07169651985168457,0.41197967529296875,0.14263135194778442,1.645587682723999,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.5594056207178167e-06,149,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,149,0.10315051674842834,0.03246990591287613,0.19287952780723572,0.36424559354782104,0.12356490641832352,1.8334627151489258,0.44200795888900757,1.6823570728302002,3.571641445159912,0.12944528460502625,0.35436198115348816,0.23195289075374603,0.9093134999275208,1.9076459407806396,0.12581929564476013,0.4667643904685974,0.07549190521240234,0.3295291066169739,0.4035506844520569,0.1376870572566986,0.1877666860818863,0.043480388820171356,0.19896343350410461,0.31646275520324707,0.12867355346679688,0.08218497037887573,0.042243294417858124,0.1915050894021988,0.3289879858493805,0.12345540523529053,0.09454695135354996,0.047747984528541565,0.208827406167984,0.33529558777809143,0.1338035762310028,0.08596643060445786,0.04643994942307472,0.1947142481803894,0.31914782524108887,0.1278989315032959,0.10983842611312866,0.037024594843387604,0.18824617564678192,0.3131314516067505,0.1278800070285797,0.11870982497930527,0.039885375648736954,0.18122854828834534,0.36737823486328125,0.12380680441856384,0.13882876932621002,0.03926388546824455,0.20914874970912933,0.3597765266895294,0.12695834040641785,0.11232762783765793,0.03745371103286743,0.1803075522184372,0.35352978110313416,0.12634548544883728,0.3073257803916931,0.09295515716075897,0.38891837000846863,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,194,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,24.092487335205078,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.1404245911677123e-06,199,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,199,0.01630726084113121,0.019111622124910355,0.10684209316968918,0.06750485301017761,0.00103254325222224,1.5924700498580933,0.3011792004108429,1.4600359201431274,4.936973571777344,0.2499719113111496,1.8878134489059448,0.25103116035461426,1.6912841796875,6.387392997741699,0.0031558871269226074,2.406172037124634,1.4699509143829346,1.947092890739441,6.071039199829102,0.0728011354804039,1.0988045930862427,0.17581957578659058,1.6891586780548096,8.475157737731934,0.009103501215577126,0.965758740901947,0.10296270251274109,0.7213938236236572,2.076463460922241,0.0019571424927562475,0.6011056303977966,0.07334805279970169,0.5623781085014343,0.4675412178039551,0.0010627865558490157,0.23749946057796478,0.09234514087438583,0.5830646753311157,1.2176345586776733,0.0006287693977355957,0.14613838493824005,0.018591102212667465,0.14261730015277863,0.0532987080514431,0.0007717728731222451,0.02530527114868164,0.01863424852490425,0.11185667663812637,0.06928642094135284,0.0004196644003968686,0.015034609474241734,0.02025768905878067,0.10772555321455002,0.06619083136320114,0.0011802315711975098,0.01612851396203041,0.021321818232536316,0.10626933723688126,0.07253356277942657,0.00045042039710097015,0.7507115006446838,0.21371276676654816,0.769143283367157,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.87035048952554e-06,249,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
