lr-AdamW,step,train_loss_ce,train_loss_mask,train_loss_dice,train_loss_origin,train_loss_axis,train_loss_ce_0,train_loss_mask_0,train_loss_dice_0,train_loss_origin_0,train_loss_axis_0,train_loss_ce_1,train_loss_mask_1,train_loss_dice_1,train_loss_origin_1,train_loss_axis_1,train_loss_ce_2,train_loss_mask_2,train_loss_dice_2,train_loss_origin_2,train_loss_axis_2,train_loss_ce_3,train_loss_mask_3,train_loss_dice_3,train_loss_origin_3,train_loss_axis_3,train_loss_ce_4,train_loss_mask_4,train_loss_dice_4,train_loss_origin_4,train_loss_axis_4,train_loss_ce_5,train_loss_mask_5,train_loss_dice_5,train_loss_origin_5,train_loss_axis_5,train_loss_ce_6,train_loss_mask_6,train_loss_dice_6,train_loss_origin_6,train_loss_axis_6,train_loss_ce_7,train_loss_mask_7,train_loss_dice_7,train_loss_origin_7,train_loss_axis_7,train_loss_ce_8,train_loss_mask_8,train_loss_dice_8,train_loss_origin_8,train_loss_axis_8,train_loss_ce_9,train_loss_mask_9,train_loss_dice_9,train_loss_origin_9,train_loss_axis_9,train_loss_ce_10,train_loss_mask_10,train_loss_dice_10,train_loss_origin_10,train_loss_axis_10,mean_loss_ce,mean_loss_mask,mean_loss_dice,epoch,train_loss_mean,M_ap50,MA_ap50,MO_ap50,MAO_ap50,MAO_ST_ap50,MI_ap50,MIVec_ap50,MIOut_ap50,MIGT_ap50,MIOutGT_ap50,val_mean_box_ap_25,val_mean_box_ap_50,val_translation_val_box_ap_50,val_rotation_val_box_ap_50,val_translation_val_box_ap_25,val_rotation_val_box_ap_25,val_rotation_val_ap,val_rotation_val_ap_50,val_rotation_val_ap_25,val_translation_val_ap,val_translation_val_ap_50,val_translation_val_ap_25,val_mean_ap,val_mean_ap_50,val_mean_ap_25,val_loss_ce,val_loss_mask,val_loss_dice,val_loss_origin,val_loss_axis,val_loss_ce_0,val_loss_mask_0,val_loss_dice_0,val_loss_origin_0,val_loss_axis_0,val_loss_ce_1,val_loss_mask_1,val_loss_dice_1,val_loss_origin_1,val_loss_axis_1,val_loss_ce_2,val_loss_mask_2,val_loss_dice_2,val_loss_origin_2,val_loss_axis_2,val_loss_ce_3,val_loss_mask_3,val_loss_dice_3,val_loss_origin_3,val_loss_axis_3,val_loss_ce_4,val_loss_mask_4,val_loss_dice_4,val_loss_origin_4,val_loss_axis_4,val_loss_ce_5,val_loss_mask_5,val_loss_dice_5,val_loss_origin_5,val_loss_axis_5,val_loss_ce_6,val_loss_mask_6,val_loss_dice_6,val_loss_origin_6,val_loss_axis_6,val_loss_ce_7,val_loss_mask_7,val_loss_dice_7,val_loss_origin_7,val_loss_axis_7,val_loss_ce_8,val_loss_mask_8,val_loss_dice_8,val_loss_origin_8,val_loss_axis_8,val_loss_ce_9,val_loss_mask_9,val_loss_dice_9,val_loss_origin_9,val_loss_axis_9,val_loss_ce_10,val_loss_mask_10,val_loss_dice_10,val_loss_origin_10,val_loss_axis_10
8.831144344981e-07,49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,49,0.20065951347351074,0.03670920431613922,0.6974172592163086,0.22525277733802795,0.07741717249155045,3.0140581130981445,0.12015102803707123,1.8665860891342163,0.8526034355163574,0.6983530521392822,3.031320333480835,0.1710035800933838,1.8603416681289673,0.928621768951416,0.6654752492904663,1.4695216417312622,0.0931076630949974,1.7383804321289062,1.3283365964889526,0.6284767985343933,0.6945004463195801,0.0834592878818512,1.3620437383651733,0.9103202223777771,0.46452900767326355,0.4133063852787018,0.07199084758758545,1.1141316890716553,0.7685084342956543,0.37910014390945435,0.298931747674942,0.0876886397600174,1.0698810815811157,0.63343745470047,0.3658999502658844,0.512843132019043,0.08786230534315109,1.0305970907211304,0.36180350184440613,0.31130170822143555,0.18201978504657745,0.05676843598484993,0.9242342114448547,0.2911767065525055,0.11525841057300568,0.401793897151947,0.059361621737480164,0.7357741594314575,0.2279457151889801,0.17611980438232422,0.30048003792762756,0.06717987358570099,0.8090469241142273,0.23407934606075287,0.2178468257188797,0.19013193249702454,0.05739565193653107,0.8086668848991394,0.2273518592119217,0.1613449901342392,0.8924639225006104,0.08272317796945572,1.1680917739868164,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.13776842048475e-06,99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,99,0.17533926665782928,0.03995037078857422,1.060287356376648,0.21187929809093475,0.06241166591644287,1.0859326124191284,0.09341002255678177,1.9862480163574219,6.29118537902832,0.0029906034469604492,0.38656696677207947,0.04095131531357765,1.476333498954773,0.6865819692611694,0.107940673828125,0.380670428276062,0.04931224137544632,1.151836633682251,0.2166866958141327,0.06974178552627563,0.40641865134239197,0.038366515189409256,1.0684595108032227,0.22133348882198334,0.05317127704620361,0.27651843428611755,0.02433898113667965,0.8823525905609131,0.21307913959026337,0.05474972724914551,0.2782866954803467,0.03421174734830856,0.9505339860916138,0.19826167821884155,0.06898307800292969,0.2721084952354431,0.04202060401439667,1.040282964706421,0.2130170315504074,0.04933100938796997,0.23392896354198456,0.03259813413023949,0.9443546533584595,0.22609345614910126,0.04398000240325928,0.1788450926542282,0.023294858634471893,0.8697537183761597,0.2164333164691925,0.05419522523880005,0.16088585555553436,0.03652125597000122,0.9708346128463745,0.20539015531539917,0.06081509590148926,0.2130708247423172,0.043845146894454956,1.0375301837921143,0.21485131978988647,0.049673259258270264,0.3373810350894928,0.04156843200325966,1.1199007034301758,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.5594056207178167e-06,149,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,149,0.15229293704032898,0.035414036363363266,0.19843578338623047,0.3718305230140686,0.12469544261693954,1.8336304426193237,0.4445815086364746,1.6811001300811768,3.92253041267395,0.13001278042793274,0.4049398601055145,0.20485839247703552,0.9241315126419067,1.6165709495544434,0.127324640750885,0.37441474199295044,0.06356379389762878,0.40996408462524414,0.5595571994781494,0.134700208902359,0.3736335039138794,0.03827264904975891,0.24133430421352386,0.3954062759876251,0.12716342508792877,0.14779633283615112,0.03875244781374931,0.1817256212234497,0.39123713970184326,0.1296401023864746,0.14954237639904022,0.03991842642426491,0.18642087280750275,0.3902324140071869,0.12896375358104706,0.1342453509569168,0.03818415850400925,0.1767033338546753,0.38668620586395264,0.13001243770122528,0.12736867368221283,0.03126833960413933,0.17610415816307068,0.37455782294273376,0.1271727979183197,0.12222915887832642,0.03643214702606201,0.17442886531352997,0.38268566131591797,0.12461671233177185,0.1489286571741104,0.03844113647937775,0.18320801854133606,0.3714853525161743,0.1275167465209961,0.13122321665287018,0.046782225370407104,0.205414816737175,0.35767102241516113,0.12770792841911316,0.3416871130466461,0.0880391076207161,0.39491429924964905,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,194,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,25.2241153717041,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.1404245911677123e-06,199,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,199,0.014632298611104488,0.019445233047008514,0.10779648274183273,0.0734546110033989,0.001143682049587369,1.5926127433776855,0.30550557374954224,1.4579683542251587,5.333311080932617,0.2552917003631592,0.36001935601234436,0.16262082755565643,0.5345584750175476,0.6037717461585999,0.001027822494506836,0.25068527460098267,0.028507262468338013,0.19012801349163055,0.16587750613689423,0.0019766807090491056,0.21313321590423584,0.034305647015571594,0.21884024143218994,0.09994983673095703,0.001034641289152205,0.08129999041557312,0.01892322301864624,0.11616690456867218,0.07155656814575195,0.0006656527402810752,0.06101663410663605,0.019595734775066376,0.11421990394592285,0.07171451300382614,0.0017100215191021562,0.033992212265729904,0.02099006250500679,0.11388462036848068,0.06371863186359406,0.0006812572828494012,0.01647956855595112,0.018421005457639694,0.10690929740667343,0.07627175003290176,0.0007728696218691766,0.013907062821090221,0.01861587166786194,0.1137244701385498,0.07428478449583054,0.0010481238132342696,0.011577721685171127,0.020310115069150925,0.11963503807783127,0.06717293709516525,0.0013834595447406173,0.014442864805459976,0.020720675587654114,0.10957846790552139,0.0708136111497879,0.0004366874636616558,0.22198323905467987,0.05733010172843933,0.27528420090675354,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.87035048952554e-06,249,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
