epoch,step,train/L_cf_frame_axis,train/L_cf_frame_epoch,train/L_cf_frame_phase,train/L_cf_frame_radius,train/L_cf_frame_step,train/L_coord_epoch,train/L_coord_step,train/L_kld_epoch,train/L_kld_step,train/L_mask_epoch,train/L_mask_step,train/L_motion_recon_epoch,train/L_motion_recon_step,train/L_motion_type_epoch,train/L_motion_type_step,train/L_origin_epoch,train/L_origin_map_epoch,train/L_origin_map_step,train/L_origin_step,train/L_point_3d_epoch,train/L_point_3d_step,train/L_point_map_epoch,train/L_point_map_step,train/L_vae_total_epoch,train/L_vae_total_step,train/loss_total_epoch,train/loss_total_step,train/p_rev_mean,val/L_cf_frame,val/L_cf_frame_axis,val/L_cf_frame_phase,val/L_cf_frame_radius,val/L_coord,val/L_kld,val/L_mask,val/L_motion_recon,val/L_motion_type,val/L_origin,val/L_origin_map,val/L_point_3d,val/L_point_map,val/L_vae_total,val/loss_total
0,9,,,,,2.1836800575256348,,0.38942545652389526,,0.0,,1.0679919719696045,,0.6939646601676941,,0.6198409795761108,,,6.0977983474731445,1.7725188732147217,,0.26713496446609497,,4.276718616485596,,0.6939646601676941,,9.429394721984863,,,,,,,,,,,,,,,,
0,19,,,,,1.6851191520690918,,0.38024818897247314,,0.0,,0.6442672610282898,,0.5096003413200378,,0.6367599368095398,,,4.35609769821167,1.1937757730484009,,0.28559398651123047,,5.159985542297363,,0.5096003413200378,,8.013483047485352,,,,,,,,,,,,,,,,
0,29,,,,,2.153733730316162,,0.31243789196014404,,0.0,,0.672211229801178,,0.68385910987854,,0.6332691311836243,,,4.108490943908691,0.7006393074989319,,0.21486109495162964,,3.8900561332702637,,0.68385910987854,,7.4197163581848145,,,,,,,,,,,,,,,,
0,39,,,,,1.832664132118225,,0.30153268575668335,,0.0,,0.6402105093002319,,0.5049026608467102,,0.6276755928993225,,,4.27273416519165,0.812155544757843,,0.2455020397901535,,3.2728261947631836,,0.5049026608467102,,6.91898250579834,,,,,,,,,,,,,,,,
0,49,,,,,1.3300472497940063,,0.27530282735824585,,0.0,,0.6297870874404907,,0.4169829785823822,,0.5947973132133484,,,3.0192832946777344,0.6622820496559143,,0.24161581695079803,,3.389021873474121,,0.4169829785823822,,5.7360920906066895,,,,,,,,,,,,,,,,
0,59,,,,,1.2966465950012207,,0.26943767070770264,,0.0,,0.6462739706039429,,0.3937058448791504,,0.5927795171737671,,,3.4285435676574707,0.9641625881195068,,0.21019381284713745,,3.0377962589263916,,0.3937058448791504,,5.871240139007568,,,,,,,,,,,,,,,,
0,69,,,,,1.1124036312103271,,0.25477278232574463,,0.0,,0.6388896107673645,,0.3077356219291687,,0.5889249444007874,,,3.2936513423919678,0.6338524222373962,,0.20006009936332703,,2.667518138885498,,0.3077356219291687,,5.251237869262695,,,,,,,,,,,,,,,,
0,79,,,,,1.7200946807861328,,0.2280394583940506,,0.0,,0.6507012844085693,,0.5008838772773743,,0.6072791814804077,,,2.5311062335968018,0.7028895020484924,,0.20613929629325867,,2.942239761352539,,0.5008838772773743,,5.654292106628418,,,,,,,,,,,,,,,,
0,89,,,,,1.5811452865600586,,0.2382478266954422,,0.0,,0.636283278465271,,0.49045461416244507,,0.5831653475761414,,,2.3142127990722656,0.9666110277175903,,0.2406354397535324,,2.8396096229553223,,0.49045461416244507,,5.490528106689453,,,,,,,,,,,,,,,,
0,99,,,,,1.0228500366210938,,0.22021988034248352,,0.0,,0.6299012303352356,,0.2923195958137512,,0.5646568536758423,,,2.975864887237549,0.4917038381099701,,0.1608850061893463,,2.725860595703125,,0.2923195958137512,,4.90739631652832,,,,,,,,,,,,,,,,
