epoch,step,train/L_coord_epoch,train/L_coord_step,train/L_depth_anchor_epoch,train/L_depth_anchor_step,train/L_geo_pp_dir_epoch,train/L_geo_pp_dir_step,train/L_geo_pred_pred_art_epoch,train/L_geo_pred_pred_art_step,train/L_kld_epoch,train/L_kld_step,train/L_mask_epoch,train/L_mask_step,train/L_motion_recon_epoch,train/L_motion_recon_step,train/L_motion_type_epoch,train/L_motion_type_step,train/L_origin_epoch,train/L_origin_map_epoch,train/L_origin_map_step,train/L_origin_step,train/L_p_rev_balance_epoch,train/L_p_rev_balance_step,train/L_point_3d_epoch,train/L_point_3d_step,train/L_point_map_epoch,train/L_point_map_step,train/L_traj_proj_epoch,train/L_traj_proj_step,train/L_trajectory_epoch,train/L_trajectory_m2,train/L_trajectory_step,train/L_vae_total_epoch,train/L_vae_total_step,train/loss_total_epoch,train/loss_total_step,train/p_rev_mean,val/L_coord,val/L_depth_anchor,val/L_geo_pp_dir,val/L_geo_pred_pred_art,val/L_kld,val/L_mask,val/L_motion_recon,val/L_motion_type,val/L_origin,val/L_origin_map,val/L_p_rev_balance,val/L_point_3d,val/L_point_map,val/L_traj_proj,val/L_trajectory,val/L_trajectory_m2,val/L_vae_total,val/loss_total
0,9,,0.3827463686466217,,0.6489322781562805,,0.8998016715049744,,0.3729751706123352,,0.0,,0.8675934076309204,,1.0159599781036377,,0.609968900680542,,,11.328736305236816,0.6975117921829224,,0.0345771424472332,,0.2639651894569397,,4.525845527648926,,39.428993225097656,,,1.1518049240112305,,1.0159599781036377,,23.07162094116211,,,,,,,,,,,,,,,,,,,
0,19,,0.3401927053928375,,0.4504140019416809,,0.8635181188583374,,0.2546454071998596,,0.0,,0.6212893724441528,,0.9944655299186707,,0.5572118759155273,,,7.476168155670166,1.723873496055603,,0.018357645720243454,,0.3387335240840912,,4.630740165710449,,17.53241539001465,,,1.1732728481292725,,0.9944655299186707,,11.90852165222168,,,,,,,,,,,,,,,,,,,
0,29,,0.298214316368103,,0.3174668252468109,,0.8036450147628784,,0.21612226963043213,,0.0,,0.6837863922119141,,1.2514317035675049,,0.5701228976249695,,,13.358742713928223,2.394850730895996,,0.007461046800017357,,0.24822986125946045,,4.020301818847656,,20.54694938659668,,,1.180541753768921,,1.2514317035675049,,13.039066314697266,,,,,,,,,,,,,,,,,,,
0,39,,0.28013938665390015,,0.4830411374568939,,0.7650993466377258,,0.16340065002441406,,0.0,,0.6503356695175171,,1.1462247371673584,,0.6174286007881165,,,5.314239501953125,4.277932643890381,,0.0025270150508731604,,0.30353572964668274,,3.8586301803588867,,12.741564750671387,,,1.3022314310073853,,1.1462247371673584,,9.100969314575195,,,,,,,,,,,,,,,,,,,
0,49,,0.22886039316654205,,0.4796920418739319,,0.7366745471954346,,0.1552731990814209,,0.0,,0.6942876577377319,,1.1614596843719482,,0.5924597978591919,,,9.618629455566406,5.957097053527832,,0.00046309453318826854,,0.22853009402751923,,3.0278053283691406,,12.960020065307617,,,1.4490617513656616,,1.1614596843719482,,8.784759521484375,,,,,,,,,,,,,,,,,,,
0,59,,0.23918291926383972,,0.3681744933128357,,0.7042587399482727,,0.12339130789041519,,0.0,,0.6728166341781616,,1.1933131217956543,,0.5512800216674805,,,6.439382553100586,5.467118740081787,,9.450152720091864e-05,,0.1911838948726654,,2.922865867614746,,12.748944282531738,,,1.427722692489624,,1.1933131217956543,,8.558804512023926,,,,,,,,,,,,,,,,,,,
0,69,,0.23018021881580353,,0.4548916518688202,,0.7023817300796509,,0.11630710959434509,,0.0,,0.6455627679824829,,0.9416980743408203,,0.6233615279197693,,,7.725876808166504,7.732553005218506,,0.0001112683821702376,,0.19892315566539764,,3.0669429302215576,,9.750624656677246,,,1.5932743549346924,,0.9416980743408203,,7.156025409698486,,,,,,,,,,,,,,,,,,,
0,79,,0.24218454957008362,,1.135849952697754,,0.6953302621841431,,0.10315980762243271,,0.0,,0.6646277904510498,,1.1047801971435547,,0.5281921029090881,,,5.355464935302734,9.627784729003906,,2.712888772293809e-06,,0.21473732590675354,,3.0887317657470703,,16.041322708129883,,,1.5242067575454712,,1.1047801971435547,,10.666207313537598,,,,,,,,,,,,,,,,,,,
0,89,,0.25709855556488037,,0.4764224588871002,,0.6722489595413208,,0.0863436758518219,,0.0,,0.6187267899513245,,1.0700236558914185,,0.5704517960548401,,,7.0890374183654785,8.496105194091797,,3.140814442303963e-05,,0.2767990231513977,,2.6445274353027344,,12.462571144104004,,,1.5476220846176147,,1.0700236558914185,,8.305548667907715,,,,,,,,,,,,,,,,,,,
0,99,,0.21763204038143158,,0.16691961884498596,,0.669387698173523,,0.08871984481811523,,0.0,,0.6206435561180115,,1.019366979598999,,0.5800235867500305,,,4.582839488983154,9.123720169067383,,3.5649077290145215e-06,,0.19397783279418945,,2.649759292602539,,17.754718780517578,,,1.7436976432800293,,1.019366979598999,,10.780649185180664,,,,,,,,,,,,,,,,,,,
0,109,,0.20866256952285767,,0.3050898015499115,,0.6255091428756714,,0.08087007701396942,,0.0,,0.6014728546142578,,1.1391804218292236,,0.5903511643409729,,,5.2662248611450195,8.404863357543945,,4.494602762861177e-06,,0.1432662308216095,,2.913580894470215,,10.521958351135254,,,1.7658233642578125,,1.1391804218292236,,7.346022605895996,,,,,,,,,,,,,,,,,,,
0,119,,0.22400325536727905,,0.317780464887619,,0.6487599611282349,,0.07091467827558517,,0.0,,0.6041327714920044,,1.0527663230895996,,0.5688484311103821,,,5.436947822570801,10.16124439239502,,1.1695379953380325e-06,,0.1515626311302185,,2.4732255935668945,,22.115686416625977,,,1.6513280868530273,,1.0527663230895996,,12.939382553100586,,,,,,,,,,,,,,,,,,,
0,129,,0.18629810214042664,,0.3557094633579254,,0.6489746570587158,,0.06499186158180237,,0.0,,0.5983648300170898,,1.064180850982666,,0.5176072120666504,,,10.997672080993652,11.27796745300293,,6.960807513678446e-05,,0.150543674826622,,2.526359796524048,,13.182036399841309,,,1.9807324409484863,,1.064180850982666,,8.49581527709961,,,,,,,,,,,,,,,,,,,
0,139,,0.19446955621242523,,0.13308396935462952,,0.6317291259765625,,0.055250607430934906,,0.0,,0.5797073841094971,,1.0154321193695068,,0.4918527603149414,,,4.179447174072266,10.462395668029785,,6.870026845717803e-05,,0.13179372251033783,,2.3287551403045654,,13.549528121948242,,,1.883270263671875,,1.0154321193695068,,8.461503982543945,,,,,,,,,,,,,,,,,,,
0,149,,0.17768806219100952,,0.37999671697616577,,0.63523930311203,,0.05394061654806137,,0.0,,0.5899245142936707,,0.9509947299957275,,0.6944087147712708,,,4.912047863006592,13.313718795776367,,0.00017130712512880564,,0.19001340866088867,,2.2133374214172363,,8.821112632751465,,,2.3564183712005615,,0.9509947299957275,,6.160033226013184,,,,,,,,,,,,,,,,,,,
0,159,,0.17389041185379028,,0.24216444790363312,,0.6205638647079468,,0.04762168601155281,,0.0,,0.5662374496459961,,1.1194515228271484,,0.7161862254142761,,,6.403062343597412,11.598872184753418,,0.00019994408648926765,,0.16679581999778748,,2.1332523822784424,,14.893087387084961,,,2.118269443511963,,1.1194515228271484,,9.071234703063965,,,,,,,,,,,,,,,,,,,
0,169,,0.19877825677394867,,0.7377489805221558,,0.5981737375259399,,0.04966079071164131,,0.0,,0.5805237293243408,,1.0499762296676636,,0.6583108901977539,,,5.3482136726379395,14.647799491882324,,0.00025498209288343787,,0.1901046335697174,,2.3623759746551514,,12.07087230682373,,,2.120039463043213,,1.0499762296676636,,8.040060997009277,,,,,,,,,,,,,,,,,,,
0,179,,0.16613103449344635,,0.12230885773897171,,0.6066893935203552,,0.04514337703585625,,0.0,,0.5610042214393616,,0.9654881954193115,,0.5204596519470215,,,3.7093496322631836,15.174195289611816,,0.0001436688908142969,,0.1113240122795105,,2.182196617126465,,7.000885963439941,,,2.2615952491760254,,0.9654881954193115,,5.081518650054932,,,,,,,,,,,,,,,,,,,
0,189,,0.18535923957824707,,0.266774445772171,,0.609259843826294,,0.04901500791311264,,0.0,,0.5694972276687622,,1.324584722518921,,0.5540510416030884,,,4.226234436035156,14.576581001281738,,7.291843940038234e-05,,0.15806883573532104,,2.1558313369750977,,5.739668846130371,,,1.688847303390503,,1.324584722518921,,4.524428844451904,,,,,,,,,,,,,,,,,,,
0,199,,0.139070063829422,,0.20821574330329895,,0.6296457052230835,,0.04687158018350601,,0.0,,0.5716904401779175,,1.0792039632797241,,0.5485292673110962,,,4.062596321105957,17.469581604003906,,2.864518364731339e-06,,0.11220227181911469,,2.0529117584228516,,7.990047454833984,,,1.689871907234192,,1.0792039632797241,,5.548620700836182,,,,,,,,,,,,,,,,,,,
0,209,,0.15987145900726318,,0.6474906206130981,,0.6254897117614746,,0.05134708434343338,,0.0,,0.569329023361206,,1.0516564846038818,,0.499869704246521,,,4.716642379760742,15.437077522277832,,5.46743358427193e-05,,0.12597136199474335,,1.9687867164611816,,7.07294225692749,,,1.9996955394744873,,1.0516564846038818,,5.276920795440674,,,,,,,,,,,,,,,,,,,
0,219,,0.1631869673728943,,0.2316623479127884,,0.6145347356796265,,0.04788294807076454,,0.0,,0.5660669207572937,,1.1301429271697998,,0.5901807546615601,,,5.5035552978515625,16.69695472717285,,2.8108170226914808e-05,,0.11907976120710373,,2.0323128700256348,,7.2346110343933105,,,1.948028326034546,,1.1301429271697998,,5.18017578125,,,,,,,,,,,,,,,,,,,
0,229,,0.15516963601112366,,0.17694546282291412,,0.6264829635620117,,0.04552673548460007,,0.0,,0.5735236406326294,,1.0142498016357422,,0.48062944412231445,,,6.609826564788818,16.702463150024414,,3.3911785521922866e-06,,0.14591018855571747,,2.0997142791748047,,5.219636917114258,,,2.067492723464966,,1.0142498016357422,,4.1796979904174805,,,,,,,,,,,,,,,,,,,
0,239,,0.15110383927822113,,0.252758651971817,,0.5922654867172241,,0.0383836105465889,,0.0,,0.5647581815719604,,1.1675664186477661,,0.5976427793502808,,,3.8053078651428223,20.626176834106445,,0.00027677975594997406,,0.1532929241657257,,2.1387438774108887,,7.969849586486816,,,2.2091193199157715,,1.1675664186477661,,5.601810455322266,,,,,,,,,,,,,,,,,,,
0,249,,0.18285715579986572,,0.17067012190818787,,0.635880708694458,,0.04333420842885971,,0.0,,0.5381023287773132,,0.9248347282409668,,0.5324239730834961,,,3.191652297973633,19.081083297729492,,3.9765731344232336e-05,,0.13173040747642517,,1.750952124595642,,12.127043724060059,,,1.9986975193023682,,0.9248347282409668,,7.452754497528076,,,,,,,,,,,,,,,,,,,
0,259,,0.13742582499980927,,0.29597294330596924,,0.6316640377044678,,0.042698934674263,,0.0,,0.5506666898727417,,1.0315444469451904,,0.5090158581733704,,,3.5368611812591553,22.446027755737305,,0.00012306369899306446,,0.09695051610469818,,1.9406384229660034,,8.845531463623047,,,2.021972179412842,,1.0315444469451904,,5.952615261077881,,,,,,,,,,,,,,,,,,,
0,269,,0.14617595076560974,,0.2516626715660095,,0.6273843050003052,,0.03978089243173599,,0.0,,0.5482807755470276,,1.0278276205062866,,0.5786199569702148,,,8.098021507263184,18.98207664489746,,0.0001694418751867488,,0.12058084458112717,,1.8513555526733398,,5.892393112182617,,,1.994532585144043,,1.0278276205062866,,4.4117350578308105,,,,,,,,,,,,,,,,,,,
0,279,,0.13500966131687164,,0.21416081488132477,,0.6262484192848206,,0.04237854480743408,,0.0,,0.5415549874305725,,1.0143951177597046,,0.6632654070854187,,,5.060555458068848,23.284523010253906,,0.0001299878495046869,,0.11470024287700653,,1.824230670928955,,7.799485206604004,,,1.7931196689605713,,1.0143951177597046,,5.324148178100586,,,,,,,,,,,,,,,,,,,
