epoch,step,train/L_coord_epoch,train/L_coord_step,train/L_kld_epoch,train/L_kld_step,train/L_mask_epoch,train/L_mask_step,train/L_motion_recon_epoch,train/L_motion_recon_step,train/L_motion_type_epoch,train/L_motion_type_step,train/L_point_map_epoch,train/L_point_map_step,train/L_screw_self_epoch,train/L_screw_self_step,train/L_screw_track_epoch,train/L_screw_track_step,train/L_screw_twist_gt_traj_epoch,train/L_screw_twist_gt_traj_step,train/L_trajectory_2d_epoch,train/L_trajectory_2d_step,train/L_trajectory_epoch,train/L_trajectory_step,train/L_twist_epoch,train/L_twist_step,train/L_vae_total_epoch,train/L_vae_total_step,train/loss_total_epoch,train/loss_total_step,val/L_coord,val/L_kld,val/L_mask,val/L_motion_recon,val/L_motion_type,val/L_point_map,val/L_screw_self,val/L_screw_track,val/L_screw_twist_gt_traj,val/L_trajectory,val/L_trajectory_2d,val/L_twist,val/L_vae_total,val/loss_total
0,9,,0.23916998505592346,,0.06504551321268082,,0.5094246864318848,,0.648222804069519,,0.6911805868148804,,0.728121280670166,,0.5608723163604736,,0.27528661489486694,,0.642835259437561,,0.0039115361869335175,,0.018786784261465073,,0.5587481260299683,,0.6488732695579529,,2.4386048316955566,,,,,,,,,,,,,,
0,19,,0.19618932902812958,,0.06131359934806824,,0.5063945055007935,,0.5679402351379395,,0.6864950060844421,,0.5901602506637573,,0.4387359321117401,,0.20786508917808533,,0.6187013983726501,,0.00621313601732254,,0.023309238255023956,,0.5568996667861938,,0.5685533881187439,,2.199758529663086,,,,,,,,,,,,,,
0,29,,0.19266994297504425,,0.0617532953619957,,0.5063603520393372,,0.47883155941963196,,0.6874013543128967,,0.517570436000824,,0.3419042229652405,,0.19388163089752197,,0.6306849718093872,,0.005349118262529373,,0.021998142823576927,,0.49546512961387634,,0.4794490933418274,,2.036367177963257,,,,,,,,,,,,,,
0,39,,0.19122269749641418,,0.06394189596176147,,0.5071777701377869,,0.5385975241661072,,0.6899787783622742,,0.4613944888114929,,0.28360432386398315,,0.17973871529102325,,0.6469021439552307,,0.0043562306091189384,,0.019922630861401558,,0.6493440866470337,,0.5392369627952576,,2.086439371109009,,,,,,,,,,,,,,
0,49,,0.2049299031496048,,0.06095118448138237,,0.5055949687957764,,0.5019553303718567,,0.6816247701644897,,0.4752030372619629,,0.207135409116745,,0.20067381858825684,,0.6015416979789734,,0.003513934323564172,,0.017003344371914864,,0.5643962621688843,,0.5025648474693298,,1.982090950012207,,,,,,,,,,,,,,
0,59,,0.19018618762493134,,0.06183305382728577,,0.5062193870544434,,0.49283939599990845,,0.6758277416229248,,0.45277130603790283,,0.12592685222625732,,0.18212644755840302,,0.6304148435592651,,0.0028764326125383377,,0.019199742004275322,,0.4436715543270111,,0.49345773458480835,,1.8613392114639282,,,,,,,,,,,,,,
0,69,,0.17773620784282684,,0.05716942995786667,,0.5038565993309021,,0.4707871079444885,,0.6707715392112732,,0.4352642297744751,,0.09602108597755432,,0.16072875261306763,,0.6146279573440552,,0.003193593118339777,,0.021117515861988068,,0.4587441682815552,,0.4713588058948517,,1.806710124015808,,,,,,,,,,,,,,
0,79,,0.18022099137306213,,0.0576494038105011,,0.5064017176628113,,0.4124741554260254,,0.6666328310966492,,0.42244720458984375,,0.07454659789800644,,0.1700616180896759,,0.6393993496894836,,0.00354631245136261,,0.022440265864133835,,0.5171309113502502,,0.41305065155029297,,1.807939052581787,,,,,,,,,,,,,,
0,89,,0.16216319799423218,,0.05031996965408325,,0.5042166709899902,,0.4237048625946045,,0.6648481488227844,,0.4099403917789459,,0.06030511111021042,,0.14847002923488617,,0.6487152576446533,,0.0035611302591860294,,0.020479965955018997,,0.5422974824905396,,0.4242080748081207,,1.794602632522583,,,,,,,,,,,,,,
0,99,,0.16156619787216187,,0.051864780485630035,,0.5042717456817627,,0.38324934244155884,,0.6689887642860413,,0.39646637439727783,,0.04931338503956795,,0.14495497941970825,,0.6400836110115051,,0.003882313845679164,,0.024525396525859833,,0.5895318388938904,,0.3837679922580719,,1.7836763858795166,,,,,,,,,,,,,,
