epoch,step,train/L_coord_epoch,train/L_coord_step,train/L_geo_pred_pred_art_epoch,train/L_geo_pred_pred_art_step,train/L_kld_epoch,train/L_kld_step,train/L_mask_epoch,train/L_mask_step,train/L_motion_recon_epoch,train/L_motion_recon_step,train/L_motion_type_epoch,train/L_motion_type_step,train/L_origin_epoch,train/L_origin_map_epoch,train/L_origin_map_step,train/L_origin_step,train/L_p_rev_balance_epoch,train/L_p_rev_balance_step,train/L_point_3d_epoch,train/L_point_3d_step,train/L_point_map_epoch,train/L_point_map_step,train/L_proj_fdiff_ang_epoch,train/L_proj_fdiff_ang_step,train/L_proj_fdiff_len_epoch,train/L_proj_fdiff_len_step,train/L_proj_fdiff_vel_epoch,train/L_proj_fdiff_vel_step,train/L_proj_scale_epoch,train/L_proj_scale_step,train/L_traj_angle_epoch,train/L_traj_angle_step,train/L_traj_length_epoch,train/L_traj_length_step,train/L_traj_proj_epoch,train/L_traj_proj_step,train/L_traj_scale_epoch,train/L_traj_scale_step,train/L_traj_velocity_epoch,train/L_traj_velocity_step,train/L_trajectory_epoch,train/L_trajectory_m2,train/L_trajectory_step,train/L_vae_total_epoch,train/L_vae_total_step,train/arctic/loss_total,train/epic/loss_total,train/hoi4d/loss_total,train/loss_total_epoch,train/loss_total_step,train/p_rev_mean,train/sf3d/loss_total,val/L_coord,val/L_geo_pred_pred_art,val/L_kld,val/L_mask,val/L_motion_recon,val/L_motion_type,val/L_origin,val/L_origin_map,val/L_p_rev_balance,val/L_point_3d,val/L_point_map,val/L_proj_fdiff_ang,val/L_proj_fdiff_len,val/L_proj_fdiff_vel,val/L_proj_scale,val/L_traj_angle,val/L_traj_length,val/L_traj_proj,val/L_traj_scale,val/L_traj_velocity,val/L_trajectory,val/L_trajectory_m2,val/L_vae_total,val/arctic/loss_total,val/epic/loss_total,val/hoi4d/loss_total,val/loss_total,val/sf3d/loss_total
0,9,,0.2667800486087799,,0.397075891494751,,0.0,,2.036947727203369,,1.0,,0.5545461773872375,,,0.0,0.0,,0.03613024204969406,,194.71826171875,,6.771689414978027,,0.9983407855033875,,0.01451934315264225,,0.02418925240635872,,0.8693724870681763,,1.0142006874084473,,0.01600775308907032,,1.1904637813568115,,0.47473305463790894,,0.04339713975787163,,,1.0399357080459595,,1.0,,,,,5.890709400177002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,19,,0.25250786542892456,,0.408991277217865,,0.0,,0.6392865180969238,,0.5017378330230713,,0.6116824746131897,,,5.337712287902832,0.7784284353256226,,0.014197762124240398,,0.19386807084083557,,5.009253025054932,,1.0078200101852417,,0.012600692920386791,,0.021683085709810257,,0.8117941617965698,,0.9846091270446777,,0.01592670939862728,,0.9075084924697876,,0.4345799684524536,,0.04495109245181084,,,0.9901569485664368,,0.5017378330230713,,,,,7.68811559677124,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,29,,0.11275459080934525,,0.5103318691253662,,0.0,,1.7065521478652954,,1.0,,0.41167640686035156,,,0.0,0.0,,0.007077002432197332,,194.5734100341797,,3.4474191665649414,,0.9763798713684082,,0.011954492889344692,,0.019477272406220436,,0.8451310396194458,,0.965692400932312,,0.017490142956376076,,0.9204981923103333,,0.5743900537490845,,0.04350052401423454,,,1.02292799949646,,1.0,,,,,3.8275716304779053,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,39,,0.12749862670898438,,0.288970947265625,,0.0,,1.254939079284668,,1.0,,0.4113510251045227,,,0.0,0.0,,0.007047064136713743,,192.55645751953125,,4.372889995574951,,0.9992238283157349,,0.010750549845397472,,0.019564533606171608,,0.6769297122955322,,0.9583691358566284,,0.01741521991789341,,0.9227051138877869,,0.49086570739746094,,0.04507534205913544,,,1.0343536138534546,,1.0,,,,,3.972177743911743,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,49,,0.244351327419281,,0.23201465606689453,,0.0,,0.588749885559082,,0.4625038206577301,,0.4641978144645691,,,2.9150149822235107,0.6853504180908203,,0.005973195657134056,,0.17717108130455017,,3.7012603282928467,,0.970309317111969,,0.00933773536235094,,0.017305782064795494,,0.6042791604995728,,0.9544161558151245,,0.017792319878935814,,0.8618980050086975,,0.4942656457424164,,0.046013228595256805,,,0.8836010098457336,,0.4625038206577301,,,,,5.5974931716918945,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,59,,0.21544098854064941,,0.2575843334197998,,0.0,,0.5877925157546997,,0.45699208974838257,,0.4775163531303406,,,2.751629590988159,0.735221803188324,,0.004240802023559809,,0.1379658579826355,,2.9315762519836426,,0.9860595464706421,,0.008203382603824139,,0.015869999304413795,,0.5440741777420044,,0.9367270469665527,,0.014928021468222141,,0.7713351249694824,,0.4076058268547058,,0.04219651222229004,,,0.8859153985977173,,0.45699208974838257,,,,,5.078598976135254,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,69,,0.20384818315505981,,0.20422980189323425,,0.0,,0.6208745837211609,,0.4617204964160919,,0.4375903010368347,,,3.2189619541168213,0.581551730632782,,0.0058964211493730545,,0.1208205446600914,,2.5186452865600586,,0.9580479860305786,,0.01384465117007494,,0.025158265605568886,,0.5049480199813843,,0.9199397563934326,,0.018042491748929024,,0.9117085933685303,,0.5294427275657654,,0.043284885585308075,,,0.8637714385986328,,0.4617204964160919,,,,,5.055173873901367,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,79,,0.15195609629154205,,0.49160584807395935,,0.0,,3.120586633682251,,1.0,,0.35620737075805664,,,0.0,0.0,,0.0010912686120718718,,0.18912272155284882,,3.122204065322876,,0.969562292098999,,0.015306632965803146,,0.02380407229065895,,0.6852473020553589,,0.8863591551780701,,0.01823684200644493,,0.8665493726730347,,0.4989215135574341,,0.042595524340867996,,,1.8789722919464111,,1.0,,,,,4.281096935272217,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,89,,0.16265682876110077,,0.1270548403263092,,0.0,,1.0105974674224854,,0.7099359035491943,,1.2241559028625488,,,4.026497840881348,0.3530387282371521,,0.0037216423079371452,,0.1826411932706833,,3.4863946437835693,,0.9900835156440735,,0.014032269828021526,,0.024163609370589256,,0.5502752065658569,,0.8397991061210632,,0.0182665903121233,,0.8851075172424316,,0.41821303963661194,,0.04154912009835243,,,8.190518379211426,,0.7099359035491943,,,,,3.325192928314209,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,99,,0.19188246130943298,,0.1957419514656067,,0.0,,0.5605871081352234,,0.3799412250518799,,0.4397386610507965,,,2.05625319480896,0.6705871820449829,,0.0023897564969956875,,0.11286306381225586,,2.100795269012451,,0.9478469491004944,,0.014609619043767452,,0.02438243478536606,,0.5698685050010681,,0.8519863486289978,,0.018565617501735687,,0.9036080837249756,,0.49917876720428467,,0.041453517973423004,,,0.72826087474823,,0.3799412250518799,,,,,4.1279826164245605,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
