epoch,step,train/L_coord_epoch,train/L_coord_step,train/L_kld_epoch,train/L_kld_step,train/L_mask_epoch,train/L_mask_step,train/L_motion_recon_epoch,train/L_motion_recon_step,train/L_motion_type_epoch,train/L_motion_type_step,train/L_origin_epoch,train/L_origin_map_epoch,train/L_origin_map_step,train/L_origin_step,train/L_point_3d_epoch,train/L_point_3d_step,train/L_point_map_epoch,train/L_point_map_step,train/L_traj_angle_epoch,train/L_traj_angle_step,train/L_traj_length_epoch,train/L_traj_length_step,train/L_traj_velocity_epoch,train/L_traj_velocity_step,train/L_trajectory_epoch,train/L_trajectory_m2,train/L_trajectory_step,train/L_vae_total_epoch,train/L_vae_total_step,train/loss_total_epoch,train/loss_total_step,val/L_coord,val/L_kld,val/L_mask,val/L_motion_recon,val/L_motion_type,val/L_origin,val/L_origin_map,val/L_point_3d,val/L_point_map,val/L_traj_angle,val/L_traj_length,val/L_traj_velocity,val/L_trajectory,val/L_trajectory_m2,val/L_vae_total,val/loss_total
0,9,,0.36630547046661377,,0.0,,0.8437447547912598,,0.0,,0.0,,,0.0,0.0,,0.24365083873271942,,4.820195198059082,,0.9937784075737,,0.3270410895347595,,0.3659308850765228,,,1.4726665019989014,,0.0,,4.899621963500977,,,,,,,,,,,,,,,,
0,19,,0.36161699891090393,,0.0,,0.64488685131073,,0.0,,0.0,,,0.0,0.0,,0.265508770942688,,4.856285572052002,,0.9913210868835449,,0.22211767733097076,,0.2614499628543854,,,1.2428863048553467,,0.0,,4.5537614822387695,,,,,,,,,,,,,,,,
0,29,,0.2686755061149597,,0.0,,0.6564185619354248,,0.0,,0.0,,,0.0,0.0,,0.264856219291687,,3.5509328842163086,,0.9886773824691772,,0.16107258200645447,,0.20104347169399261,,,1.1081188917160034,,0.0,,3.7004196643829346,,,,,,,,,,,,,,,,
0,39,,0.25586843490600586,,0.0,,0.6684945225715637,,0.0,,0.0,,,0.0,0.0,,0.13887476921081543,,3.1341745853424072,,0.9878465533256531,,0.1266268789768219,,0.1692425161600113,,,1.0219475030899048,,0.0,,3.3361592292785645,,,,,,,,,,,,,,,,
0,49,,0.23793283104896545,,0.0,,0.6483470797538757,,0.0,,0.0,,,0.0,0.0,,0.20740602910518646,,3.2025983333587646,,0.9546396136283875,,0.12132873386144638,,0.15928781032562256,,,0.974892258644104,,0.0,,3.332860231399536,,,,,,,,,,,,,,,,
0,59,,0.2202313244342804,,0.0,,0.6422206163406372,,0.0,,0.0,,,0.0,0.0,,0.1736820936203003,,2.888643741607666,,0.9480311870574951,,0.0991886705160141,,0.13855402171611786,,,0.9730908274650574,,0.0,,3.111098289489746,,,,,,,,,,,,,,,,
0,69,,0.2215220183134079,,0.0,,0.6275647878646851,,0.0,,0.0,,,0.0,0.0,,0.20307695865631104,,2.658534049987793,,0.9414307475090027,,0.09817130118608475,,0.13903000950813293,,,0.9434351921081543,,0.0,,2.9858975410461426,,,,,,,,,,,,,,,,
0,79,,0.21030691266059875,,0.0,,0.639690101146698,,0.0,,0.0,,,0.0,0.0,,0.13119876384735107,,2.611053705215454,,0.9387477040290833,,0.09241173416376114,,0.13085728883743286,,,0.9378990530967712,,0.0,,2.911511182785034,,,,,,,,,,,,,,,,
0,89,,0.16281819343566895,,0.0,,0.6112510561943054,,0.0,,0.0,,,0.0,0.0,,0.10550564527511597,,2.659651756286621,,0.9046413898468018,,0.0829307958483696,,0.12021985650062561,,,0.85956209897995,,0.0,,2.8134002685546875,,,,,,,,,,,,,,,,
0,99,,0.17181044816970825,,0.0,,0.6173233985900879,,0.0,,0.0,,,0.0,0.0,,0.11341977119445801,,2.4278905391693115,,0.8862920999526978,,0.08027913421392441,,0.11736711859703064,,,0.8779729604721069,,0.0,,2.7048611640930176,,,,,,,,,,,,,,,,
0,109,,0.17713971436023712,,0.0,,0.6156033873558044,,0.0,,0.0,,,0.0,0.0,,0.12199634313583374,,2.915555238723755,,0.8866716027259827,,0.07753299921751022,,0.11474092304706573,,,0.8583599328994751,,0.0,,2.9411704540252686,,,,,,,,,,,,,,,,
0,119,,0.1749401092529297,,0.0,,0.5958201289176941,,0.0,,0.0,,,0.0,0.0,,0.12311255186796188,,2.4142589569091797,,0.8854063749313354,,0.07172170281410217,,0.10840942710638046,,,0.8765742182731628,,0.0,,2.679326295852661,,,,,,,,,,,,,,,,
0,129,,0.12002512067556381,,0.0,,0.6035192608833313,,0.0,,0.0,,,0.0,0.0,,0.08121012151241302,,2.194981098175049,,0.8940833210945129,,0.07591253519058228,,0.11383535712957382,,,0.8456254005432129,,0.0,,2.5215139389038086,,,,,,,,,,,,,,,,
0,139,,0.13139069080352783,,0.0,,0.5719949007034302,,0.0,,0.0,,,0.0,0.0,,0.08121659606695175,,2.716815948486328,,0.8405229449272156,,0.06891126930713654,,0.10480844974517822,,,0.7798373699188232,,0.0,,2.700153112411499,,,,,,,,,,,,,,,,
0,149,,0.14996659755706787,,0.0,,0.5728647708892822,,0.0,,0.0,,,0.0,0.0,,0.13238680362701416,,2.3987245559692383,,0.8535987734794617,,0.0709061473608017,,0.10654817521572113,,,0.7887924909591675,,0.0,,2.590167999267578,,,,,,,,,,,,,,,,
0,159,,0.14317628741264343,,0.0,,0.5725418925285339,,0.0,,0.0,,,0.0,0.0,,0.1347549557685852,,2.2405824661254883,,0.8322167992591858,,0.06423335522413254,,0.10080122202634811,,,0.7594753503799438,,0.0,,2.4742918014526367,,,,,,,,,,,,,,,,
0,169,,0.15221470594406128,,0.0,,0.5825798511505127,,0.0,,0.0,,,0.0,0.0,,0.07665592432022095,,2.313610076904297,,0.8484470844268799,,0.06279487907886505,,0.10257384926080704,,,0.8278350830078125,,0.0,,2.5346426963806152,,,,,,,,,,,,,,,,
0,179,,0.14129365980625153,,0.0,,0.5594702959060669,,0.0,,0.0,,,0.0,0.0,,0.07245831191539764,,1.9538679122924805,,0.8319892883300781,,0.06175092235207558,,0.1006079763174057,,,0.7293951511383057,,0.0,,2.2757208347320557,,,,,,,,,,,,,,,,
0,189,,0.12689536809921265,,0.0,,0.5502666234970093,,0.0,,0.0,,,0.0,0.0,,0.07361102104187012,,1.9731910228729248,,0.8419083952903748,,0.06489962339401245,,0.1029447391629219,,,0.8073024153709412,,0.0,,2.321981906890869,,,,,,,,,,,,,,,,
0,199,,0.14202150702476501,,0.0,,0.5454737544059753,,0.0,,0.0,,,0.0,0.0,,0.08076842874288559,,2.2795419692993164,,0.870493471622467,,0.06382453441619873,,0.10334259271621704,,,0.8656280040740967,,0.0,,2.5272183418273926,,,,,,,,,,,,,,,,
0,209,,0.14004066586494446,,0.0,,0.5574353933334351,,0.0,,0.0,,,0.0,0.0,,0.09095044434070587,,2.0168862342834473,,0.8194689750671387,,0.05816914513707161,,0.09396819025278091,,,0.7577871084213257,,0.0,,2.3143372535705566,,,,,,,,,,,,,,,,
0,219,,0.12519413232803345,,0.0,,0.540928304195404,,0.0,,0.0,,,0.0,0.0,,0.0791613757610321,,1.9089158773422241,,0.8051988482475281,,0.06243933364748955,,0.09778346866369247,,,0.7406216263771057,,0.0,,2.229013204574585,,,,,,,,,,,,,,,,
0,229,,0.1390404850244522,,0.0,,0.5212663412094116,,0.0,,0.0,,,0.0,0.0,,0.09820646047592163,,1.8692951202392578,,0.8193100690841675,,0.0594174861907959,,0.09577470272779465,,,0.7791411876678467,,0.0,,2.2386131286621094,,,,,,,,,,,,,,,,
0,239,,0.10720708966255188,,0.0,,0.5371518731117249,,0.0,,0.0,,,0.0,0.0,,0.07008000463247299,,1.5571905374526978,,0.7390953898429871,,0.05629291012883186,,0.08866308629512787,,,0.6345482468605042,,0.0,,1.939446210861206,,,,,,,,,,,,,,,,
