epoch,step,train/L_coord_epoch,train/L_coord_step,train/L_kld_epoch,train/L_kld_step,train/L_mask_epoch,train/L_mask_step,train/L_motion_recon_epoch,train/L_motion_recon_step,train/L_motion_type_epoch,train/L_motion_type_step,train/L_point_map_epoch,train/L_point_map_step,train/L_vae_total_epoch,train/L_vae_total_step,train/loss_total_epoch,train/loss_total_step,val/L_coord,val/L_kld,val/L_mask,val/L_motion_recon,val/L_motion_type,val/L_point_map,val/L_vae_total,val/loss_total
0,9,,0.11225606501102448,,0.00034420983865857124,,0.3390183448791504,,0.1586151421070099,,0.23611918091773987,,0.23944082856178284,,0.15861858427524567,,0.472689688205719,,,,,,,,
0,19,,0.1176731064915657,,9.630434215068817e-05,,0.33902275562286377,,0.11444783210754395,,0.20158839225769043,,0.2195623517036438,,0.11444879323244095,,0.4382784366607666,,,,,,,,
0,29,,0.13040965795516968,,0.0004920787177979946,,0.39216193556785583,,0.11007228493690491,,0.2697656750679016,,0.23449715971946716,,0.11007720232009888,,0.5093507766723633,,,,,,,,
0,39,,0.10639362782239914,,0.0004682703875005245,,0.31722408533096313,,0.10693909972906113,,0.23768489062786102,,0.22242313623428345,,0.10694378614425659,,0.44197291135787964,,,,,,,,
0,49,,0.12405082583427429,,0.00047705136239528656,,0.35980987548828125,,0.1112338975071907,,0.23320478200912476,,0.22949111461639404,,0.11123866587877274,,0.47071585059165955,,,,,,,,
0,59,,0.14090287685394287,,6.750877946615219e-05,,0.36061543226242065,,0.08540008217096329,,0.2018052637577057,,0.235038623213768,,0.08540076017379761,,0.4580807089805603,,,,,,,,
0,69,,0.09924842417240143,,0.00018349383026361465,,0.29457801580429077,,0.08488880097866058,,0.2015993446111679,,0.21296334266662598,,0.08489063382148743,,0.40132299065589905,,,,,,,,
0,79,,0.1076916754245758,,0.00042369170114398,,0.3370095491409302,,0.10754844546318054,,0.1991787701845169,,0.20639780163764954,,0.10755268484354019,,0.4251110851764679,,,,,,,,
0,89,,0.11536875367164612,,0.00047753937542438507,,0.3417515754699707,,0.11388440430164337,,0.2587902247905731,,0.21707752346992493,,0.113889180123806,,0.4661980867385864,,,,,,,,
0,99,,0.08463436365127563,,0.0005670576356351376,,0.2644931972026825,,0.07482767850160599,,0.21229657530784607,,0.21432626247406006,,0.07483334839344025,,0.38591498136520386,,,,,,,,
0,109,,0.11416424810886383,,0.0003704898990690708,,0.36587029695510864,,0.11085421591997147,,0.26687127351760864,,0.23393738269805908,,0.11085791885852814,,0.4897603392601013,,,,,,,,
0,119,,0.11107185482978821,,0.00010034721344709396,,0.3526832163333893,,0.08181695640087128,,0.2094983458518982,,0.22637075185775757,,0.08181796222925186,,0.44396132230758667,,,,,,,,
0,129,,0.08568406105041504,,0.0005704555660486221,,0.2495059072971344,,0.06749323010444641,,0.2787439227104187,,0.21007592976093292,,0.06749893724918365,,0.40836790204048157,,,,,,,,
