epoch,step,train/L_coord_epoch,train/L_coord_step,train/L_geo_pred_pred_art_epoch,train/L_geo_pred_pred_art_step,train/L_kld_epoch,train/L_kld_step,train/L_mask_epoch,train/L_mask_step,train/L_motion_recon_epoch,train/L_motion_recon_step,train/L_motion_type_epoch,train/L_motion_type_step,train/L_origin_epoch,train/L_origin_map_epoch,train/L_origin_map_step,train/L_origin_step,train/L_point_3d_epoch,train/L_point_3d_step,train/L_point_map_epoch,train/L_point_map_step,train/L_trajectory_epoch,train/L_trajectory_m2,train/L_trajectory_step,train/L_vae_total_epoch,train/L_vae_total_step,train/loss_total_epoch,train/loss_total_step,train/p_rev_mean,val/L_coord,val/L_geo_pred_pred_art,val/L_kld,val/L_mask,val/L_motion_recon,val/L_motion_type,val/L_origin,val/L_origin_map,val/L_point_3d,val/L_point_map,val/L_trajectory,val/L_trajectory_m2,val/L_vae_total,val/loss_total
0,9,,0.37707316875457764,,0.5099583268165588,,0.0,,0.9124060869216919,,0.6347373127937317,,0.6266471743583679,,,5.756510257720947,2.1430187225341797,,0.2991255223751068,,4.691656112670898,,,1.4183944463729858,,0.6347373127937317,,8.480779647827148,,,,,,,,,,,,,,,
0,19,,0.35463717579841614,,0.4762762784957886,,0.0,,0.6236950755119324,,0.4492433965206146,,0.5843534469604492,,,4.296957969665527,1.2751466035842896,,0.23622927069664001,,4.16022253036499,,,1.0766842365264893,,0.4492433965206146,,6.576212406158447,,,,,,,,,,,,,,,
0,29,,0.30361002683639526,,0.4054359793663025,,0.0,,0.6433049440383911,,0.3329564332962036,,0.5825908780097961,,,3.3311681747436523,0.8263176679611206,,0.19552326202392578,,3.352853298187256,,,0.948578953742981,,0.3329564332962036,,5.298995494842529,,,,,,,,,,,,,,,
0,39,,0.3220025897026062,,0.399487167596817,,0.0,,0.6290007829666138,,0.30408698320388794,,0.5802587866783142,,,2.7987241744995117,0.6670840978622437,,0.25686734914779663,,3.2419075965881348,,,0.9155173897743225,,0.30408698320388794,,4.897674083709717,,,,,,,,,,,,,,,
0,49,,0.32960766553878784,,0.3913683295249939,,0.0,,0.6200023889541626,,0.3409235179424286,,0.4997785687446594,,,3.507472276687622,0.514300525188446,,0.18788829445838928,,3.002185821533203,,,0.8593116402626038,,0.3409235179424286,,4.96987247467041,,,,,,,,,,,,,,,
0,59,,0.27284905314445496,,0.34208956360816956,,0.0,,0.6173179149627686,,0.25893092155456543,,0.5392575860023499,,,3.0340380668640137,0.40520066022872925,,0.1549530029296875,,3.1392581462860107,,,0.852082371711731,,0.25893092155456543,,4.671152114868164,,,,,,,,,,,,,,,
0,69,,0.2283947467803955,,0.32317349314689636,,0.0,,0.6566959619522095,,0.2962152361869812,,0.44234588742256165,,,2.2925832271575928,0.46709737181663513,,0.14399144053459167,,2.7870283126831055,,,0.7183575630187988,,0.2962152361869812,,4.048671722412109,,,,,,,,,,,,,,,
0,79,,0.20679865777492523,,0.3319459855556488,,0.0,,0.6257278919219971,,0.1783258467912674,,0.45265042781829834,,,2.0558300018310547,0.32047948241233826,,0.12148015201091766,,2.8478996753692627,,,0.649376392364502,,0.1783258467912674,,3.7624785900115967,,,,,,,,,,,,,,,
0,84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2652730941772461,0.44191089272499084,0.0,0.618613600730896,0.6946331262588501,0.5125444531440735,0.6595359444618225,1.9393917322158813,0.1630517542362213,2.2845828533172607,0.9220442771911621,0.1531984806060791,0.6946331262588501,4.074025630950928
0,84,0.289371520280838,,0.4212310016155243,,0.0,,1.2300413846969604,,0.35552453994750977,,0.5387269258499146,,0.8531460165977478,4.461927890777588,,,0.1987036019563675,,4.098944187164307,,0.9428249597549438,0.1543666571378708,,0.35552453994750977,,6.526726722717285,,0.3461436927318573,,,,,,,,,,,,,,
1,89,,0.1953940987586975,,0.3239728510379791,,0.0,,0.6082044839859009,,0.20895196497440338,,0.48704564571380615,,,1.8373634815216064,0.19853220880031586,,0.12711411714553833,,2.5982747077941895,,,0.646468997001648,,0.20895196497440338,,3.486072063446045,,,,,,,,,,,,,,,
1,99,,0.18025541305541992,,0.26519325375556946,,0.0,,0.6363862752914429,,0.23525303602218628,,0.4052203297615051,,,2.011730909347534,0.1958763599395752,,0.08162811398506165,,2.5929832458496094,,,0.5597944259643555,,0.23525303602218628,,3.476083755493164,,,,,,,,,,,,,,,
1,109,,0.2038092464208603,,0.26156485080718994,,0.0,,0.6127043962478638,,0.16017590463161469,,0.4124653935432434,,,2.1018874645233154,0.43167397379875183,,0.07962702959775925,,2.1261024475097656,,,0.5789790153503418,,0.16017590463161469,,3.379868745803833,,,,,,,,,,,,,,,
