epoch,step,train/L_coord_epoch,train/L_coord_step,train/L_geo_pred_pred_art_epoch,train/L_geo_pred_pred_art_step,train/L_kld_epoch,train/L_kld_step,train/L_mask_epoch,train/L_mask_step,train/L_motion_recon_epoch,train/L_motion_recon_step,train/L_motion_type_epoch,train/L_motion_type_step,train/L_origin_epoch,train/L_origin_map_epoch,train/L_origin_map_step,train/L_origin_step,train/L_point_3d_epoch,train/L_point_3d_step,train/L_point_map_epoch,train/L_point_map_step,train/L_trajectory_epoch,train/L_trajectory_m2,train/L_trajectory_step,train/L_vae_total_epoch,train/L_vae_total_step,train/loss_total_epoch,train/loss_total_step,train/p_rev_mean,val/L_coord,val/L_geo_pred_pred_art,val/L_kld,val/L_mask,val/L_motion_recon,val/L_motion_type,val/L_origin,val/L_origin_map,val/L_point_3d,val/L_point_map,val/L_trajectory,val/L_trajectory_m2,val/L_vae_total,val/loss_total
0,9,,0.20036011934280396,,0.17522922158241272,,0.0,,0.541885256767273,,0.9789829850196838,,0.520942211151123,,,87.34651947021484,159.34967041015625,,0.21889464557170868,,1.1303789615631104,,,1.1119980812072754,,0.9789829850196838,,125.71733856201172,,,,,,,,,,,,,,,
0,19,,0.20974941551685333,,0.2458401620388031,,0.0,,0.5284161567687988,,0.9165873527526855,,0.4922839105129242,,,1.9795541763305664,87.59874725341797,,0.10869096219539642,,0.9572986364364624,,,0.9721862077713013,,0.9165873527526855,,46.906341552734375,,,,,,,,,,,,,,,
0,29,,0.2252327799797058,,0.28724053502082825,,0.0,,0.5026735067367554,,0.8642304539680481,,0.5232465863227844,,,1.0071022510528564,44.2331428527832,,0.2029493749141693,,1.161890983581543,,,0.939002513885498,,0.8642304539680481,,24.858461380004883,,,,,,,,,,,,,,,
0,39,,0.18903371691703796,,0.300728976726532,,0.0,,0.5205778479576111,,0.7837091088294983,,0.49776333570480347,,,0.8773586750030518,25.493757247924805,,0.24398033320903778,,1.1252057552337646,,,0.8756535053253174,,0.7837091088294983,,15.333593368530273,,,,,,,,,,,,,,,
0,49,,0.22522905468940735,,0.2565370202064514,,0.0,,0.5160849094390869,,0.757896900177002,,0.5533673763275146,,,0.8877051472663879,14.22350025177002,,0.18999694287776947,,0.8073103427886963,,,0.8281561136245728,,0.757896900177002,,9.52027702331543,,,,,,,,,,,,,,,
0,59,,0.19586125016212463,,0.20756542682647705,,0.0,,0.5191623568534851,,0.6008572578430176,,0.4968280792236328,,,1.0838232040405273,8.125048637390137,,0.10923418402671814,,0.8053227663040161,,,0.761612594127655,,0.6008572578430176,,6.369631767272949,,,,,,,,,,,,,,,
0,69,,0.19091852009296417,,0.16954270005226135,,0.0,,0.5047805309295654,,0.4992188811302185,,0.44910162687301636,,,0.6478181481361389,1.791990876197815,,0.1612354964017868,,0.8470296859741211,,,0.6249582767486572,,0.4992188811302185,,2.8754804134368896,,,,,,,,,,,,,,,
0,79,,0.1909710168838501,,0.14208802580833435,,0.0,,0.5090749263763428,,0.5648033022880554,,0.4614770710468292,,,0.5814825892448425,1.3121591806411743,,0.10973544418811798,,0.7094478607177734,,,0.7446672916412354,,0.5648033022880554,,2.6061182022094727,,,,,,,,,,,,,,,
0,89,,0.19566132128238678,,0.15134304761886597,,0.0,,0.5129246115684509,,0.4354265332221985,,0.4368976950645447,,,0.5278225541114807,1.6647800207138062,,0.18903326988220215,,0.7089993953704834,,,0.6007213592529297,,0.4354265332221985,,2.6512677669525146,,,,,,,,,,,,,,,
0,99,,0.19261769950389862,,0.1905631422996521,,0.0,,0.515352725982666,,0.3870593011379242,,0.39033621549606323,,,0.4879363775253296,0.8442742824554443,,0.10293570160865784,,0.7824741005897522,,,0.6123278141021729,,0.3870593011379242,,2.176713466644287,,,,,,,,,,,,,,,
