epoch,step,train/L_cf_frame_axis,train/L_cf_frame_epoch,train/L_cf_frame_phase,train/L_cf_frame_radius,train/L_cf_frame_step,train/L_coord_epoch,train/L_coord_step,train/L_kld_epoch,train/L_kld_step,train/L_mask_epoch,train/L_mask_step,train/L_motion_recon_epoch,train/L_motion_recon_step,train/L_motion_type_epoch,train/L_motion_type_step,train/L_origin_epoch,train/L_origin_map_epoch,train/L_origin_map_step,train/L_origin_step,train/L_point_3d_epoch,train/L_point_3d_step,train/L_point_map_epoch,train/L_point_map_step,train/L_vae_total_epoch,train/L_vae_total_step,train/loss_total_epoch,train/loss_total_step,train/p_rev_mean,val/L_cf_frame,val/L_cf_frame_axis,val/L_cf_frame_phase,val/L_cf_frame_radius,val/L_coord,val/L_kld,val/L_mask,val/L_motion_recon,val/L_motion_type,val/L_origin,val/L_origin_map,val/L_point_3d,val/L_point_map,val/L_vae_total,val/loss_total
0,9,,,,,1.4847882986068726,,0.3885057270526886,,0.0,,1.0638606548309326,,0.6975597143173218,,0.6199539303779602,,,6.142759799957275,1.7726290225982666,,0.26607295870780945,,4.286467552185059,,0.6975597143173218,,8.754913330078125,,,,,,,,,,,,,,,,
0,19,,,,,1.1455698013305664,,0.37583422660827637,,0.0,,0.6465562582015991,,0.5194893479347229,,0.6349118947982788,,,4.407744407653809,1.1930338144302368,,0.2810736298561096,,5.186647415161133,,0.5194893479347229,,7.50847053527832,,,,,,,,,,,,,,,,
0,29,,,,,1.4175987243652344,,0.3040778636932373,,0.0,,0.6727181673049927,,0.6845170259475708,,0.6295140981674194,,,3.78067946434021,0.5584970712661743,,0.22226017713546753,,4.03289794921875,,0.6845170259475708,,6.517920970916748,,,,,,,,,,,,,,,,
0,39,,,,,1.3092812299728394,,0.28045564889907837,,0.0,,0.6406046748161316,,0.5336493849754333,,0.6205137372016907,,,4.067234039306641,0.655003547668457,,0.2411942332983017,,3.3641247749328613,,0.5336493849754333,,6.243846893310547,,,,,,,,,,,,,,,,
0,49,,,,,0.9145767688751221,,0.2712280750274658,,0.0,,0.6297075152397156,,0.4235970973968506,,0.5812926888465881,,,3.02553653717041,0.9399034976959229,,0.2334466427564621,,3.5262978076934814,,0.4235970973968506,,5.518282890319824,,,,,,,,,,,,,,,,
0,59,,,,,0.8755903244018555,,0.24957937002182007,,0.0,,0.6457261443138123,,0.4050338864326477,,0.5730708837509155,,,2.9965660572052,0.6415486931800842,,0.19186519086360931,,3.0643131732940674,,0.4050338864326477,,5.056924819946289,,,,,,,,,,,,,,,,
0,69,,,,,0.8861809372901917,,0.22910693287849426,,0.0,,0.6451057195663452,,0.3310135006904602,,0.5689363479614258,,,4.083418846130371,0.6625886559486389,,0.16952502727508545,,2.5559310913085938,,0.3310135006904602,,5.34348726272583,,,,,,,,,,,,,,,,
0,79,,,,,1.2329072952270508,,0.24464619159698486,,0.0,,0.6512398719787598,,0.5275808572769165,,0.5929511785507202,,,2.4393839836120605,0.9081718325614929,,0.20367345213890076,,3.1036531925201416,,0.5275808572769165,,5.30476713180542,,,,,,,,,,,,,,,,
0,89,,,,,1.0827674865722656,,0.23315785825252533,,0.0,,0.6403928995132446,,0.4981500506401062,,0.5674718618392944,,,2.373610734939575,0.7137576341629028,,0.2449238896369934,,2.9466068744659424,,0.4981500506401062,,4.942728519439697,,,,,,,,,,,,,,,,
0,99,,,,,0.7314262390136719,,0.21908172965049744,,0.0,,0.6316474676132202,,0.28916430473327637,,0.544076144695282,,,2.9666290283203125,0.3298812806606293,,0.15113572776317596,,2.796320676803589,,0.28916430473327637,,4.550812244415283,,,,,,,,,,,,,,,,
