epoch,step,train/L_coord_epoch,train/L_coord_step,train/L_kld_epoch,train/L_kld_step,train/L_mask_epoch,train/L_mask_step,train/L_motion_recon_epoch,train/L_motion_recon_step,train/L_motion_type_epoch,train/L_motion_type_step,train/L_origin_epoch,train/L_origin_map_epoch,train/L_origin_map_step,train/L_origin_step,train/L_point_3d_epoch,train/L_point_3d_step,train/L_point_map_epoch,train/L_point_map_step,train/L_trajectory_epoch,train/L_trajectory_m2,train/L_trajectory_step,train/L_vae_total_epoch,train/L_vae_total_step,train/loss_total_epoch,train/loss_total_step,val/L_coord,val/L_kld,val/L_mask,val/L_motion_recon,val/L_motion_type,val/L_origin,val/L_origin_map,val/L_point_3d,val/L_point_map,val/L_trajectory,val/L_trajectory_m2,val/L_vae_total,val/loss_total
0,9,,0.35244306921958923,,0.0,,0.6681850552558899,,0.0,,0.0,,,0.0,0.0,,0.2437359094619751,,5.1172332763671875,,,1.0457860231399536,,0.0,,3.7136917114257812,,,,,,,,,,,,,
0,19,,0.32610780000686646,,0.0,,0.6284295320510864,,0.0,,0.0,,,0.0,0.0,,0.30451324582099915,,4.330408573150635,,,0.928330659866333,,0.0,,3.258894920349121,,,,,,,,,,,,,
0,29,,0.25130391120910645,,0.0,,0.6787351369857788,,0.0,,0.0,,,0.0,0.0,,0.17255739867687225,,3.852266311645508,,,0.8667771816253662,,0.0,,2.9108200073242188,,,,,,,,,,,,,
0,39,,0.2570856213569641,,0.0,,0.6576112508773804,,0.0,,0.0,,,0.0,0.0,,0.18613843619823456,,3.252997398376465,,,0.8217179775238037,,0.0,,2.587775707244873,,,,,,,,,,,,,
0,49,,0.24289128184318542,,0.0,,0.6348790526390076,,0.0,,0.0,,,0.0,0.0,,0.17371311783790588,,3.4447240829467773,,,0.8062601089477539,,0.0,,2.6512339115142822,,,,,,,,,,,,,
0,59,,0.2134319394826889,,0.0,,0.635317325592041,,0.0,,0.0,,,0.0,0.0,,0.21464698016643524,,2.727721691131592,,,0.6305636167526245,,0.0,,2.2108407020568848,,,,,,,,,,,,,
0,69,,0.21580620110034943,,0.0,,0.6478627920150757,,0.0,,0.0,,,0.0,0.0,,0.21638190746307373,,2.9026119709014893,,,0.6627054214477539,,0.0,,2.3226840496063232,,,,,,,,,,,,,
0,79,,0.22967487573623657,,0.0,,0.6497722864151001,,0.0,,0.0,,,0.0,0.0,,0.2193593978881836,,3.0171432495117188,,,0.6570956707000732,,0.0,,2.3865227699279785,,,,,,,,,,,,,
0,89,,0.19312596321105957,,0.0,,0.6269890069961548,,0.0,,0.0,,,0.0,0.0,,0.12879057228565216,,2.689802408218384,,,0.6216040849685669,,0.0,,2.1301560401916504,,,,,,,,,,,,,
0,99,,0.19402645528316498,,0.0,,0.6352062225341797,,0.0,,0.0,,,0.0,0.0,,0.11106079071760178,,2.6762726306915283,,,0.5080493688583374,,0.0,,2.062307834625244,,,,,,,,,,,,,
