epoch,step,train/L_coord_epoch,train/L_coord_step,train/L_kld_epoch,train/L_kld_step,train/L_mask_epoch,train/L_mask_step,train/L_motion_recon_epoch,train/L_motion_recon_step,train/L_motion_type_epoch,train/L_motion_type_step,train/L_point_map_epoch,train/L_point_map_step,train/L_vae_total_epoch,train/L_vae_total_step,train/loss_total_epoch,train/loss_total_step,val/L_coord,val/L_kld,val/L_mask,val/L_motion_recon,val/L_motion_type,val/L_point_map,val/L_vae_total,val/loss_total
0,9,,0.11798267066478729,,0.00010353652760386467,,0.39876577258110046,,0.17191118001937866,,0.22200658917427063,,0.26360273361206055,,0.17191220819950104,,0.5119647979736328,,,,,,,,
0,19,,0.11867587268352509,,0.0002288524992763996,,0.3855755627155304,,0.11824406683444977,,0.20483790338039398,,0.23298534750938416,,0.11824635416269302,,0.4709514379501343,,,,,,,,
0,29,,0.1334221065044403,,0.00015314435586333275,,0.43027463555336,,0.11877841502428055,,0.26643452048301697,,0.2566099464893341,,0.11877994984388351,,0.540442168712616,,,,,,,,
0,39,,0.11135823279619217,,0.0001538274809718132,,0.3369784355163574,,0.12280114740133286,,0.24517905712127686,,0.23027026653289795,,0.12280268222093582,,0.46418190002441406,,,,,,,,
0,49,,0.1351294070482254,,0.0001275762915611267,,0.396666556596756,,0.10653235763311386,,0.22158744931221008,,0.24287697672843933,,0.10653363168239594,,0.4924110174179077,,,,,,,,
0,59,,0.14612123370170593,,0.00014998111873865128,,0.39786624908447266,,0.11022824048995972,,0.20036152005195618,,0.24452045559883118,,0.1102297380566597,,0.48725640773773193,,,,,,,,
0,69,,0.10492891073226929,,0.00021781167015433311,,0.3302139639854431,,0.07932376116514206,,0.2001611292362213,,0.2155441790819168,,0.07932593673467636,,0.42030346393585205,,,,,,,,
0,79,,0.11538784205913544,,0.00017723115161061287,,0.3651847839355469,,0.12801215052604675,,0.1999489963054657,,0.21620821952819824,,0.12801392376422882,,0.45089012384414673,,,,,,,,
0,89,,0.12307257950305939,,0.00020212307572364807,,0.36739325523376465,,0.10568735003471375,,0.27635088562965393,,0.22330740094184875,,0.10568936914205551,,0.491585373878479,,,,,,,,
0,99,,0.08828797936439514,,-1.240614801645279e-05,,0.3227223753929138,,0.10319776833057404,,0.20083685219287872,,0.22092130780220032,,0.10319764167070389,,0.4193662106990814,,,,,,,,
0,109,,0.11898946762084961,,0.00010293116793036461,,0.40361112356185913,,0.13305699825286865,,0.26217982172966003,,0.24079854786396027,,0.13305802643299103,,0.5156031847000122,,,,,,,,
0,119,,0.11984162032604218,,0.00015735067427158356,,0.3942374587059021,,0.10447031259536743,,0.239413782954216,,0.23522958159446716,,0.10447188466787338,,0.4912872612476349,,,,,,,,
0,129,,0.09360958635807037,,-4.7709327191114426e-05,,0.3071747124195099,,0.1052403450012207,,0.2797854542732239,,0.21676576137542725,,0.1052398681640625,,0.4509938061237335,,,,,,,,
0,139,,0.10874073207378387,,3.0201859772205353e-05,,0.3421361446380615,,0.07285000383853912,,0.20771899819374084,,0.21970391273498535,,0.0728503093123436,,0.43197178840637207,,,,,,,,
0,148,,,,,,,,,,,,,,,,,0.10843686759471893,2.33209939324297e-05,0.34961220622062683,0.16509823501110077,0.30080199241638184,0.22600434720516205,0.1650984287261963,0.5037599802017212
0,148,0.1175200417637825,,9.66489824349992e-05,,0.38922181725502014,,0.11812365055084229,,0.2426569163799286,,0.23542089760303497,,0.1181245818734169,,0.4925306737422943,,,,,,,,,
1,149,,0.09217081218957901,,-5.92600554227829e-06,,0.2927188575267792,,0.07074762880802155,,0.20082060992717743,,0.21766819059848785,,0.07074756920337677,,0.39740461111068726,,,,,,,,
