epoch,step,train/L_coord_epoch,train/L_coord_step,train/L_geo_pred_pred_art_epoch,train/L_geo_pred_pred_art_step,train/L_kld_epoch,train/L_kld_step,train/L_mask_epoch,train/L_mask_step,train/L_motion_recon_epoch,train/L_motion_recon_step,train/L_motion_type_epoch,train/L_motion_type_step,train/L_origin_epoch,train/L_origin_map_epoch,train/L_origin_map_step,train/L_origin_step,train/L_point_3d_epoch,train/L_point_3d_step,train/L_point_map_epoch,train/L_point_map_step,train/L_trajectory_epoch,train/L_trajectory_step,train/L_vae_total_epoch,train/L_vae_total_step,train/loss_total_epoch,train/loss_total_step,val/L_coord,val/L_geo_pred_pred_art,val/L_kld,val/L_mask,val/L_motion_recon,val/L_motion_type,val/L_origin,val/L_origin_map,val/L_point_3d,val/L_point_map,val/L_trajectory,val/L_vae_total,val/loss_total
17,7179,,0.015103408135473728,,0.022389255464076996,,0.0,,0.16678352653980255,,0.025837182998657227,,0.240034282207489,,,0.14906224608421326,0.003878015326336026,,0.003399128559976816,,0.15449368953704834,,0.03305934742093086,,0.025837182998657227,,0.3864935338497162,,,,,,,,,,,,,
17,7189,,0.012788495048880577,,0.01694248802959919,,0.0,,0.15834277868270874,,0.025829365476965904,,0.26136863231658936,,,0.14481456577777863,0.002429613145068288,,0.0029502827674150467,,0.15256448090076447,,0.02884259819984436,,0.025829365476965904,,0.3865647614002228,,,,,,,,,,,,,
17,7199,,0.011793477460741997,,0.020332206040620804,,0.0,,0.15165433287620544,,0.015744205564260483,,0.25718560814857483,,,0.1455899477005005,0.004619302228093147,,0.0025646097492426634,,0.15184682607650757,,0.028527773916721344,,0.015744205564260483,,0.37681153416633606,,,,,,,,,,,,,
17,7209,,0.010217137634754181,,0.01561683788895607,,0.0,,0.14770886301994324,,0.012490654364228249,,0.24538438022136688,,,0.14500842988491058,0.0026608561165630817,,0.002641384257003665,,0.1479596495628357,,0.029309364035725594,,0.012490654364228249,,0.3629937767982483,,,,,,,,,,,,,
17,7219,,0.013191897422075272,,0.014753332361578941,,0.0,,0.16261136531829834,,0.0272300373762846,,0.2421860694885254,,,0.14914575219154358,0.003192316507920623,,0.0025165646802634,,0.151251882314682,,0.023728322237730026,,0.0272300373762846,,0.3806975185871124,,,,,,,,,,,,,
17,7229,,0.013819340616464615,,0.025060787796974182,,0.0,,0.15461774170398712,,0.028694109991192818,,0.22630977630615234,,,0.15073253214359283,0.003426775336265564,,0.0029100447427481413,,0.15287649631500244,,0.029239902272820473,,0.028694109991192818,,0.37358543276786804,,,,,,,,,,,,,
17,7239,,0.009612997993826866,,0.025027813389897346,,0.0,,0.15387313067913055,,0.03652278333902359,,0.30032649636268616,,,0.14560487866401672,0.0037132431752979755,,0.001531223184429109,,0.15292419493198395,,0.032927993685007095,,0.03652278333902359,,0.4094964563846588,,,,,,,,,,,,,
17,7249,,0.008809245191514492,,0.01541237160563469,,0.0,,0.15282271802425385,,0.027206767350435257,,0.26680874824523926,,,0.13840249180793762,0.002676658798009157,,0.002336421748623252,,0.15066714584827423,,0.027568252757191658,,0.027206767350435257,,0.38054159283638,,,,,,,,,,,,,
17,7259,,0.011406793259084225,,0.01786796562373638,,0.0,,0.1627042442560196,,0.01952354796230793,,0.2590249180793762,,,0.14428377151489258,0.010667366907000542,,0.0036196578294038773,,0.1514526605606079,,0.02884799800813198,,0.01952354796230793,,0.3874554932117462,,,,,,,,,,,,,
17,7269,,0.014947446994483471,,0.01977616176009178,,0.0,,0.16056488454341888,,0.02524283528327942,,0.24052660167217255,,,0.14719760417938232,0.0036989953368902206,,0.002416630508378148,,0.15443730354309082,,0.02412189356982708,,0.02524283528327942,,0.38011205196380615,,,,,,,,,,,,,
