model,object,axis_unsigned_deg,axis_signed_deg,p_rev,radius_m,hinge_offset_frac,z_p,verb,hinge_point_offset_frac
depth,scissors/scissors,77.110,102.890,0.9191,0.7298,0.0647,0.488,close,0.4120
depth,scissors/scissors,77.060,77.060,0.9392,0.8218,0.0188,0.432,close,0.6047
depth,scissors/scissors,69.808,110.192,0.9499,0.6242,0.0674,0.643,close,0.1969
depth,scissors/scissors,44.600,135.400,0.9451,0.5513,0.0029,0.841,close,0.0771
depth,scissors/scissors,55.699,124.301,0.9453,0.5427,0.0424,0.660,close,0.2915
depth,scissors/scissors,66.911,66.911,0.9366,0.2525,0.0414,0.770,close,0.2743
depth,scissors/scissors,50.814,50.814,0.9348,1.1566,0.0971,0.285,open,0.2092
depth,scissors/scissors,84.007,95.993,0.9430,1.0071,0.0141,0.331,close,0.5280
depth,scissors/scissors,80.326,99.674,0.9260,0.3657,0.0106,0.720,close,0.4156
depth,scissors/scissors,34.892,145.108,0.9412,1.0135,0.0142,0.366,close,0.3411
depth,scissors/scissors,82.267,97.733,0.9396,0.5943,0.0125,0.868,close,0.2128
depth,scissors/scissors,62.545,62.545,0.9382,0.5231,0.0771,0.467,close,0.4981
depth,scissors/scissors,77.893,77.893,0.9400,0.3527,0.0379,0.616,close,0.4676
depth,scissors/scissors,44.999,44.999,0.9418,0.2329,0.0002,1.283,close,0.0465
depth,scissors/scissors,65.993,65.993,0.9464,0.8150,0.1233,0.354,open,0.3653
depth,scissors/scissors,65.730,114.270,0.9368,0.6245,0.0032,0.627,close,0.5069
depth,scissors/scissors,20.512,159.488,0.9304,0.5068,0.0178,0.894,close,0.0840
depth,scissors/scissors,36.298,36.298,0.9474,0.7717,0.1096,0.530,open,0.2529
depth,scissors/scissors,65.791,65.791,0.9335,0.5295,0.0217,0.644,close,0.4271
depth,scissors/scissors,37.928,37.928,0.9378,0.4191,0.0237,1.095,open,0.1550
depth,scissors/scissors,89.019,89.019,0.9186,0.3718,0.0267,0.845,close,0.3983
depth,scissors/scissors,64.155,64.155,0.9434,0.3050,0.0668,1.252,close,0.2540
depth,scissors/scissors,87.641,92.359,0.9393,1.1775,0.1240,0.411,open,0.4190
depth,scissors/scissors,68.057,68.057,0.9498,0.3186,0.1195,1.106,close,0.3285
depth,scissors/scissors,57.008,57.008,0.9427,0.6472,0.0087,0.856,close,0.3173
depth,scissors/scissors,72.130,72.130,0.9359,0.4833,0.0382,0.779,close,0.3095
depth,scissors/scissors,67.944,67.944,0.9416,0.9696,0.1499,0.351,open,0.1879
depth,scissors/scissors,51.089,128.911,0.9199,0.2125,0.0651,1.403,close,0.0883
