model,object,axis_unsigned_deg,axis_signed_deg,p_rev,radius_m,hinge_offset_frac,z_p,verb,hinge_point_offset_frac
depth,laptop/laptop,25.849,25.849,0.9570,1.3733,0.0674,1.110,close,0.3899
depth,laptop/laptop,14.512,14.512,0.9521,2.5784,0.0785,0.126,open,0.3324
depth,laptop/laptop,35.616,35.616,0.9647,1.4405,0.0237,1.694,close,0.3510
depth,laptop/laptop,16.999,16.999,0.9466,2.2156,0.0341,0.615,open,0.4193
depth,laptop/laptop,15.492,15.492,0.9473,3.1602,0.0693,0.230,open,0.1102
depth,laptop/laptop,22.141,22.141,0.9575,1.4790,0.1174,1.316,close,0.2758
depth,laptop/laptop,6.108,6.108,0.9484,2.6761,0.1125,0.272,open,0.1380
depth,laptop/laptop,14.917,14.917,0.9516,2.5501,0.1059,0.349,open,0.4897
depth,laptop/laptop,41.218,41.218,0.9583,0.5222,0.1967,2.839,close,0.1319
depth,laptop/laptop,9.998,9.998,0.9556,2.7948,0.0637,0.318,open,0.0904
depth,laptop/laptop,18.843,18.843,0.9531,2.5025,0.0855,0.357,open,0.1015
depth,laptop/laptop,18.887,18.887,0.9641,0.8110,0.1428,1.914,close,0.3703
depth,laptop/laptop,24.884,24.884,0.9462,2.5791,0.0041,0.454,open,0.0667
depth,laptop/laptop,12.691,12.691,0.9520,2.6716,0.0701,0.331,open,0.1322
depth,box/box,53.810,53.810,0.9380,0.8015,0.2186,0.292,open,0.0812
depth,box/box,46.854,46.854,0.9484,0.5018,0.0558,1.157,open,0.2927
depth,box/box,20.919,20.919,0.9531,1.1534,0.2310,0.799,close,0.4153
depth,box/box,29.981,29.981,0.9503,0.4178,0.2423,1.088,open,0.3227
depth,box/box,41.817,41.817,0.9533,1.7844,0.2201,0.283,close,0.5980
depth,box/box,23.571,23.571,0.9342,0.7069,0.1197,0.709,open,0.2475
depth,box/box,72.140,72.140,0.9508,1.3800,0.0908,0.829,close,0.8395
depth,box/box,44.776,44.776,0.9470,0.9200,0.1111,0.292,open,0.2064
depth,box/box,11.091,11.091,0.9490,0.6368,0.1132,0.467,open,0.1411
depth,box/box,32.059,32.059,0.9499,0.5342,0.0954,1.160,open,0.3332
depth,box/box,36.880,36.880,0.9502,1.5268,0.1549,0.371,close,0.7256
depth,notebook/notebook,36.780,143.220,0.9455,0.4558,0.1608,0.828,open,0.6129
depth,notebook/notebook,46.823,133.177,0.9505,0.0566,0.0524,0.446,open,0.1133
depth,notebook/notebook,80.623,80.623,0.9511,0.1686,0.0011,0.790,open,0.2677
depth,notebook/notebook,84.726,95.274,0.9511,0.2402,0.0214,0.865,open,0.2969
depth,notebook/notebook,20.886,20.886,0.9545,0.1923,0.3318,0.787,close,0.1965
depth,notebook/notebook,28.982,151.018,0.9446,0.5355,0.1472,0.953,open,0.7244
depth,notebook/notebook,65.104,65.104,0.9574,0.0462,0.1822,1.099,close,0.0502
depth,notebook/notebook,54.979,125.021,0.9492,0.3882,0.1064,0.865,open,0.3774
depth,notebook/notebook,49.765,49.765,0.9597,0.6578,0.2617,0.245,close,0.5735
depth,notebook/notebook,31.827,148.173,0.9342,0.3980,0.1527,0.758,open,0.6917
depth,notebook/notebook,46.919,46.919,0.9571,0.0396,0.2067,0.984,close,0.1090
depth,notebook/notebook,44.965,135.035,0.9354,0.4483,0.0991,0.896,open,0.6087
depth,notebook/notebook,66.081,113.919,0.9501,0.2543,0.0643,0.729,open,0.3662
depth,notebook/notebook,30.668,30.668,0.9542,0.1899,0.2676,0.754,close,0.1840
depth,notebook/notebook,28.147,151.853,0.9364,0.5980,0.0887,0.970,open,0.6860
depth,notebook/notebook,55.154,55.154,0.9552,0.1948,0.2019,0.828,close,0.2039
depth,notebook/notebook,78.692,101.308,0.9532,0.1347,0.1103,0.343,open,0.4513
depth,notebook/notebook,60.892,60.892,0.9571,0.4581,0.2647,0.270,close,0.5977
depth,notebook/notebook,24.609,155.391,0.9379,0.8262,0.0403,1.126,open,0.7172
depth,notebook/notebook,16.434,16.434,0.9553,0.2198,0.2307,0.584,close,0.2559
depth,phone/phone,28.122,28.122,0.9680,0.5982,0.0531,1.061,close,0.0514
