epoch,step,train/L_coord_epoch,train/L_coord_step,train/L_geo_pp_dir_epoch,train/L_geo_pp_dir_step,train/L_geo_pred_pred_art_epoch,train/L_geo_pred_pred_art_step,train/L_kld_epoch,train/L_kld_step,train/L_mask_epoch,train/L_mask_step,train/L_motion_recon_epoch,train/L_motion_recon_step,train/L_motion_type_epoch,train/L_motion_type_step,train/L_origin_epoch,train/L_origin_map_epoch,train/L_origin_map_step,train/L_origin_step,train/L_point_3d_epoch,train/L_point_3d_step,train/L_point_map_epoch,train/L_point_map_step,train/L_traj_angle_epoch,train/L_traj_angle_step,train/L_traj_length_epoch,train/L_traj_length_step,train/L_traj_velocity_epoch,train/L_traj_velocity_step,train/L_trajectory_epoch,train/L_trajectory_m2,train/L_trajectory_step,train/L_vae_total_epoch,train/L_vae_total_step,train/loss_total_epoch,train/loss_total_step,train/p_rev_mean,val/L_coord,val/L_geo_pp_dir,val/L_geo_pred_pred_art,val/L_kld,val/L_mask,val/L_motion_recon,val/L_motion_type,val/L_origin,val/L_origin_map,val/L_point_3d,val/L_point_map,val/L_traj_angle,val/L_traj_length,val/L_traj_velocity,val/L_trajectory,val/L_trajectory_m2,val/L_vae_total,val/loss_total
0,9,,0.3265419006347656,,0.9774935245513916,,0.5063626170158386,,0.0,,0.8451739549636841,,0.8150058388710022,,0.6399621963500977,,,5.868594169616699,1.2092392444610596,,0.2694961726665497,,4.762493133544922,,1.0155669450759888,,0.25881659984588623,,0.29914039373397827,,,1.3704936504364014,,0.8150058388710022,,9.13821792602539,,,,,,,,,,,,,,,,,,,
0,19,,0.3345455229282379,,0.9739044904708862,,0.5105510950088501,,0.0,,0.6177747845649719,,0.6377388834953308,,0.6314408779144287,,,4.393589019775391,0.625935435295105,,0.26356181502342224,,4.808918476104736,,0.9854274392127991,,0.1812717765569687,,0.22134025394916534,,,1.171924114227295,,0.6377388834953308,,7.695850372314453,,,,,,,,,,,,,,,,,,,
0,29,,0.3074013888835907,,0.9727085828781128,,0.45960476994514465,,0.0,,0.6442612409591675,,0.4309808015823364,,0.5886005163192749,,,3.181276321411133,0.8861827254295349,,0.20732460916042328,,3.737359046936035,,0.9638381600379944,,0.14361077547073364,,0.18342123925685883,,,1.1067192554473877,,0.4309808015823364,,6.4254302978515625,,,,,,,,,,,,,,,,,,,
0,39,,0.22820760309696198,,0.9671326875686646,,0.4501943290233612,,0.0,,0.6601611375808716,,0.54787278175354,,0.5777685046195984,,,3.40854811668396,1.3136080503463745,,0.2256147265434265,,3.2326338291168213,,0.9658896923065186,,0.12549874186515808,,0.16465015709400177,,,1.1345198154449463,,0.54787278175354,,6.516544342041016,,,,,,,,,,,,,,,,,,,
0,49,,0.2425861656665802,,0.9583016633987427,,0.4946323335170746,,0.0,,0.6361619234085083,,0.44968175888061523,,0.5587760806083679,,,3.552187204360962,0.6796735525131226,,0.1812286674976349,,3.1032800674438477,,0.9667964577674866,,0.1156831905245781,,0.1562553495168686,,,0.9872667193412781,,0.44968175888061523,,6.038209438323975,,,,,,,,,,,,,,,,,,,
0,59,,0.25673454999923706,,0.9522087574005127,,0.3901325464248657,,0.0,,0.6464582681655884,,0.43718087673187256,,0.5364627838134766,,,2.4568965435028076,0.626151442527771,,0.15830908715724945,,3.137420415878296,,0.9490697979927063,,0.10375560820102692,,0.14153499901294708,,,0.9854446649551392,,0.43718087673187256,,5.422711372375488,,,,,,,,,,,,,,,,,,,
0,69,,0.2505611181259155,,0.9338461756706238,,0.4052135944366455,,0.0,,0.6326721906661987,,0.2998117208480835,,0.4971683621406555,,,2.1854071617126465,0.683856725692749,,0.16544532775878906,,3.1800360679626465,,0.919075608253479,,0.10060858726501465,,0.13726535439491272,,,0.9007713794708252,,0.2998117208480835,,5.1788787841796875,,,,,,,,,,,,,,,,,,,
0,79,,0.25539442896842957,,0.9303710460662842,,0.39568567276000977,,0.0,,0.6579276919364929,,0.4385489821434021,,0.44247931241989136,,,2.19932222366333,0.43908751010894775,,0.1668483465909958,,3.075814962387085,,0.9222315549850464,,0.09408216178417206,,0.13148494064807892,,,0.9193952679634094,,0.4385489821434021,,5.0696563720703125,,,,,,,,,,,,,,,,,,,
0,89,,0.2605566084384918,,0.921061635017395,,0.3518701195716858,,0.0,,0.6250627040863037,,0.32152462005615234,,0.47492778301239014,,,1.712644338607788,0.22764122486114502,,0.19080059230327606,,2.4909188747406006,,0.9177652597427368,,0.09125966578722,,0.12796851992607117,,,0.8634567260742188,,0.32152462005615234,,4.343541145324707,,,,,,,,,,,,,,,,,,,
0,99,,0.22762736678123474,,0.9067952632904053,,0.38637998700141907,,0.0,,0.6528569459915161,,0.2969415783882141,,0.44178205728530884,,,1.5908527374267578,0.6131398677825928,,0.19845513999462128,,2.8852577209472656,,0.8974305391311646,,0.08938950300216675,,0.12694482505321503,,,0.8464949727058411,,0.2969415783882141,,4.626377105712891,,,,,,,,,,,,,,,,,,,
