epoch,step,train/L_coord_epoch,train/L_coord_step,train/L_geo_pred_pred_art_epoch,train/L_geo_pred_pred_art_step,train/L_kld_epoch,train/L_kld_step,train/L_mask_epoch,train/L_mask_step,train/L_motion_recon_epoch,train/L_motion_recon_step,train/L_motion_type_epoch,train/L_motion_type_step,train/L_origin_epoch,train/L_origin_map_epoch,train/L_origin_map_step,train/L_origin_step,train/L_point_3d_epoch,train/L_point_3d_step,train/L_point_map_epoch,train/L_point_map_step,train/L_trajectory_epoch,train/L_trajectory_m2,train/L_trajectory_step,train/L_vae_total_epoch,train/L_vae_total_step,train/loss_total_epoch,train/loss_total_step,val/L_coord,val/L_geo_pred_pred_art,val/L_kld,val/L_mask,val/L_motion_recon,val/L_motion_type,val/L_origin,val/L_origin_map,val/L_point_3d,val/L_point_map,val/L_trajectory,val/L_trajectory_m2,val/L_vae_total,val/loss_total
0,9,,0.31918850541114807,,0.5294867753982544,,0.0,,0.8509454727172852,,0.8173673152923584,,0.6407132744789124,,,5.826753616333008,1.1817896366119385,,0.2693353295326233,,4.793501853942871,,,1.3678503036499023,,0.8173673152923584,,8.086670875549316,,,,,,,,,,,,,,
0,19,,0.35958927869796753,,0.5263090133666992,,0.0,,0.616487979888916,,0.631839394569397,,0.6330865621566772,,,5.055938720703125,0.5953451991081238,,0.27979332208633423,,4.910896301269531,,,1.1462628841400146,,0.631839394569397,,7.167250633239746,,,,,,,,,,,,,,
0,29,,0.32007014751434326,,0.43449801206588745,,0.0,,0.6447497606277466,,0.42911404371261597,,0.589834988117218,,,3.0308423042297363,0.8712379336357117,,0.22099372744560242,,4.015722751617432,,,1.0460988283157349,,0.42911404371261597,,5.627781867980957,,,,,,,,,,,,,,
0,39,,0.25415515899658203,,0.4330044984817505,,0.0,,0.6609180569648743,,0.5463032722473145,,0.5787029266357422,,,3.489553928375244,1.106632947921753,,0.22888192534446716,,3.1839752197265625,,,1.093306064605713,,0.5463032722473145,,5.61451530456543,,,,,,,,,,,,,,
0,49,,0.27804699540138245,,0.3806789517402649,,0.0,,0.636614203453064,,0.4569540023803711,,0.5600595474243164,,,3.5206594467163086,0.809019148349762,,0.2074134200811386,,3.155689239501953,,,0.9163455963134766,,0.4569540023803711,,5.308468818664551,,,,,,,,,,,,,,
0,59,,0.26577603816986084,,0.3664796054363251,,0.0,,0.6490615606307983,,0.4451386332511902,,0.5403940081596375,,,2.547116279602051,0.6570746302604675,,0.15428444743156433,,2.935133934020996,,,0.927588164806366,,0.4451386332511902,,4.597431659698486,,,,,,,,,,,,,,
0,69,,0.26235270500183105,,0.37282735109329224,,0.0,,0.6305609941482544,,0.30546316504478455,,0.5053730010986328,,,2.3343417644500732,0.7283675074577332,,0.18626336753368378,,3.1419601440429688,,,0.8031471967697144,,0.30546316504478455,,4.4861979484558105,,,,,,,,,,,,,,
0,79,,0.24768751859664917,,0.338101863861084,,0.0,,0.6604399681091309,,0.44464483857154846,,0.4493221044540405,,,2.168748617172241,0.4686429798603058,,0.1760982722043991,,2.920044422149658,,,0.8273981213569641,,0.44464483857154846,,4.2153239250183105,,,,,,,,,,,,,,
0,89,,0.27397429943084717,,0.3177095651626587,,0.0,,0.6230794191360474,,0.33084556460380554,,0.4829505980014801,,,2.3773083686828613,0.24303261935710907,,0.1954312026500702,,2.527519941329956,,,0.7556058168411255,,0.33084556460380554,,3.9366447925567627,,,,,,,,,,,,,,
0,99,,0.20701617002487183,,0.36638814210891724,,0.0,,0.6474537253379822,,0.3130430281162262,,0.4516088366508484,,,1.6264513731002808,0.5902100801467896,,0.21240442991256714,,2.7456130981445312,,,0.7341995239257812,,0.3130430281162262,,3.8006389141082764,,,,,,,,,,,,,,
0,109,,0.2119085043668747,,0.3045288324356079,,0.0,,0.6109567880630493,,0.3998008966445923,,0.5302844643592834,,,2.1263275146484375,0.5978332757949829,,0.20255449414253235,,2.345463275909424,,,0.8249437808990479,,0.3998008966445923,,3.95548939704895,,,,,,,,,,,,,,
0,119,,0.22855083644390106,,0.26597991585731506,,0.0,,0.5818932056427002,,0.32656848430633545,,0.4581652581691742,,,1.9310733079910278,0.6406791806221008,,0.20980243384838104,,2.555154800415039,,,0.6482034921646118,,0.32656848430633545,,3.816643476486206,,,,,,,,,,,,,,
0,129,,0.2317153960466385,,0.3180950880050659,,0.0,,0.5949084162712097,,0.32702481746673584,,0.45188531279563904,,,1.4434970617294312,0.39762404561042786,,0.14440570771694183,,2.4710588455200195,,,0.7002911567687988,,0.32702481746673584,,3.413015127182007,,,,,,,,,,,,,,
0,139,,0.17574316263198853,,0.2471085488796234,,0.0,,0.5840768814086914,,0.25676053762435913,,0.4527648687362671,,,1.445510745048523,0.3980463743209839,,0.10194557905197144,,2.0987021923065186,,,0.6075894832611084,,0.25676053762435913,,3.085280656814575,,,,,,,,,,,,,,
0,149,,0.20352795720100403,,0.24773341417312622,,0.0,,0.6103925108909607,,0.33111655712127686,,0.41659507155418396,,,1.1936982870101929,0.5019562840461731,,0.12807559967041016,,2.82297945022583,,,0.6296112537384033,,0.33111655712127686,,3.4437501430511475,,,,,,,,,,,,,,
0,159,,0.17370808124542236,,0.3035115599632263,,0.0,,0.601347804069519,,0.33082354068756104,,0.45345067977905273,,,1.1439399719238281,0.2882210910320282,,0.0846276506781578,,2.248412847518921,,,0.7294186353683472,,0.33082354068756104,,3.057326078414917,,,,,,,,,,,,,,
0,169,,0.20330163836479187,,0.23484481871128082,,0.0,,0.5669980049133301,,0.36210742592811584,,0.40105655789375305,,,1.1381916999816895,0.34162774682044983,,0.11695252358913422,,2.116373062133789,,,0.602968156337738,,0.36210742592811584,,2.948272943496704,,,,,,,,,,,,,,
0,179,,0.20070026814937592,,0.2775840163230896,,0.0,,0.5691787004470825,,0.2717426121234894,,0.4414941966533661,,,0.884279191493988,0.23888708651065826,,0.09514220058917999,,2.086273193359375,,,0.6454387903213501,,0.2717426121234894,,2.74432635307312,,,,,,,,,,,,,,
0,189,,0.19924522936344147,,0.334744393825531,,0.0,,0.57355797290802,,0.25051164627075195,,0.4021003544330597,,,0.9461134076118469,0.3227735757827759,,0.10755664110183716,,1.962237000465393,,,0.6191902160644531,,0.25051164627075195,,2.7251174449920654,,,,,,,,,,,,,,
0,199,,0.201153963804245,,0.24848127365112305,,0.0,,0.5729811191558838,,0.3382810950279236,,0.40660375356674194,,,0.9512055516242981,0.3091675043106079,,0.11277764290571213,,1.9938240051269531,,,0.6052110195159912,,0.3382810950279236,,2.770451307296753,,,,,,,,,,,,,,
