epoch,step,train/L_cf_derivative_epoch,train/L_cf_derivative_step,train/L_cf_position_epoch,train/L_cf_position_step,train/L_coord_epoch,train/L_coord_step,train/L_dense_offset_epoch,train/L_dense_offset_step,train/L_kld_epoch,train/L_kld_step,train/L_mask_epoch,train/L_mask_step,train/L_motion_recon_epoch,train/L_motion_recon_step,train/L_motion_type_epoch,train/L_motion_type_step,train/L_origin_epoch,train/L_origin_map_epoch,train/L_origin_map_step,train/L_origin_step,train/L_point_3d_epoch,train/L_point_3d_step,train/L_point_map_epoch,train/L_point_map_step,train/L_traj_proj_epoch,train/L_traj_proj_step,train/L_trajectory_epoch,train/L_trajectory_m2,train/L_trajectory_step,train/L_vae_total_epoch,train/L_vae_total_step,train/arctic/loss_total,train/epic/loss_total,train/hoi4d/loss_total,train/loss_total_epoch,train/loss_total_step,train/p_rev_mean,train/sf3d/loss_total,val/L_cf_derivative,val/L_cf_position,val/L_coord,val/L_dense_offset,val/L_kld,val/L_mask,val/L_motion_recon,val/L_motion_type,val/L_origin,val/L_origin_map,val/L_point_3d,val/L_point_map,val/L_traj_proj,val/L_trajectory,val/L_trajectory_m2,val/L_vae_total,val/arctic/loss_total,val/epic/loss_total,val/hoi4d/loss_total,val/loss_total,val/sf3d/loss_total
0,9,,1.828914761543274,,1.9319324493408203,,0.3006680905818939,,0.1810815930366516,,0.0,,0.8246539831161499,,0.7362821102142334,,0.783613383769989,,,6.039005279541016,1.3048301935195923,,0.2757587432861328,,4.414186000823975,,8.765012741088867,,,1.420257568359375,,0.7362821102142334,,,,,9.36197280883789,,,,,,,,,,,,,,,,,,,,,,,
0,19,,1.6345322132110596,,1.6573688983917236,,0.2648911476135254,,0.0,,0.0,,7.441431522369385,,1.0,,0.6832247376441956,,,0.0,0.0,,0.10414417088031769,,4.989658355712891,,2.9153871536254883,,,21.74642562866211,,1.0,,,,,8.147295951843262,,,,,,,,,,,,,,,,,,,,,,,
0,29,,1.4750914573669434,,1.498365879058838,,0.1833278387784958,,0.0,,0.0,,1.3736234903335571,,1.0,,0.6406177878379822,,,0.0,0.0,,204.20542907714844,,4.946987628936768,,2.9712252616882324,,,1.1789768934249878,,1.0,,,,,5.057890892028809,,,,,,,,,,,,,,,,,,,,,,,
0,39,,1.4315927028656006,,1.5136504173278809,,0.220453143119812,,0.0,,0.0,,1.0851730108261108,,1.0,,0.6257011890411377,,,0.0,0.0,,194.9141845703125,,4.724785327911377,,2.744843006134033,,,1.09726881980896,,1.0,,,,,4.700477600097656,,,,,,,,,,,,,,,,,,,,,,,
0,49,,0.9313580989837646,,0.9501721858978271,,0.22529271245002747,,0.20380854606628418,,0.0,,0.5856433510780334,,0.5254249572753906,,0.6955487728118896,,,5.510810375213623,0.6501966714859009,,0.233477383852005,,4.467238426208496,,2.6256461143493652,,,0.8313171863555908,,0.5254249572753906,,,,,7.498892784118652,,,,,,,,,,,,,,,,,,,,,,,
0,59,,1.153160810470581,,1.1945908069610596,,0.25410202145576477,,0.20471297204494476,,0.0,,0.6318684220314026,,0.5602923631668091,,0.6292164325714111,,,5.62613582611084,0.4903736114501953,,0.22558991611003876,,3.964951515197754,,2.039126396179199,,,0.9083727598190308,,0.5602923631668091,,,,,7.488212585449219,,,,,,,,,,,,,,,,,,,,,,,
0,69,,1.0073120594024658,,1.0179271697998047,,0.233165442943573,,0.25676479935646057,,0.0,,0.5867671370506287,,0.5368390083312988,,0.5849388837814331,,,3.547224283218384,0.5039362907409668,,0.17751666903495789,,3.7258286476135254,,5.625667572021484,,,0.7961698770523071,,0.5368390083312988,,,,,6.094417572021484,,,,,,,,,,,,,,,,,,,,,,,
0,79,,1.2537364959716797,,1.308734655380249,,0.10011593997478485,,0.0,,0.0,,0.9780421257019043,,1.0,,0.6293476223945618,,,0.0,0.0,,202.95359802246094,,3.3013298511505127,,1.6007781028747559,,,1.111707091331482,,1.0,,,,,3.30480694770813,,,,,,,,,,,,,,,,,,,,,,,
0,89,,1.2185075283050537,,1.202423095703125,,0.2297290414571762,,0.23282520473003387,,0.0,,0.5922833681106567,,0.5996394157409668,,0.5501618385314941,,,3.8645853996276855,1.078637719154358,,0.2881503999233246,,3.643505811691284,,1.1177268028259277,,,1.1249477863311768,,0.5996394157409668,,,,,6.74218225479126,,,,,,,,,,,,,,,,,,,,,,,
0,99,,1.2507333755493164,,1.2661901712417603,,0.24951140582561493,,0.18591292202472687,,0.0,,1.2421833276748657,,1.1431009769439697,,0.5713057518005371,,,4.142855167388916,0.14456835389137268,,0.11246682703495026,,3.9797723293304443,,3.162097454071045,,,23.40459632873535,,1.1431009769439697,,,,,4.695391654968262,,,,,,,,,,,,,,,,,,,,,,,
